qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,2145611,409599,2555210,
fc_b_001,5.55%,5.36%,7.68%,7.35%,19046,5055,24101,
fc_b_002,ACD,,,,19187,640,19827,
fc_b_003,ABCD,,,,34041,9501,43542,
fc_b_004,ABC,,,,21504,747,22251,
fc_b_005,1468.47%,740.58%,,,17232,6505,23737,
fc_b_006,B,,,,20858,885,21743,
fc_b_007,BC,,,,24874,1146,26020,
fc_b_008,ABC,,,,24537,1360,25897,
fc_b_009,ABD,,,,27404,770,28174,
fc_b_010,BCD,,,,19620,745,20365,
fc_b_011,ABC,,,,18491,876,19367,
fc_b_012,BCD,,,,19488,432,19920,
fc_b_013,A,,,,8987,147,9134,
fc_b_014,14.41,,,,22180,6398,28578,
fc_b_015,CD,,,,19059,834,19893,
fc_b_016,C,,,,16355,550,16905,
fc_b_017,BC,,,,19048,662,19710,
fc_b_018,ABD,,,,18670,647,19317,
fc_b_019,ABCD,,,,20000,587,20587,
fc_b_020,2.30,,,,16649,5500,22149,
fin_b_001,ACD,,,,22426,5285,27711,
fin_b_002,BCD,,,,27163,5075,32238,
fin_b_003,ABCD,,,,29672,5318,34990,
fin_b_004,A,,,,29614,5271,34885,
fin_b_005,ACD,,,,28263,4965,33228,
fin_b_006,BC,,,,19600,4806,24406,
fin_b_007,ABD,,,,20610,4739,25349,
fin_b_008,AC,,,,29293,6442,35735,
fin_b_009,BCD,,,,29539,4699,34238,
fin_b_010,AD,,,,52039,15377,67416,
fin_b_011,ABC,,,,30112,5012,35124,
fin_b_012,C,,,,71957,17779,89736,
fin_b_013,40.05,10.10,,,26811,7162,33973,
fin_b_014,1.12,9.82,8.69,,40270,11508,51778,
fin_b_015,宁德时代>美的集团,19.75,,,25724,5709,31433,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,44904,10253,55157,
fin_b_017,1049321.98,0.08,,,20085,6447,26532,
fin_b_018,2.58,7.65,,,20219,6369,26588,
fin_b_019,宁德时代>美的集团>比亚迪,1.10,,,30615,8122,38737,
fin_b_020,112.32,112.31,0.01,,21639,7026,28665,
ins_b_001,333.20,,,,24152,6309,30461,
ins_b_002,BC,,,,18933,5131,24064,
ins_b_003,366.00,,,,25835,6749,32584,
ins_b_004,BCD,,,,22277,4555,26832,
ins_b_005,BD,,,,23671,4348,28019,
ins_b_006,BCD,,,,29652,4020,33672,
ins_b_007,BC,,,,21434,4387,25821,
ins_b_008,ABCD,,,,20366,3987,24353,
ins_b_009,BCD,,,,23800,4479,28279,
ins_b_010,A,,,,35202,13713,48915,
ins_b_011,16.00,,,,17966,5345,23311,
ins_b_012,BCD,,,,25542,4343,29885,
ins_b_013,BD,,,,30633,4239,34872,
ins_b_014,ACD,,,,14531,3827,18358,
ins_b_015,AC,,,,22336,3566,25902,
ins_b_016,ABD,,,,21370,3841,25211,
ins_b_017,ABCD,,,,25616,4394,30010,
ins_b_018,60.00,,,,18067,5019,23086,
ins_b_019,211.50,,,,24243,6300,30543,
ins_b_020,ACD,,,,23200,4600,27800,
reg_b_001,ACD,,,,26637,9031,35668,
reg_b_003,2026年3月30日,,,,7690,5886,13576,
reg_b_004,2026年6月30日,,,,6887,5840,12727,
reg_b_005,BCD,,,,14398,566,14964,
reg_b_007,30.00,,,,7637,4857,12494,
reg_b_008,BC,,,,14682,579,15261,
reg_b_009,BC,,,,12591,790,13381,
reg_b_013,B,,,,11432,488,11920,
reg_b_014,99.25,,,,9567,5633,15200,
reg_b_015,AC,,,,10435,1124,11559,
reg_b_016,2.00,,,,7036,6046,13082,
reg_b_017,AC,,,,12462,763,13225,
reg_b_018,2026年4月1日,,,,7342,5270,12612,
reg_b_020,B,,,,10626,574,11200,
reg_b_021,B,,,,11954,785,12739,
reg_b_023,AB,,,,9140,989,10129,
reg_b_024,B,,,,15506,886,16392,
reg_b_025,AC,,,,10330,787,11117,
reg_b_026,B,,,,11296,693,11989,
reg_b_027,BD,,,,13409,775,14184,
res_b_001,AB,,,,20330,1054,21384,
res_b_002,AC,,,,19562,1850,21412,
res_b_003,AB,,,,18285,1446,19731,
res_b_004,BCD,,,,18662,1013,19675,
res_b_005,22.19,,,,18996,6564,25560,
res_b_006,AB,,,,19119,1098,20217,
res_b_007,61.98,,,,16766,4866,21632,
res_b_008,C,,,,37809,10365,48174,
res_b_009,ABC,,,,18216,2307,20523,
res_b_010,AC,,,,18404,1122,19526,
res_b_011,BC,,,,17978,1159,19137,
res_b_012,67.10,,,,23915,10989,34904,
res_b_013,A,,,,18815,1208,20023,
res_b_014,CD,,,,18347,1418,19765,
res_b_015,BD,,,,19165,926,20091,
res_b_016,BD,,,,20886,1212,22098,
res_b_017,AC,,,,17298,1209,18507,
res_b_018,CD,,,,36955,10185,47140,
res_b_019,AB,,,,18797,1303,20100,
res_b_020,BD,,,,19638,1440,21078,
