qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,2073661,376885,2450546
fc_b_001,5.55%,5.36%,7.68%,7.35%,18898,5747,24645
fc_b_002,ACD,,,,19307,865,20172
fc_b_003,ABCD,,,,24738,4197,28935
fc_b_004,ABC,,,,21316,950,22266
fc_b_005,1468.47%,740.58%,,,17392,6332,23724
fc_b_006,B,,,,21100,1101,22201
fc_b_007,BC,,,,25116,1596,26712
fc_b_008,ABC,,,,24779,1490,26269
fc_b_009,ABD,,,,27646,1005,28651
fc_b_010,BCD,,,,19606,911,20517
fc_b_011,ABC,,,,18537,817,19354
fc_b_012,BCD,,,,19218,553,19771
fc_b_013,A,,,,8908,158,9066
fc_b_014,14.41,,,,22266,5251,27517
fc_b_015,CD,,,,19045,981,20026
fc_b_016,C,,,,16197,570,16767
fc_b_017,BC,,,,18918,1151,20069
fc_b_018,ABD,,,,18504,821,19325
fc_b_019,ABCD,,,,19950,658,20608
fc_b_020,2.30,,,,24123,5607,29730
fin_b_001,ACD,,,,22156,4762,26918
fin_b_002,BCD,,,,26935,4699,31634
fin_b_003,ABCD,,,,29506,4650,34156
fin_b_004,D,,,,47931,7453,55384
fin_b_005,ACD,,,,28217,4505,32722
fin_b_006,BC,,,,19544,4493,24037
fin_b_007,ABD,,,,20554,4624,25178
fin_b_008,AC,,,,40044,8004,48048
fin_b_009,BCD,,,,29373,4655,34028
fin_b_010,ABD,,,,39209,7830,47039
fin_b_011,ABC,,,,30068,4482,34550
fin_b_012,D,,,,22685,9824,32509
fin_b_013,40.05,10.10,,,26597,6993,33590
fin_b_014,1.12,9.82,8.70,,26937,7156,34093
fin_b_015,宁德时代>美的集团,19.75,,,25644,5428,31072
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,30225,6557,36782
fin_b_017,1049321.98,0.08,,,20933,6126,27059
fin_b_018,2.58,7.65,,,20183,6306,26489
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,63987,11462,75449
fin_b_020,112.32,112.31,0.01,,21345,7655,29000
ins_b_001,333.20,,,,23970,6549,30519
ins_b_002,BC,,,,18747,4385,23132
ins_b_003,366.00,,,,25653,7288,32941
ins_b_004,BCD,,,,22055,4348,26403
ins_b_005,BD,,,,22849,3992,26841
ins_b_006,BCD,,,,29410,3818,33228
ins_b_007,BC,,,,21354,4323,25677
ins_b_008,ABCD,,,,20714,4220,24934
ins_b_009,BC,,,,28227,7033,35260
ins_b_010,A,,,,25715,6301,32016
ins_b_011,16.00,,,,17896,5971,23867
ins_b_012,BCD,,,,25392,3791,29183
ins_b_013,BD,,,,30085,3837,33922
ins_b_014,ACD,,,,14387,4070,18457
ins_b_015,AC,,,,21902,3719,25621
ins_b_016,ABD,,,,20754,3613,24367
ins_b_017,ABCD,,,,25536,4273,29809
ins_b_018,60.00,,,,17997,4562,22559
ins_b_019,211.50,,,,24061,6119,30180
ins_b_020,ACD,,,,22704,4372,27076
reg_b_001,ACD,,,,11728,890,12618
reg_b_003,2026年3月30日,,,,7596,6253,13849
reg_b_004,2026年6月30日,,,,6793,4912,11705
reg_b_005,BCD,,,,14264,547,14811
reg_b_007,30.00,,,,7543,4378,11921
reg_b_008,BC,,,,14548,704,15252
reg_b_009,BC,,,,12457,951,13408
reg_b_013,B,,,,11298,772,12070
reg_b_014,99.25,,,,9473,6169,15642
reg_b_015,AC,,,,10301,1454,11755
reg_b_016,2.00,,,,6942,5676,12618
reg_b_017,AC,,,,12328,989,13317
reg_b_018,2026年4月1日,,,,7248,5036,12284
reg_b_020,B,,,,10492,513,11005
reg_b_021,B,,,,11820,688,12508
reg_b_023,AB,,,,9006,1140,10146
reg_b_024,B,,,,15372,919,16291
reg_b_025,AC,,,,10196,765,10961
reg_b_026,B,,,,11162,1081,12243
reg_b_027,BD,,,,13275,854,14129
res_b_001,AB,,,,20196,1303,21499
res_b_002,AC,,,,27975,5010,32985
res_b_003,AB,,,,18151,2031,20182
res_b_004,BCD,,,,18528,1310,19838
res_b_005,22.19,,,,18902,6990,25892
res_b_006,AB,,,,18985,1977,20962
res_b_007,61.98,,,,16672,5725,22397
res_b_008,C,,,,17635,3717,21352
res_b_009,ABC,,,,18082,2945,21027
res_b_010,AC,,,,18270,1481,19751
res_b_011,BC,,,,17844,1308,19152
res_b_012,67.10,,,,23779,10644,34423
res_b_013,AB,,,,18681,1482,20163
res_b_014,C,,,,24322,6492,30814
res_b_015,BD,,,,19031,1150,20181
res_b_016,BD,,,,20752,1474,22226
res_b_017,AC,,,,22756,4494,27250
res_b_018,CD,,,,24046,4566,28612
res_b_019,AB,,,,18663,1612,20275
res_b_020,BD,,,,19504,1474,20978
