qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,2060847,566721,2627568
fc_b_001,5.55%,5.36%,7.68%,7.35%,20613,5617,26230
fc_b_002,ACD,,,,18560,4019,22579
fc_b_003,ABCD,,,,17314,4322,21636
fc_b_004,ABC,,,,19662,4481,24143
fc_b_005,1468.47%,740.58%,,,20263,6267,26530
fc_b_006,B,,,,22602,4484,27086
fc_b_007,B,,,,27729,6792,34521
fc_b_008,ABC,,,,27570,7228,34798
fc_b_009,ABD,,,,26961,4272,31233
fc_b_010,BCD,,,,19049,3981,23030
fc_b_011,ABC,,,,17971,4635,22606
fc_b_012,BCD,,,,17375,4098,21473
fc_b_013,B,,,,13202,2427,15629
fc_b_014,14.41,,,,22153,6134,28287
fc_b_015,CD,,,,19293,4243,23536
fc_b_016,D,,,,26961,8851,35812
fc_b_017,BC,,,,18772,4646,23418
fc_b_018,ABD,,,,17898,4201,22099
fc_b_019,ABCD,,,,40922,9001,49923
fc_b_020,2.30,,,,19978,8226,28204
fin_b_001,ACD,,,,21043,5381,26424
fin_b_002,BCD,,,,21974,5037,27011
fin_b_003,ABCD,,,,27094,5110,32204
fin_b_004,ABD,,,,43920,14333,58253
fin_b_005,AC,,,,32218,10636,42854
fin_b_006,BC,,,,22895,7339,30234
fin_b_007,ABD,,,,25941,8736,34677
fin_b_008,AC,,,,21120,5505,26625
fin_b_009,BC,,,,29621,7045,36666
fin_b_010,A,,,,29838,8061,37899
fin_b_011,BC,,,,36895,7613,44508
fin_b_012,ABCD,,,,25750,10292,36042
fin_b_013,40.05,10.10,,,22679,7285,29964
fin_b_014,1.12,9.82,8.69,,21713,7821,29534
fin_b_015,宁德时代新能源科技股份有限公司>美的集团股份有限公司,19.75,,,29713,8922,38635
fin_b_016,甲公司>乙公司,123.45,,,37902,14499,52401
fin_b_017,1049321.98,0.08,,,20575,6623,27198
fin_b_018,2.73,7.22,,,27788,10085,37873
fin_b_019,宁德时代>美的集团>比亚迪,1.56,,,22375,11531,33906
fin_b_020,112.32,112.31,0.01,,19401,7153,26554
ins_b_001,333.20,,,,35569,10651,46220
ins_b_002,BC,,,,21750,4899,26649
ins_b_003,366.00,,,,26345,7485,33830
ins_b_004,BCD,,,,22641,4713,27354
ins_b_005,D,,,,27213,7506,34719
ins_b_006,BCD,,,,22909,4360,27269
ins_b_007,C,,,,22089,4217,26306
ins_b_008,ABCD,,,,21377,4669,26046
ins_b_009,BCD,,,,24841,4579,29420
ins_b_010,B,,,,16115,4554,20669
ins_b_011,16.00,,,,18298,4855,23153
ins_b_012,BC,,,,20302,4322,24624
ins_b_013,BD,,,,22152,4059,26211
ins_b_014,ACD,,,,14224,4273,18497
ins_b_015,AC,,,,24210,3870,28080
ins_b_016,ABD,,,,23927,4604,28531
ins_b_017,ABCD,,,,22828,4536,27364
ins_b_018,60.00,,,,18393,4634,23027
ins_b_019,211.50,,,,25629,6760,32389
ins_b_020,ACD,,,,24134,4677,28811
reg_b_001,ACD,,,,12140,1211,13351
reg_b_003,20260330.00,,,,12039,7275,19314
reg_b_004,20260630.00,,,,10400,6538,16938
reg_b_005,CD,,,,19026,4007,23033
reg_b_007,30.00,,,,11179,5342,16521
reg_b_008,BC,,,,13337,1067,14404
reg_b_009,BC,,,,12450,1271,13721
reg_b_013,B,,,,11760,929,12689
reg_b_014,99.25,,,,13119,6187,19306
reg_b_015,AC,,,,10989,1567,12556
reg_b_016,2.00,,,,10290,5726,16016
reg_b_017,AC,,,,12211,1245,13456
reg_b_018,4.01,,,,10423,11432,21855
reg_b_020,B,,,,11550,880,12430
reg_b_021,B,,,,11619,1005,12624
reg_b_023,AB,,,,10133,1192,11325
reg_b_024,B,,,,14054,1159,15213
reg_b_025,AC,,,,15005,4910,19915
reg_b_026,B,,,,12061,1281,13342
reg_b_027,BD,,,,11947,1182,13129
res_b_001,AB,,,,19073,4677,23750
res_b_002,AC,,,,19827,4682,24509
res_b_003,AB,,,,17992,4727,22719
res_b_004,BCD,,,,18768,4486,23254
res_b_005,22.19,,,,18931,7942,26873
res_b_006,B,,,,22720,7617,30337
res_b_007,61.98,,,,16901,6109,23010
res_b_008,AC,,,,18390,4426,22816
res_b_009,ABC,,,,17936,5122,23058
res_b_010,AC,,,,17837,4681,22518
res_b_011,BC,,,,18971,4458,23429
res_b_012,67.10,,,,23327,18135,41462
res_b_013,AB,,,,24174,8259,32433
res_b_014,CD,,,,17714,4756,22470
res_b_015,BD,,,,20005,4546,24551
res_b_016,BD,,,,18983,4413,23396
res_b_017,AC,,,,17425,4669,22094
res_b_018,AD,,,,21120,7391,28511
res_b_019,AB,,,,18595,4563,23158
res_b_020,BD,,,,16177,4501,20678
