qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,2075277,387746,2463023
fc_b_001,5.55%,5.36%,7.68%,7.35%,18898,5082,23980
fc_b_002,ACD,,,,19307,860,20167
fc_b_003,ABCD,,,,24738,3112,27850
fc_b_004,ABC,,,,21316,1742,23058
fc_b_005,1468.47%,740.58%,,,17392,6353,23745
fc_b_006,B,,,,21100,1062,22162
fc_b_007,BC,,,,25116,1607,26723
fc_b_008,ABC,,,,24779,1249,26028
fc_b_009,ABD,,,,27646,1052,28698
fc_b_010,BCD,,,,19606,867,20473
fc_b_011,ABC,,,,18537,887,19424
fc_b_012,BCD,,,,19218,553,19771
fc_b_013,A,,,,8908,153,9061
fc_b_014,14.41,,,,22266,4990,27256
fc_b_015,CD,,,,19045,957,20002
fc_b_016,C,,,,16197,592,16789
fc_b_017,BC,,,,18918,1029,19947
fc_b_018,ABD,,,,18504,821,19325
fc_b_019,ABCD,,,,18246,842,19088
fc_b_020,2.30,,,,16559,5537,22096
fin_b_001,ACD,,,,22156,4750,26906
fin_b_002,BCD,,,,26935,4890,31825
fin_b_003,ABCD,,,,29506,4949,34455
fin_b_004,D,,,,35812,7760,43572
fin_b_005,ACD,,,,35437,6923,42360
fin_b_006,BC,,,,19544,4437,23981
fin_b_007,ABD,,,,20554,4497,25051
fin_b_008,AC,,,,29001,4746,33747
fin_b_009,BCD,,,,29373,4756,34129
fin_b_010,AD,,,,33010,4778,37788
fin_b_011,ABC,,,,30068,4502,34570
fin_b_012,AB,,,,31538,7580,39118
fin_b_013,40.05,10.10,,,26597,7119,33716
fin_b_014,1.12,9.82,8.70,,39949,11375,51324
fin_b_015,宁德时代>美的集团,19.76,,,38012,9255,47267
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,44891,10421,55312
fin_b_017,1049321.98,0.08,,,20933,6431,27364
fin_b_018,2.58,7.65,,,20183,6317,26500
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,45132,13142,58274
fin_b_020,112.32,112.31,0.01,,21345,6940,28285
ins_b_001,333.20,,,,23970,6603,30573
ins_b_002,BC,,,,18353,4535,22888
ins_b_003,366.00,,,,25653,6668,32321
ins_b_004,CD,,,,27143,7090,34233
ins_b_005,BD,,,,22849,3912,26761
ins_b_006,BCD,,,,29410,3636,33046
ins_b_007,BC,,,,21354,4293,25647
ins_b_008,ABCD,,,,20714,4064,24778
ins_b_009,BC,,,,28227,7064,35291
ins_b_010,AB,,,,21270,4133,25403
ins_b_011,16.00,,,,17896,6521,24417
ins_b_012,BCD,,,,25392,3799,29191
ins_b_013,BD,,,,30085,3816,33901
ins_b_014,ACD,,,,14387,3658,18045
ins_b_015,AC,,,,21902,3921,25823
ins_b_016,ABD,,,,20754,3577,24331
ins_b_017,ABCD,,,,25536,4381,29917
ins_b_018,60.00,,,,17997,4878,22875
ins_b_019,211.50,,,,24061,5887,29948
ins_b_020,ACD,,,,22704,4446,27150
reg_b_001,ACD,,,,11728,1002,12730
reg_b_003,2026年3月30日,,,,7596,6085,13681
reg_b_004,2026年6月30日,,,,6793,6183,12976
reg_b_005,BCD,,,,14264,547,14811
reg_b_007,30.00,,,,7543,4721,12264
reg_b_008,BC,,,,14548,736,15284
reg_b_009,BC,,,,12457,1039,13496
reg_b_013,B,,,,11298,627,11925
reg_b_014,99.25,,,,9473,5761,15234
reg_b_015,AC,,,,10301,1213,11514
reg_b_016,2.00,,,,6942,5489,12431
reg_b_017,AC,,,,12328,1016,13344
reg_b_018,2026年4月1日,,,,7248,6506,13754
reg_b_020,B,,,,10492,625,11117
reg_b_021,B,,,,11820,668,12488
reg_b_023,AB,,,,9006,905,9911
reg_b_024,B,,,,15372,1057,16429
reg_b_025,AC,,,,10196,735,10931
reg_b_026,B,,,,11162,991,12153
reg_b_027,BD,,,,13275,754,14029
res_b_001,AB,,,,20196,1230,21426
res_b_002,A,,,,27999,6313,34312
res_b_003,AB,,,,18151,1860,20011
res_b_004,BCD,,,,18528,1321,19849
res_b_005,22.27,,,,27397,10245,37642
res_b_006,AB,,,,18985,3276,22261
res_b_007,61.98,,,,16672,5313,21985
res_b_008,C,,,,24248,6168,30416
res_b_009,ABC,,,,18082,2198,20280
res_b_010,AC,,,,18270,1437,19707
res_b_011,BC,,,,17844,1350,19194
res_b_012,67.05,,,,23775,10344,34119
res_b_013,AB,,,,18681,1455,20136
res_b_014,C,,,,18213,4420,22633
res_b_015,BD,,,,19031,1266,20297
res_b_016,BD,,,,20752,1366,22118
res_b_017,AC,,,,22756,4442,27198
res_b_018,CD,,,,17759,1499,19258
res_b_019,AB,,,,18663,1331,19994
res_b_020,BD,,,,19504,2455,21959
