qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,469924,132969,602893
fc_b_001,5.55%,5.36%,7.68%,7.35%,2341,1455,3796
fc_b_002,ACD,,,,3969,603,4572
fc_b_003,ABCD,,,,5730,547,6277
fc_b_004,BC,,,,3969,603,4572
fc_b_005,1468.47%,740.58%,,,6015,3484,9499
fc_b_006,B,,,,5730,547,6277
fc_b_007,BC,,,,3623,624,4247
fc_b_008,ABC,,,,3623,624,4247
fc_b_009,ABD,,,,3623,624,4247
fc_b_010,BCD,,,,3882,992,4874
fc_b_011,ABC,,,,5730,547,6277
fc_b_012,BCD,,,,4241,267,4508
fc_b_013,A,,,,3124,1057,4181
fc_b_014,14.41,,,,2633,1365,3998
fc_b_015,CD,,,,3881,992,4873
fc_b_016,C,,,,3124,1057,4181
fc_b_017,C,,,,3881,992,4873
fc_b_018,ABD,,,,3968,603,4571
fc_b_019,ABCD,,,,3124,1057,4181
fc_b_020,2.30,,,,2203,1477,3680
fin_b_001,ACD,,,,11432,1933,13365
fin_b_002,BCD,,,,11432,1933,13365
fin_b_003,AD,,,,11432,1933,13365
fin_b_004,AB,,,,11432,1933,13365
fin_b_005,ACD,,,,14750,3014,17764
fin_b_006,ABCD,,,,11432,1933,13365
fin_b_007,BD,,,,11432,1933,13365
fin_b_008,AC,,,,25745,5354,31099
fin_b_009,C,,,,17410,3467,20877
fin_b_010,AD,,,,11432,1933,13365
fin_b_011,ABC,,,,14750,3014,17764
fin_b_012,A,,,,37113,7056,44169
fin_b_013,40.05,10.10,,,6778,3679,10457
fin_b_014,,,,,9802,4530,14332
fin_b_015,宁德时代>美的集团,28.17,,,6860,6198,13058
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,4470,1473,5943
fin_b_017,1049321.98,0.08,,,2152,1594,3746
fin_b_018,2.58,7.65,,,2308,1481,3789
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,6973,5807,12780
fin_b_020,112.32,112.31,0.01,,3436,1645,5081
ins_b_001,333.20,,,,3650,1597,5247
ins_b_002,BC,,,,2409,591,3000
ins_b_003,,,,,5263,5602,10865
ins_b_004,CD,,,,2409,591,3000
ins_b_005,B,,,,2356,558,2914
ins_b_006,BCD,,,,2409,591,3000
ins_b_007,C,,,,2409,591,3000
ins_b_008,ABCD,,,,2409,591,3000
ins_b_009,BCD,,,,2356,558,2914
ins_b_010,B,,,,2356,558,2914
ins_b_011,16.00,,,,1691,1585,3276
ins_b_012,BD,,,,2356,558,2914
ins_b_013,BD,,,,2409,591,3000
ins_b_014,ACD,,,,2409,591,3000
ins_b_015,AC,,,,2356,558,2914
ins_b_016,AB,,,,2356,558,2914
ins_b_017,ABCD,,,,2409,591,3000
ins_b_018,60.00,,,,1870,1432,3302
ins_b_019,211.50,,,,3637,1526,5163
ins_b_020,ACD,,,,2356,558,2914
reg_b_001,AC,,,,2150,413,2563
reg_b_003,2026年3月30日,,,,2510,1372,3882
reg_b_004,2026年6月30日,,,,2588,1551,4139
reg_b_005,BCD,,,,1963,383,2346
reg_b_007,30.00,,,,2519,1378,3897
reg_b_008,B,,,,1963,383,2346
reg_b_009,BC,,,,2150,413,2563
reg_b_013,B,,,,1963,383,2346
reg_b_014,99.25,,,,2316,1411,3727
reg_b_015,AC,,,,2150,413,2563
reg_b_016,2.00,,,,2730,1422,4152
reg_b_017,AC,,,,2217,422,2639
reg_b_018,2026年4月1日,,,,2652,1432,4084
reg_b_020,B,,,,2030,392,2422
reg_b_021,B,,,,2030,392,2422
reg_b_023,AB,,,,2217,422,2639
reg_b_024,B,,,,2030,392,2422
reg_b_025,AC,,,,2217,422,2639
reg_b_026,B,,,,2030,392,2422
reg_b_027,BD,,,,2030,392,2422
res_b_001,AB,,,,3207,748,3955
res_b_002,AD,,,,3090,606,3696
res_b_003,AB,,,,3090,606,3696
res_b_004,BCD,,,,3207,748,3955
res_b_005,22.19,,,,2421,1753,4174
res_b_006,AB,,,,3090,605,3695
res_b_007,61.98,,,,2200,1512,3712
res_b_008,AC,,,,3207,747,3954
res_b_009,ABC,,,,5474,1053,6527
res_b_010,AC,,,,3090,605,3695
res_b_011,BC,,,,3207,747,3954
res_b_012,67.10,,,,2138,1915,4053
res_b_013,AB,,,,3207,747,3954
res_b_014,CD,,,,3090,605,3695
res_b_015,BD,,,,3090,605,3695
res_b_016,BD,,,,3207,747,3954
res_b_017,AC,,,,3090,605,3695
res_b_018,CD,,,,3090,605,3695
res_b_019,AB,,,,3207,747,3954
res_b_020,BD,,,,3207,747,3954
