qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,2925124,535678,3460802,
fc_b_001,5.55%,5.36%,7.68%,7.35%,21297,3783,25080,
fc_b_002,ACD,,,,27134,1290,28424,
fc_b_003,ABCD,,,,43998,10289,54287,
fc_b_004,ABC,,,,30508,1412,31920,
fc_b_005,1468.47%,740.58%,,,19625,6480,26105,
fc_b_006,B,,,,33520,1806,35326,
fc_b_007,BC,,,,39193,2323,41516,
fc_b_008,ABC,,,,37979,2368,40347,
fc_b_009,ABD,,,,40613,1335,41948,
fc_b_010,BCD,,,,28582,1389,29971,
fc_b_011,ABC,,,,27917,1381,29298,
fc_b_012,BCD,,,,29899,900,30799,
fc_b_013,A,,,,11302,394,11696,
fc_b_014,14.41,,,,24750,5609,30359,
fc_b_015,CD,,,,29423,1505,30928,
fc_b_016,C,,,,23894,1026,24920,
fc_b_017,BC,,,,28474,1240,29714,
fc_b_018,ABD,,,,27164,1284,28448,
fc_b_019,ABCD,,,,32349,1114,33463,
fc_b_020,2.30,,,,26499,5835,32334,
fin_b_001,ACD,,,,33806,8436,42242,
fin_b_002,BCD,,,,41623,8144,49767,
fin_b_003,ABCD,,,,46674,8364,55038,
fin_b_004,AB,,,,72056,22974,95030,
fin_b_005,ACD,,,,41985,7664,49649,
fin_b_006,BC,,,,27627,7627,35254,
fin_b_007,ABD,,,,32399,7845,40244,
fin_b_008,AC,,,,45815,9486,55301,
fin_b_009,BCD,,,,42728,7895,50623,
fin_b_010,AD,,,,48461,9656,58117,
fin_b_011,ABC,,,,47245,8070,55315,
fin_b_012,A,,,,41255,9559,50814,
fin_b_013,40.05,10.10,,,29293,6738,36031,
fin_b_014,1.12,9.82,8.70,,29805,6575,36380,
fin_b_015,宁德时代>美的集团,19.75,,,28214,4258,32472,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,47518,13461,60979,
fin_b_017,1049321.98,0.08,,,22549,6911,29460,
fin_b_018,2.58,7.65,,,22551,6780,29331,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,32973,11706,44679,
fin_b_020,112.32,112.31,0.01,,34231,11963,46194,
ins_b_001,333.20,,,,25694,7467,33161,
ins_b_002,BC,,,,27641,7789,35430,
ins_b_003,366.00,,,,27377,7455,34832,
ins_b_004,BCD,,,,33895,7126,41021,
ins_b_005,BD,,,,34800,6610,41410,
ins_b_006,BCD,,,,41586,6368,47954,
ins_b_007,BC,,,,31661,7123,38784,
ins_b_008,AC,,,,44769,15280,60049,
ins_b_009,BCD,,,,35221,7178,42399,
ins_b_010,AD,,,,32814,7020,39834,
ins_b_011,16.00,,,,19608,4537,24145,
ins_b_012,BCD,,,,37511,5944,43455,
ins_b_013,BD,,,,43517,6498,50015,
ins_b_014,ACD,,,,21037,5684,26721,
ins_b_015,AC,,,,32685,6494,39179,
ins_b_016,ABD,,,,30589,6260,36849,
ins_b_017,ABCD,,,,39465,7211,46676,
ins_b_018,60.00,,,,19709,3834,23543,
ins_b_019,211.50,,,,25785,6194,31979,
ins_b_020,ACD,,,,33144,7432,40576,
reg_b_001,ACD,,,,31952,8940,40892,
reg_b_003,2026年3月30日,,,,10104,6688,16792,
reg_b_004,2026年6月30日,,,,9301,6618,15919,
reg_b_005,BCD,,,,21658,1072,22730,
reg_b_007,30.00,,,,10051,4396,14447,
reg_b_008,BC,,,,21302,1351,22653,
reg_b_009,BC,,,,17583,1465,19048,
reg_b_013,B,,,,16620,1071,17691,
reg_b_014,99.25,,,,11981,5621,17602,
reg_b_015,AC,,,,15145,1899,17044,
reg_b_016,2.00,,,,9450,5277,14727,
reg_b_017,AC,,,,17587,1545,19132,
reg_b_018,2026年4月1日,,,,9756,6945,16701,
reg_b_020,B,,,,15708,1210,16918,
reg_b_021,B,,,,16716,1231,17947,
reg_b_023,AB,,,,13865,1562,15427,
reg_b_024,B,,,,20352,1444,21796,
reg_b_025,AC,,,,28255,8002,36257,
reg_b_026,B,,,,16765,1365,18130,
reg_b_027,BD,,,,18390,1514,19904,
res_b_001,AB,,,,32037,1963,34000,
res_b_002,AC,,,,30878,2037,32915,
res_b_003,AB,,,,27541,3008,30549,
res_b_004,BCD,,,,27257,1826,29083,
res_b_005,22.19,,,,21410,7562,28972,
res_b_006,AB,,,,30220,2071,32291,
res_b_007,61.98,,,,19180,7021,26201,
res_b_008,C,,,,27153,3472,30625,
res_b_009,ABC,,,,28884,3496,32380,
res_b_010,AC,,,,27973,2535,30508,
res_b_011,BC,,,,27803,2067,29870,
res_b_012,67.10,,,,26333,14614,40947,
res_b_013,A,,,,53222,10809,64031,
res_b_014,CD,,,,29078,5283,34361,
res_b_015,BD,,,,29908,1758,31666,
res_b_016,BD,,,,32876,2030,34906,
res_b_017,AC,,,,42413,11045,53458,
res_b_018,CD,,,,27026,1792,28818,
res_b_019,AB,,,,28938,2288,31226,
res_b_020,BD,,,,31017,3406,34423,
