qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,2806480,521096,3327576
fc_b_001,5.55%,5.36%,7.68%,7.35%,18898,5234,24132
fc_b_002,ACD,,,,28525,1198,29723
fc_b_003,ABCD,,,,43851,9467,53318
fc_b_004,ABC,,,,31547,1357,32904
fc_b_005,1468.47%,740.58%,,,17392,6518,23910
fc_b_006,B,,,,31216,1623,32839
fc_b_007,BC,,,,37233,2146,39379
fc_b_008,ABC,,,,36710,2533,39243
fc_b_009,ABD,,,,41020,1419,42439
fc_b_010,BCD,,,,28987,1311,30298
fc_b_011,ABC,,,,27363,1332,28695
fc_b_012,BCD,,,,28411,778,29189
fc_b_013,A,,,,8975,161,9136
fc_b_014,14.41,,,,22266,5397,27663
fc_b_015,CD,,,,28146,1363,29509
fc_b_016,C,,,,23904,824,24728
fc_b_017,BC,,,,27965,1560,29525
fc_b_018,ABD,,,,27338,1250,28588
fc_b_019,ABCD,,,,29512,1123,30635
fc_b_020,2.30,,,,16559,4821,21380
fin_b_001,ACD,,,,32858,7637,40495
fin_b_002,BCD,,,,59684,17937,77621
fin_b_003,ABCD,,,,43903,7673,51576
fin_b_004,A,,,,48132,7464,55596
fin_b_005,ACD,,,,41957,8485,50442
fin_b_006,BC,,,,28940,7137,36077
fin_b_007,ABD,,,,30453,7175,37628
fin_b_008,AC,,,,43125,7688,50813
fin_b_009,BCD,,,,43687,7199,50886
fin_b_010,AD,,,,49138,7692,56830
fin_b_011,ABC,,,,44720,7011,51731
fin_b_012,D,,,,38782,9540,48322
fin_b_013,40.05,10.10,,,26597,6937,33534
fin_b_014,1.12,9.82,8.69,,39949,11727,51676
fin_b_015,宁德时代>美的集团,19.75,,,25644,6184,31828
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,30225,6700,36925
fin_b_017,1049321.98,0.08,,,20933,6494,27427
fin_b_018,2.58,7.65,,,20183,5984,26167
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,30395,12299,42694
fin_b_020,1123.23,1123.09,0.15,,31564,11028,42592
ins_b_001,333.20,,,,23970,6505,30475
ins_b_002,BC,,,,42086,15374,57460
ins_b_003,366.00,,,,25653,7231,32884
ins_b_004,BCD,,,,32456,6977,39433
ins_b_005,BD,,,,33672,6584,40256
ins_b_006,BCD,,,,43519,6453,49972
ins_b_007,BC,,,,31428,6555,37983
ins_b_008,ABCD,,,,30461,6701,37162
ins_b_009,BC,,,,49198,15267,64465
ins_b_010,A,,,,44883,14876,59759
ins_b_011,16.00,,,,17896,6493,24389
ins_b_012,BCD,,,,37493,5769,43262
ins_b_013,BD,,,,44533,5690,50223
ins_b_014,ACD,,,,20971,5329,26300
ins_b_015,AC,,,,32257,5942,38199
ins_b_016,ABD,,,,30528,5324,35852
ins_b_017,ABCD,,,,37708,6701,44409
ins_b_018,60.00,,,,17997,4792,22789
ins_b_019,211.50,,,,24061,5905,29966
ins_b_020,ACD,,,,33438,7056,40494
reg_b_001,ACD,,,,17014,1375,18389
reg_b_003,2026年3月30日,,,,7596,5975,13571
reg_b_004,2026年6月30日,,,,6793,5767,12560
reg_b_005,BCD,,,,20825,1005,21830
reg_b_007,30.00,,,,7543,4952,12495
reg_b_008,BC,,,,21237,1219,22456
reg_b_009,BC,,,,18105,1553,19658
reg_b_013,B,,,,16508,1092,17600
reg_b_014,99.25,,,,9473,5197,14670
reg_b_015,AC,,,,14904,2029,16933
reg_b_016,2.00,,,,6942,5663,12605
reg_b_017,AC,,,,17863,1480,19343
reg_b_018,2026年4月1日,,,,7248,5611,12859
reg_b_020,B,,,,15290,811,16101
reg_b_021,B,,,,17220,1077,18297
reg_b_023,AB,,,,12974,1554,14528
reg_b_024,B,,,,21641,1433,23074
reg_b_025,AC,,,,14717,1236,15953
reg_b_026,B,,,,16266,1391,17657
reg_b_027,BD,,,,19368,1221,20589
res_b_001,AB,,,,29422,1730,31152
res_b_002,A,,,,54015,13130,67145
res_b_003,AB,,,,26362,3083,29445
res_b_004,BCD,,,,26926,2103,29029
res_b_005,22.19,,,,18902,6601,25503
res_b_006,AB,,,,27605,2782,30387
res_b_007,61.98,,,,16672,5461,22133
res_b_008,C,,,,25596,4825,30421
res_b_009,ABC,,,,26269,3538,29807
res_b_010,AC,,,,26535,2243,28778
res_b_011,BC,,,,25901,1878,27779
res_b_012,67.10,,,,16511,6839,23350
res_b_013,AB,,,,27161,2252,29413
res_b_014,CD,,,,44991,13322,58313
res_b_015,BD,,,,27689,1804,29493
res_b_016,BD,,,,30261,2364,32625
res_b_017,AC,,,,24866,2829,27695
res_b_018,CD,,,,44837,10563,55400
res_b_019,AB,,,,27135,2218,29353
res_b_020,BD,,,,28402,6960,35362
