qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,2767381,368372,3135753,
fc_b_001,5.55%,5.36%,7.68%,7.35%,19046,2365,21411,
fc_b_002,ACD,,,,28144,1035,29179,
fc_b_003,ABCD,,,,43338,5635,48973,
fc_b_004,ABC,,,,31628,1091,32719,
fc_b_005,1468.47%,740.58%,,,17232,2587,19819,
fc_b_006,B,,,,30652,1041,31693,
fc_b_007,BC,,,,36669,1638,38307,
fc_b_008,ABC,,,,36146,1357,37503,
fc_b_009,ABD,,,,40456,1137,41593,
fc_b_010,BCD,,,,28807,1228,30035,
fc_b_011,ABC,,,,27093,1313,28406,
fc_b_012,BCD,,,,28615,655,29270,
fc_b_013,A,,,,8987,158,9145,
fc_b_014,14.41,,,,22180,3138,25318,
fc_b_015,CD,,,,27966,1253,29219,
fc_b_016,C,,,,23940,819,24759,
fc_b_017,BC,,,,27959,1037,28996,
fc_b_018,ABD,,,,27386,1024,28410,
fc_b_019,ABCD,,,,29386,937,30323,
fc_b_020,2.30,,,,24317,4537,28854,
fin_b_001,ACD,,,,33062,7099,40161,
fin_b_002,BCD,,,,40175,7126,47301,
fin_b_003,ABCD,,,,43951,6748,50699,
fin_b_004,AB,,,,73352,21616,94968,
fin_b_005,ACD,,,,41825,6965,48790,
fin_b_006,BC,,,,28823,5560,34383,
fin_b_007,ABD,,,,30336,6077,36413,
fin_b_008,AC,,,,43362,8084,51446,
fin_b_009,BCD,,,,43735,6584,50319,
fin_b_010,AD,,,,49360,8682,58042,
fin_b_011,ABC,,,,44585,6892,51477,
fin_b_012,A,,,,40723,11868,52591,
fin_b_013,40.05,10.10,,,26811,4745,31556,
fin_b_014,1.12,9.82,8.70,,27151,5907,33058,
fin_b_015,宁德时代>美的集团,19.75,,,25724,3597,29321,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,30231,7765,37996,
fin_b_017,1049321.98,0.08,,,20085,3102,23187,
fin_b_018,2.58,7.65,,,20219,2179,22398,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,64317,10341,74658,
fin_b_020,112.32,112.31,0.01,,21639,7672,29311,
ins_b_001,333.20,,,,24152,3363,27515,
ins_b_002,BC,,,,27548,5514,33062,
ins_b_003,366.00,,,,25835,4200,30035,
ins_b_004,BCD,,,,32588,6215,38803,
ins_b_005,BD,,,,34704,4376,39080,
ins_b_006,BCD,,,,43681,4333,48014,
ins_b_007,BC,,,,31347,4908,36255,
ins_b_008,ABCD,,,,29738,4289,34027,
ins_b_009,BCD,,,,34882,4057,38939,
ins_b_010,AD,,,,45186,10686,55872,
ins_b_011,16.00,,,,17966,3071,21037,
ins_b_012,BCD,,,,37517,3635,41152,
ins_b_013,BD,,,,45154,4212,49366,
ins_b_014,ACD,,,,20986,3340,24326,
ins_b_015,AC,,,,32707,4007,36714,
ins_b_016,ABD,,,,31251,3770,35021,
ins_b_017,ABCD,,,,37627,4994,42621,
ins_b_018,60.00,,,,18067,1917,19984,
ins_b_019,211.50,,,,24243,3073,27316,
ins_b_020,ACD,,,,33981,7160,41141,
reg_b_001,ACD,,,,17014,1231,18245,
reg_b_003,2026年3月30日,,,,7690,3572,11262,
reg_b_004,2026年6月30日,,,,6887,2647,9534,
reg_b_005,BCD,,,,20825,861,21686,
reg_b_007,30.00,,,,7637,1373,9010,
reg_b_008,BC,,,,21237,1163,22400,
reg_b_009,BC,,,,18105,1281,19386,
reg_b_013,B,,,,16508,896,17404,
reg_b_014,99.25,,,,9567,2284,11851,
reg_b_015,AC,,,,14904,1795,16699,
reg_b_016,2.00,,,,7036,2617,9653,
reg_b_017,AC,,,,17863,1270,19133,
reg_b_018,2026年4月1日,,,,7342,2461,9803,
reg_b_020,B,,,,15290,825,16115,
reg_b_021,B,,,,17220,986,18206,
reg_b_023,AB,,,,12974,1477,14451,
reg_b_024,B,,,,22463,1170,23633,
reg_b_025,AC,,,,14717,1097,15814,
reg_b_026,B,,,,16266,1037,17303,
reg_b_027,BD,,,,19368,1087,20455,
res_b_001,AB,,,,29422,1612,31034,
res_b_002,AC,,,,28263,2453,30716,
res_b_003,AB,,,,26362,2484,28846,
res_b_004,BCD,,,,26926,1597,28523,
res_b_005,22.19,,,,18996,5567,24563,
res_b_006,AB,,,,27605,1519,29124,
res_b_007,61.98,,,,16766,2341,19107,
res_b_008,C,,,,25596,3352,28948,
res_b_009,ABC,,,,26269,3508,29777,
res_b_010,AC,,,,26535,1796,28331,
res_b_011,BC,,,,25901,1975,27876,
res_b_012,67.05,,,,23916,8541,32457,
res_b_013,AC,,,,27317,4097,31414,
res_b_014,CD,,,,24831,4458,29289,
res_b_015,BD,,,,27689,1330,29019,
res_b_016,BD,,,,30261,1734,31995,
res_b_017,AC,,,,24866,1758,26624,
res_b_018,CD,,,,44837,9277,54114,
res_b_019,AB,,,,27135,1622,28757,
res_b_020,BD,,,,28402,2507,30909,
