qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,381589,103392,484981
fc_b_001,5.55%,5.36%,7.68%,7.35%,2340,1461,3801
fc_b_002,ACD,,,,3968,432,4400
fc_b_003,ABCD,,,,5729,540,6269
fc_b_004,ABC,,,,3968,432,4400
fc_b_005,1468.47%,740.58%,,,5948,3521,9469
fc_b_006,B,,,,5729,540,6269
fc_b_007,ABC,,,,3622,644,4266
fc_b_008,ABC,,,,3622,644,4266
fc_b_009,ABD,,,,3622,644,4266
fc_b_010,BCD,,,,3881,1104,4985
fc_b_011,ABC,,,,5729,540,6269
fc_b_012,BCD,,,,4241,267,4508
fc_b_013,A,,,,3124,788,3912
fc_b_014,14.41,,,,2633,1413,4046
fc_b_015,CD,,,,3881,1104,4985
fc_b_016,D,,,,3124,788,3912
fc_b_017,C,,,,3881,1104,4985
fc_b_018,ABD,,,,3968,432,4400
fc_b_019,ABCD,,,,3124,788,3912
fc_b_020,23.01,,,,2203,1330,3533
fin_b_001,ACD,,,,3928,627,4555
fin_b_002,BCD,,,,3928,627,4555
fin_b_003,AD,,,,3928,627,4555
fin_b_004,AB,,,,3928,627,4555
fin_b_005,ACD,,,,5034,675,5709
fin_b_006,A,,,,9390,1027,10417
fin_b_007,BD,,,,3928,627,4555
fin_b_008,AC,,,,16029,2340,18369
fin_b_009,C,,,,9906,2130,12036
fin_b_010,AD,,,,3928,627,4555
fin_b_011,ABC,,,,5034,675,5709
fin_b_012,A,,,,27397,4341,31738
fin_b_013,40.05,10.10,,,6590,3783,10373
fin_b_014,-1.30,9.96,11.26,,9802,5598,15400
fin_b_015,宁德时代>美的集团,0.00,,,7164,3791,10955
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,4470,1758,6228
fin_b_017,1049321.98,0.08,,,2152,1606,3758
fin_b_018,2.58,7.65,,,2308,1443,3751
fin_b_019,宁德时代>美的集团>比亚迪,1.28,,,2973,1722,4695
fin_b_020,112.32,112.31,0.01,,3436,1859,5295
ins_b_001,333.20,,,,3650,1533,5183
ins_b_002,BC,,,,2409,569,2978
ins_b_003,322.00,,,,5289,5054,10343
ins_b_004,BCD,,,,2409,569,2978
ins_b_005,B,,,,6834,525,7359
ins_b_006,BCD,,,,2409,569,2978
ins_b_007,BC,,,,2409,569,2978
ins_b_008,ABCD,,,,2409,569,2978
ins_b_009,A,,,,6865,922,7787
ins_b_010,B,,,,2356,522,2878
ins_b_011,16.00,,,,1691,1604,3295
ins_b_012,BD,,,,2356,522,2878
ins_b_013,BD,,,,2409,569,2978
ins_b_014,ACD,,,,2409,569,2978
ins_b_015,AC,,,,2356,522,2878
ins_b_016,AB,,,,2356,522,2878
ins_b_017,ABCD,,,,2409,569,2978
ins_b_018,60.00,,,,1870,1414,3284
ins_b_019,211.50,,,,3637,1498,5135
ins_b_020,ACD,,,,2356,522,2878
reg_b_001,AC,,,,2150,400,2550
reg_b_003,2026年3月30日,,,,2510,1503,4013
reg_b_004,2026年6月30日,,,,2588,1435,4023
reg_b_005,BCD,,,,2053,375,2428
reg_b_007,30.00,,,,2519,1425,3944
reg_b_008,BC,,,,2053,375,2428
reg_b_009,BC,,,,2150,400,2550
reg_b_013,B,,,,2053,375,2428
reg_b_014,99.25,,,,2316,1350,3666
reg_b_015,AC,,,,2150,400,2550
reg_b_016,2.00,,,,2635,2074,4709
reg_b_017,AC,,,,2217,405,2622
reg_b_018,2026年4月1日,,,,2652,1397,4049
reg_b_020,B,,,,2120,380,2500
reg_b_021,B,,,,2120,380,2500
reg_b_023,AB,,,,2217,405,2622
reg_b_024,B,,,,2120,380,2500
reg_b_025,AC,,,,2217,405,2622
reg_b_026,B,,,,2120,380,2500
reg_b_027,BD,,,,2120,380,2500
res_b_001,AB,,,,3166,387,3553
res_b_002,AC,,,,3123,401,3524
res_b_003,AB,,,,3123,401,3524
res_b_004,BCD,,,,3123,401,3524
res_b_005,22.19,,,,2420,1544,3964
res_b_006,AB,,,,3165,387,3552
res_b_007,61.98,,,,2199,1492,3691
res_b_008,AC,,,,3165,387,3552
res_b_009,ABC,,,,4975,3081,8056
res_b_010,AC,,,,3122,401,3523
res_b_011,B,,,,3165,387,3552
res_b_012,67.10,,,,2137,1609,3746
res_b_013,AB,,,,3165,387,3552
res_b_014,CD,,,,3122,401,3523
res_b_015,BD,,,,3122,401,3523
res_b_016,BD,,,,3165,387,3552
res_b_017,AC,,,,3122,401,3523
res_b_018,ACD,,,,3122,401,3523
res_b_019,AB,,,,3165,387,3552
res_b_020,BD,,,,3165,387,3552
