qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,1336032,273621,1609653,
fc_b_001,5.55%,5.36%,7.68%,7.35%,12366,4054,16420,
fc_b_002,ACD,,,,9954,692,10646,
fc_b_003,ACD,,,,11059,773,11832,
fc_b_004,ABC,,,,10727,700,11427,
fc_b_005,1468.47%,740.58%,,,11854,3876,15730,
fc_b_006,B,,,,11983,2274,14257,
fc_b_007,BC,,,,12085,1706,13791,
fc_b_008,ABC,,,,12937,1164,14101,
fc_b_009,ABD,,,,12665,702,13367,
fc_b_010,BCD,,,,10555,738,11293,
fc_b_011,ABC,,,,10773,699,11472,
fc_b_012,BCD,,,,11253,574,11827,
fc_b_013,A,,,,9635,492,10127,
fc_b_014,14.41,,,,13427,3898,17325,
fc_b_015,CD,,,,11568,717,12285,
fc_b_016,C,,,,9605,648,10253,
fc_b_017,BC,,,,11768,714,12482,
fc_b_018,ABD,,,,10617,685,11302,
fc_b_019,ABCD,,,,13748,649,14397,
fc_b_020,2.30,,,,14766,5199,19965,
fin_b_001,ACD,,,,12553,2641,15194,
fin_b_002,BCD,,,,15606,2652,18258,
fin_b_003,ABCD,,,,19379,2737,22116,
fin_b_004,AB,,,,31077,4994,36071,
fin_b_005,ACD,,,,19526,2357,21883,
fin_b_006,BC,,,,9150,2403,11553,
fin_b_007,ABD,,,,14742,2418,17160,
fin_b_008,AC,,,,21892,2548,24440,
fin_b_009,BCD,,,,14691,2489,17180,
fin_b_010,D,,,,16747,4147,20894,
fin_b_011,ABC,,,,22641,2474,25115,
fin_b_012,AB,,,,16466,2259,18725,
fin_b_013,40.05,10.10,,,30390,12128,42518,
fin_b_014,1.12,9.82,8.70,,22836,7065,29901,
fin_b_015,宁德时代>美的集团,19.75,,,27967,8896,36863,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,31800,5502,37302,
fin_b_017,1049321.98,0.08,,,13304,5016,18320,
fin_b_018,2.58,7.65,,,16946,5289,22235,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,37092,9790,46882,
fin_b_020,112.32,112.31,0.01,,16488,6314,22802,
ins_b_001,333.20,,,,22080,10196,32276,
ins_b_002,BC,,,,9856,2429,12285,
ins_b_003,291.00,,,,12908,6396,19304,
ins_b_004,BCD,,,,12530,2216,14746,
ins_b_005,D,,,,11772,2277,14049,
ins_b_006,BCD,,,,13689,2281,15970,
ins_b_007,BC,,,,12384,2332,14716,
ins_b_008,ABCD,,,,10445,2643,13088,
ins_b_009,BCD,,,,11792,2250,14042,
ins_b_010,AB,,,,11358,2246,13604,
ins_b_011,16.00,,,,10527,5384,15911,
ins_b_012,BCD,,,,13025,2141,15166,
ins_b_013,BD,,,,13813,2266,16079,
ins_b_014,ACD,,,,9328,2223,11551,
ins_b_015,AC,,,,20741,4648,25389,
ins_b_016,ABD,,,,11609,2268,13877,
ins_b_017,ABCD,,,,12720,2262,14982,
ins_b_018,60.00,,,,10686,5112,15798,
ins_b_019,211.50,,,,15866,5588,21454,
ins_b_020,ACD,,,,11403,2209,13612,
reg_b_001,ACD,,,,8812,746,9558,
reg_b_003,2026年3月30日,,,,8267,5056,13323,
reg_b_004,2026年6月30日,,,,8942,5382,14324,
reg_b_005,BCD,,,,10073,692,10765,
reg_b_007,30.00,,,,8438,5097,13535,
reg_b_008,BC,,,,10229,769,10998,
reg_b_009,BC,,,,9179,820,9999,
reg_b_013,B,,,,8458,698,9156,
reg_b_014,99.25,,,,8034,7376,15410,
reg_b_015,AC,,,,8068,1086,9154,
reg_b_016,2.00,,,,9091,5258,14349,
reg_b_017,AC,,,,9163,831,9994,
reg_b_018,2026年4月1日,,,,8831,5785,14616,
reg_b_020,B,,,,8064,668,8732,
reg_b_021,B,,,,8790,715,9505,
reg_b_023,AB,,,,7408,996,8404,
reg_b_024,B,,,,10311,737,11048,
reg_b_025,AC,,,,8045,771,8816,
reg_b_026,B,,,,8428,761,9189,
reg_b_027,BD,,,,9552,730,10282,
res_b_001,AB,,,,14695,948,15643,
res_b_002,AC,,,,13956,1094,15050,
res_b_003,AB,,,,12986,906,13892,
res_b_004,BCD,,,,13444,953,14397,
res_b_005,22.19%,,,,9651,4281,13932,
res_b_006,AB,,,,14126,1170,15296,
res_b_007,61.98,,,,9779,5219,14998,
res_b_008,C,,,,13091,2218,15309,
res_b_009,ABC,,,,12496,1372,13868,
res_b_010,AC,,,,12529,998,13527,
res_b_011,BC,,,,13427,891,14318,
res_b_012,67.10,,,,9622,5850,15472,
res_b_013,AB,,,,13228,1134,14362,
res_b_014,C,,,,13337,1760,15097,
res_b_015,BD,,,,14097,702,14799,
res_b_016,BD,,,,14839,963,15802,
res_b_017,AC,,,,12379,850,13229,
res_b_018,CD,,,,12388,980,13368,
res_b_019,AB,,,,13095,955,14050,
res_b_020,BD,,,,13514,963,14477,
