qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,1944600,382351,2326951
fc_b_001,5.55%,5.36%,7.68%,7.35%,20650,5703,26353
fc_b_002,ACD,,,,11915,579,12494
fc_b_003,ACD,,,,12220,991,13211
fc_b_004,ABC,,,,13027,605,13632
fc_b_005,1468.47%,740.58%,,,18912,6832,25744
fc_b_006,B,,,,13121,606,13727
fc_b_007,BC,,,,15136,968,16104
fc_b_008,ABC,,,,14985,808,15793
fc_b_009,ABD,,,,16409,610,17019
fc_b_010,BCD,,,,12141,653,12794
fc_b_011,ABC,,,,11510,585,12095
fc_b_012,BCD,,,,11838,497,12335
fc_b_013,A,,,,10567,380,10947
fc_b_014,14.41,,,,23732,5681,29413
fc_b_015,CD,,,,11860,638,12498
fc_b_016,C,,,,10330,517,10847
fc_b_017,BC,,,,11859,631,12490
fc_b_018,ABD,,,,11457,610,12067
fc_b_019,ABCD,,,,13900,558,14458
fc_b_020,2.30,,,,60135,8240,68375
fin_b_001,ACD,,,,23844,4772,28616
fin_b_002,BCD,,,,28528,5016,33544
fin_b_003,ABCD,,,,31465,5135,36600
fin_b_004,ABCD,,,,56617,14288,70905
fin_b_005,ACD,,,,37336,7653,44989
fin_b_006,BC,,,,26513,7618,34131
fin_b_007,ABD,,,,22069,4684,26753
fin_b_008,AC,,,,41835,8216,50051
fin_b_009,BCD,,,,31332,4954,36286
fin_b_010,A,,,,41152,8195,49347
fin_b_011,ABC,,,,42615,7971,50586
fin_b_012,A,,,,40034,11094,51128
fin_b_013,40.05,10.10,,,28724,7116,35840
fin_b_014,1.12,9.82,8.70,,28988,7628,36616
fin_b_015,宁德时代>美的集团,19.75,,,38976,8925,47901
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,29356,6714,36070
fin_b_017,1049321.98,0.08,,,30424,9914,40338
fin_b_018,2.58,7.65,,,18296,6510,24806
fin_b_019,宁德时代>美的集团>比亚迪,1.29,,,67459,18304,85763
fin_b_020,112.32,112.31,0.01,,21206,6866,28072
ins_b_001,333.20,,,,25873,6752,32625
ins_b_002,BC,,,,11984,2771,14755
ins_b_003,366.00,,,,27556,7118,34674
ins_b_004,CD,,,,13671,2830,16501
ins_b_005,BD,,,,13639,2390,16029
ins_b_006,BCD,,,,16814,2236,19050
ins_b_007,BC,,,,13300,2689,15989
ins_b_008,ABCD,,,,13028,2799,15827
ins_b_009,BCD,,,,13901,2818,16719
ins_b_010,A,,,,13140,2698,15838
ins_b_011,16.00,,,,19755,6569,26324
ins_b_012,BCD,,,,15144,2236,17380
ins_b_013,BD,,,,17509,2491,20000
ins_b_014,ACD,,,,9779,2010,11789
ins_b_015,AC,,,,13273,2463,15736
ins_b_016,ABD,,,,12858,2143,15001
ins_b_017,ABCD,,,,14870,2723,17593
ins_b_018,60.00,,,,19856,4846,24702
ins_b_019,211.50,,,,25964,6443,32407
ins_b_020,ACD,,,,14041,2908,16949
reg_b_001,ACD,,,,8392,705,9097
reg_b_003,2026年3月30日,,,,9365,6401,15766
reg_b_004,2026年6月30日,,,,8562,6130,14692
reg_b_005,BCD,,,,9653,532,10185
reg_b_007,30.00,,,,9312,5564,14876
reg_b_008,BC,,,,9809,585,10394
reg_b_009,BC,,,,8759,711,9470
reg_b_013,B,,,,8038,662,8700
reg_b_014,99.25,,,,11242,5783,17025
reg_b_015,AC,,,,7648,819,8467
reg_b_016,2.00,,,,8711,5362,14073
reg_b_017,AC,,,,8743,712,9455
reg_b_018,2026年4月1日,,,,9017,6749,15766
reg_b_020,B,,,,7644,500,8144
reg_b_021,B,,,,8370,638,9008
reg_b_023,AB,,,,6988,773,7761
reg_b_024,B,,,,9891,664,10555
reg_b_025,AC,,,,7625,681,8306
reg_b_026,B,,,,8008,635,8643
reg_b_027,BD,,,,9132,714,9846
res_b_001,AB,,,,20411,1333,21744
res_b_002,AC,,,,18895,1806,20701
res_b_003,AB,,,,20212,1680,21892
res_b_004,BCD,,,,20959,1354,22313
res_b_005,22.19,,,,20671,7460,28131
res_b_006,A,,,,26609,5269,31878
res_b_007,61.98,,,,18441,5561,24002
res_b_008,C,,,,25984,8730,34714
res_b_009,ABC,,,,19983,2216,22199
res_b_010,AC,,,,20351,1786,22137
res_b_011,BC,,,,19613,1485,21098
res_b_012,67.10,,,,18280,7368,25648
res_b_013,AB,,,,27372,4688,32060
res_b_014,CD,,,,19982,1968,21950
res_b_015,BD,,,,20800,1178,21978
res_b_016,BD,,,,20871,1257,22128
res_b_017,AC,,,,18945,1361,20306
res_b_018,CD,,,,25815,4939,30754
res_b_019,AB,,,,20594,1582,22176
res_b_020,BD,,,,26475,5812,32287
