qid	answer	prompt_tokens	completion_tokens	total_tokens
summary		1781807	381358	2163165
ins_a_001	B	22647	5720	28367
ins_a_002	A	19323	5065	24388
ins_a_003	A	20004	5711	25715
ins_a_004	A	24168	5117	29285
ins_a_005	ABCD	23403	4378	27781
ins_a_006	A	16068	6337	22405
ins_a_007	BC	16811	4343	21154
ins_a_008	ABC	23703	4998	28701
ins_a_009	C	21347	5098	26445
ins_a_010	AB	23806	4803	28609
ins_a_011	BC	23923	4919	28842
ins_a_012	A	22148	4733	26881
ins_a_013	A	18549	4958	23507
ins_a_014	AB	23811	5036	28847
ins_a_015	AB	23560	4982	28542
ins_a_016	CD	23143	4890	28033
ins_a_017	ABCD	22651	4967	27618
ins_a_018	BCD	24136	5036	29172
ins_a_019	ABCD	22535	3940	26475
ins_a_020	D	25579	8926	34505
fc_a_001	ABD	19709	4144	23853
fc_a_002	ABD	20041	3903	23944
fc_a_003	A	7601	1144	8745
fc_a_004	ABC	20434	4711	25145
fc_a_005	AC	20233	4646	24879
fc_a_006	A	10291	2375	12666
fc_a_007	ABD	19968	4197	24165
fc_a_008	B	20374	4971	25345
fc_a_009	ABD	25716	4582	30298
fc_a_010	A	9471	1643	11114
fc_a_011	AB	19762	3898	23660
fc_a_012	AC	27079	7993	35072
fc_a_013	B	8240	2454	10694
fc_a_014	ABC	24259	7214	31473
fc_a_015	B	25272	4786	30058
fc_a_016	BC	28189	4888	33077
fc_a_017	ABD	20103	4797	24900
fc_a_018	B	9213	3460	12673
fc_a_019	A	21234	4795	26029
fc_a_020	BC	23698	7925	31623
fin_a_001	AB	21139	5053	26192
fin_a_002	AB	19746	5277	25023
fin_a_003	A	9996	2428	12424
fin_a_004	ABD	19797	5055	24852
fin_a_005	ABD	20259	5122	25381
fin_a_006	A	10311	2602	12913
fin_a_007	ABD	19712	4850	24562
fin_a_008	D	20966	5297	26263
fin_a_009	ABC	20949	5028	25977
fin_a_010	A	15920	2513	18433
fin_a_011	ACD	19686	5208	24894
fin_a_012	ABD	19961	4593	24554
fin_a_013	A	9627	1621	11248
fin_a_014	AB	19670	5002	24672
fin_a_015	A	20325	6781	27106
fin_a_016	ABD	19643	5255	24898
fin_a_017	AC	20124	4075	24199
fin_a_018	A	9995	1993	11988
fin_a_019	AB	19762	5172	24934
fin_a_020	AB	20230	5136	25366
reg_a_001	ACD	18459	3633	22092
reg_a_002	ABC	11237	816	12053
reg_a_003	A	5785	349	6134
reg_a_004	ABC	15223	720	15943
reg_a_005	ABC	15101	1036	16137
reg_a_006	A	6058	292	6350
reg_a_007	ACD	11733	874	12607
reg_a_008	A	15498	1527	17025
reg_a_009	ABD	13167	812	13979
reg_a_010	B	6578	421	6999
reg_a_011	ACD	20079	4448	24527
reg_a_012	ABD	14279	3177	17456
reg_a_013	A	5438	255	5693
reg_a_014	ABD	14206	641	14847
reg_a_015	C	14309	643	14952
reg_a_016	ABD	16443	1509	17952
reg_a_017	AB	13464	792	14256
reg_a_018	A	7017	302	7319
reg_a_019	ABD	16696	767	17463
reg_a_020	ABD	15008	1090	16098
res_a_001	ABC	19014	4494	23508
res_a_002	ABCD	17367	4059	21426
res_a_003	A	10635	2528	13163
res_a_004	ABC	23442	6361	29803
res_a_005	ABC	17081	3806	20887
res_a_006	A	10904	2483	13387
res_a_007	ABC	18190	4008	22198
res_a_008	A	17272	4492	21764
res_a_009	ABC	18849	3531	22380
res_a_010	A	10001	1150	11151
res_a_011	ABC	25754	6584	32338
res_a_012	ABC	18684	4045	22729
res_a_013	B	10726	1838	12564
res_a_014	ABC	18405	3684	22089
res_a_015	A	19430	3722	23152
res_a_016	ACD	18915	4421	23336
res_a_017	ABD	18549	4613	23162
res_a_018	A	10369	2088	12457
res_a_019	AB	21026	4183	25209
res_a_020	BD	21396	4620	26016
