qid	answer	prompt_tokens	completion_tokens	total_tokens
summary		1841952	420237	2262189
ins_a_001	B	18638	4923	23561
ins_a_002	A	16138	5133	21271
ins_a_003	B	21339	11207	32546
ins_a_004	A	21978	5138	27116
ins_a_005	ABCD	20730	4739	25469
ins_a_006	A	12918	5346	18264
ins_a_007	BC	13786	4216	18002
ins_a_008	ABC	20548	5051	25599
ins_a_009	C	15658	5087	20745
ins_a_010	AB	20636	5008	25644
ins_a_011	B	25350	7781	33131
ins_a_012	A	20000	4209	24209
ins_a_013	A	14716	4690	19406
ins_a_014	ABD	20994	5152	26146
ins_a_015	AB	20868	4993	25861
ins_a_016	CD	19926	4818	24744
ins_a_017	ABCD	20188	4581	24769
ins_a_018	BCD	20992	4650	25642
ins_a_019	ABCD	19382	4100	23482
ins_a_020	D	17920	5488	23408
fc_a_001	ABD	16166	3999	20165
fc_a_002	ABD	16704	3671	20375
fc_a_003	A	5534	1399	6933
fc_a_004	A	16600	4579	21179
fc_a_005	ABD	16322	4390	20712
fc_a_006	A	7741	2604	10345
fc_a_007	BD	17452	3637	21089
fc_a_008	B	17446	4333	21779
fc_a_009	ABD	17974	4013	21987
fc_a_010	A	7358	1857	9215
fc_a_011	AB	16038	3619	19657
fc_a_012	AC	23170	7650	30820
fc_a_013	B	6153	2514	8667
fc_a_014	AB	20709	7544	28253
fc_a_015	B	21222	8417	29639
fc_a_016	ABC	16604	4248	20852
fc_a_017	ABD	16612	4762	21374
fc_a_018	A	6643	2402	9045
fc_a_019	AB	17492	4473	21965
fc_a_020	AB	16754	4131	20885
fin_a_001	AB	19524	4256	23780
fin_a_002	AB	18000	5406	23406
fin_a_003	A	8217	2382	10599
fin_a_004	ABD	22436	7967	30403
fin_a_005	ABD	18236	5013	23249
fin_a_006	A	8437	2425	10862
fin_a_007	ABD	18084	4216	22300
fin_a_008	B	24043	7783	31826
fin_a_009	ABC	19022	5009	24031
fin_a_010	A	8561	1918	10479
fin_a_011	ACD	17832	5053	22885
fin_a_012	ABD	18394	5206	23600
fin_a_013	A	7989	1537	9526
fin_a_014	AB	18394	5094	23488
fin_a_015	A	18260	5720	23980
fin_a_016	ABD	22063	7609	29672
fin_a_017	AC	17996	4975	22971
fin_a_018	A	8300	1564	9864
fin_a_019	AB	18052	5089	23141
fin_a_020	AB	18632	4988	23620
reg_a_001	ACD	11214	780	11994
reg_a_002	ABC	8684	754	9438
reg_a_003	A	3555	302	3857
reg_a_004	ABC	12682	709	13391
reg_a_005	ABC	12546	1025	13571
reg_a_006	A	3755	259	4014
reg_a_007	ACD	9202	874	10076
reg_a_008	A	12958	1199	14157
reg_a_009	ABD	10626	837	11463
reg_a_010	B	3975	413	4388
reg_a_011	ACD	16869	3839	20708
reg_a_012	ABD	11246	2068	13314
reg_a_013	A	3491	181	3672
reg_a_014	ABD	9812	556	10368
reg_a_015	C	11666	579	12245
reg_a_016	ABCD	17593	3802	21395
reg_a_017	AB	12450	1054	13504
reg_a_018	A	4860	291	5151
reg_a_019	ABD	13020	708	13728
reg_a_020	ABD	12158	848	13006
res_a_001	ABC	15436	4306	19742
res_a_002	ABC	13978	4509	18487
res_a_003	A	7291	2511	9802
res_a_004	ABC	19714	7313	27027
res_a_005	ABC	13514	3870	17384
res_a_006	A	7530	2212	9742
res_a_007	ABC	14622	4255	18877
res_a_008	A	13712	4198	17910
res_a_009	ABC	15292	4050	19342
res_a_010	A	4645	1218	5863
res_a_011	ABC	22011	6701	28712
res_a_012	ABC	15130	3849	18979
res_a_013	B	7278	1917	9195
res_a_014	ABC	14842	3845	18687
res_a_015	A	15858	4056	19914
res_a_016	ACD	15552	4349	19901
res_a_017	ABD	19331	7381	26712
res_a_018	A	7002	1751	8753
res_a_019	AB	17438	4062	21500
res_a_020	BD	17802	4566	22368
