qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,1464833,270466,1735299,
fc_b_001,5.55%,5.36%,7.68%,7.35%,17276,4384,21660,
fc_b_002,ACD,,,,10439,676,11115,
fc_b_003,ACD,,,,11036,739,11775,
fc_b_004,ABC,,,,10740,698,11438,
fc_b_005,1468.47%,740.58%,,,16818,4809,21627,
fc_b_006,B,,,,12634,872,13506,
fc_b_007,BC,,,,12665,975,13640,
fc_b_008,ABC,,,,12941,1275,14216,
fc_b_009,ABD,,,,13464,692,14156,
fc_b_010,BCD,,,,10410,737,11147,
fc_b_011,ABC,,,,11437,777,12214,
fc_b_012,BCD,,,,11205,570,11775,
fc_b_013,A,,,,9517,490,10007,
fc_b_014,14.41,,,,18169,5082,23251,
fc_b_015,CD,,,,11423,696,12119,
fc_b_016,C,,,,10086,626,10712,
fc_b_017,BC,,,,11408,925,12333,
fc_b_018,ABD,,,,10486,632,11118,
fc_b_019,ABCD,,,,13106,686,13792,
fc_b_020,2.30,,,,16358,4984,21342,
fin_b_001,ACD,,,,12644,2498,15142,
fin_b_002,BCD,,,,15758,2436,18194,
fin_b_003,ABCD,,,,19580,2553,22133,
fin_b_004,AB,,,,32078,4626,36704,
fin_b_005,ACD,,,,19618,2490,22108,
fin_b_006,BC,,,,9884,2410,12294,
fin_b_007,ABD,,,,14758,2441,17199,
fin_b_008,AC,,,,21919,2517,24436,
fin_b_009,BCD,,,,14892,2500,17392,
fin_b_010,A,,,,18099,2663,20762,
fin_b_011,ABC,,,,22716,2585,25301,
fin_b_012,AB,,,,16537,2318,18855,
fin_b_013,40.05,10.10,,,25630,6199,31829,
fin_b_014,1.12,9.82,8.69,,41620,11303,52923,
fin_b_015,宁德时代>美的集团,19.75,,,39583,8938,48521,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,55271,13044,68315,
fin_b_017,1049321.98,0.08,,,18190,5523,23713,
fin_b_018,2.58,7.65,,,21144,5301,26445,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,30312,7462,37774,
fin_b_020,112.32,112.31,0.01,,19284,6394,25678,
ins_b_001,333.20,,,,21041,5577,26618,
ins_b_002,BC,,,,11355,2245,13600,
ins_b_003,366.00,,,,22620,6353,28973,
ins_b_004,BCD,,,,12436,2291,14727,
ins_b_005,BD,,,,12965,2320,15285,
ins_b_006,BCD,,,,15753,2230,17983,
ins_b_007,BC,,,,12339,2279,14618,
ins_b_008,ABCD,,,,11247,2377,13624,
ins_b_009,BCD,,,,13150,2628,15778,
ins_b_010,AB,,,,12016,2217,14233,
ins_b_011,16.00,,,,19345,9875,29220,
ins_b_012,BCD,,,,13667,2225,15892,
ins_b_013,BD,,,,15795,2293,18088,
ins_b_014,ACD,,,,9254,1868,11122,
ins_b_015,AC,,,,12118,2144,14262,
ins_b_016,ABD,,,,12427,2240,14667,
ins_b_017,ABCD,,,,13597,2217,15814,
ins_b_018,60.00,,,,14268,5007,19275,
ins_b_019,211.50,,,,21152,5450,26602,
ins_b_020,ACD,,,,13235,2313,15548,
reg_b_001,ACD,,,,8812,798,9610,
reg_b_003,2026年3月30日,,,,9745,5276,15021,
reg_b_004,2026年6月30日,,,,8942,5283,14225,
reg_b_005,BCD,,,,10073,684,10757,
reg_b_007,30.00,,,,9692,4543,14235,
reg_b_008,BC,,,,10229,770,10999,
reg_b_009,BC,,,,9179,796,9975,
reg_b_013,B,,,,8458,702,9160,
reg_b_014,99.25,,,,11622,4716,16338,
reg_b_015,AC,,,,8068,1074,9142,
reg_b_016,2.00,,,,9091,5031,14122,
reg_b_017,AC,,,,9163,780,9943,
reg_b_018,2026年4月1日,,,,9397,5239,14636,
reg_b_020,B,,,,8064,635,8699,
reg_b_021,B,,,,8790,714,9504,
reg_b_023,AB,,,,7408,848,8256,
reg_b_024,B,,,,10651,846,11497,
reg_b_025,AC,,,,8045,770,8815,
reg_b_026,B,,,,8428,720,9148,
reg_b_027,BD,,,,9552,786,10338,
res_b_001,AB,,,,14695,1008,15703,
res_b_002,AC,,,,13956,853,14809,
res_b_003,AB,,,,12986,950,13936,
res_b_004,BCD,,,,13444,1102,14546,
res_b_005,22.19%,,,,14735,7615,22350,
res_b_006,AB,,,,14126,981,15107,
res_b_007,61.98,,,,14273,5171,19444,
res_b_008,C,,,,13091,1217,14308,
res_b_009,ABC,,,,12496,1223,13719,
res_b_010,AC,,,,12529,1223,13752,
res_b_011,BC,,,,13427,863,14290,
res_b_012,67.10,,,,13886,5828,19714,
res_b_013,AB,,,,13228,1043,14271,
res_b_014,CD,,,,13337,876,14213,
res_b_015,BD,,,,14085,928,15013,
res_b_016,BD,,,,14839,842,15681,
res_b_017,AC,,,,12379,1183,13562,
res_b_018,CD,,,,12388,959,13347,
res_b_019,AB,,,,13095,1092,14187,
res_b_020,BD,,,,13514,823,14337,
