qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,334726,103435,438161
fc_b_001,5.55%,5.36%,7.68%,7.35%,2340,1430,3770
fc_b_002,ACD,,,,3202,663,3865
fc_b_003,ABCD,,,,3585,959,4544
fc_b_004,ABC,,,,3202,663,3865
fc_b_005,1468.47%,2023.00%,,,5947,3340,9287
fc_b_006,A,,,,3585,959,4544
fc_b_007,B,,,,3585,959,4544
fc_b_008,AC,,,,3585,959,4544
fc_b_009,C,,,,3585,959,4544
fc_b_010,BCD,,,,3202,663,3865
fc_b_011,ABC,,,,3585,959,4544
fc_b_012,ABCD,,,,7624,963,8587
fc_b_013,A,,,,3202,663,3865
fc_b_014,14.41,,,,2633,1310,3943
fc_b_015,CD,,,,3202,663,3865
fc_b_016,C,,,,3585,959,4544
fc_b_017,BCD,,,,3202,663,3865
fc_b_018,AB,,,,3202,663,3865
fc_b_019,ABC,,,,3202,663,3865
fc_b_020,2.30,,,,2203,1387,3590
fin_b_001,ACD,,,,3920,563,4483
fin_b_002,BCD,,,,3920,563,4483
fin_b_003,AD,,,,3920,563,4483
fin_b_004,AB,,,,3920,563,4483
fin_b_005,ACD,,,,5017,882,5899
fin_b_006,A,,,,9315,963,10278
fin_b_007,BD,,,,3920,563,4483
fin_b_008,AC,,,,5017,882,5899
fin_b_009,BD,,,,3920,563,4483
fin_b_010,AD,,,,3920,563,4483
fin_b_011,ABC,,,,5017,882,5899
fin_b_012,A,,,,9705,884,10589
fin_b_013,40.05,10.10,,,6778,3692,10470
fin_b_014,11.99,11.19,0.80,,9802,6822,16624
fin_b_015,宁德时代>美的集团,0.00,,,7156,3469,10625
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,4470,1526,5996
fin_b_017,1049321.98,0.08,,,2152,1575,3727
fin_b_018,2.58,7.65,,,2308,1551,3859
fin_b_019,宁德时代>美的集团>比亚迪,1.10,,,6474,4034,10508
fin_b_020,112.32,112.31,0.01,,3436,1684,5120
ins_b_001,332.30,,,,3650,1530,5180
ins_b_002,B,,,,2401,664,3065
ins_b_003,322.00,,,,5263,6222,11485
ins_b_004,D,,,,2401,664,3065
ins_b_005,ABD,,,,2346,498,2844
ins_b_006,B,,,,2401,664,3065
ins_b_007,C,,,,2401,664,3065
ins_b_008,A,,,,2401,664,3065
ins_b_009,BCD,,,,2346,498,2844
ins_b_010,B,,,,2346,498,2844
ins_b_011,16.00,,,,1691,1613,3304
ins_b_012,BD,,,,2346,498,2844
ins_b_013,B,,,,2401,664,3065
ins_b_014,A,,,,2401,664,3065
ins_b_015,AC,,,,2346,498,2844
ins_b_016,AB,,,,2346,498,2844
ins_b_017,A,,,,2401,664,3065
ins_b_018,60.00,,,,1870,1431,3301
ins_b_019,211.50,,,,3637,1594,5231
ins_b_020,ACD,,,,2346,498,2844
reg_b_001,AC,,,,2138,319,2457
reg_b_003,2026年3月30日,,,,2510,1542,4052
reg_b_004,2026年6月30日,,,,2588,1467,4055
reg_b_005,BCD,,,,2044,330,2374
reg_b_007,30.00,,,,2519,1425,3944
reg_b_008,BC,,,,2044,330,2374
reg_b_009,BC,,,,2138,319,2457
reg_b_013,B,,,,2044,330,2374
reg_b_014,99.25,,,,2316,1975,4291
reg_b_015,AC,,,,2138,319,2457
reg_b_016,2.00,,,,2730,1419,4149
reg_b_017,AC,,,,2205,327,2532
reg_b_018,2026年4月1日,,,,2652,1361,4013
reg_b_020,B,,,,2111,338,2449
reg_b_021,B,,,,2111,338,2449
reg_b_023,AB,,,,2205,327,2532
reg_b_024,B,,,,2111,337,2448
reg_b_025,AC,,,,2205,326,2531
reg_b_026,B,,,,2111,337,2448
reg_b_027,BD,,,,2111,337,2448
res_b_001,AB,,,,3199,768,3967
res_b_002,AC,,,,3082,394,3476
res_b_003,AB,,,,3082,394,3476
res_b_004,BCD,,,,3199,768,3967
res_b_005,22.19,,,,2421,1954,4375
res_b_006,AB,,,,3082,394,3476
res_b_007,61.98,,,,2200,1499,3699
res_b_008,AC,,,,3199,768,3967
res_b_009,ABC,,,,5407,700,6107
res_b_010,AC,,,,3082,394,3476
res_b_011,BC,,,,3199,768,3967
res_b_012,67.10,,,,2138,1761,3899
res_b_013,ABC,,,,3199,768,3967
res_b_014,CD,,,,3082,394,3476
res_b_015,BD,,,,3082,394,3476
res_b_016,BD,,,,3198,768,3966
res_b_017,AC,,,,3081,394,3475
res_b_018,CD,,,,3081,394,3475
res_b_019,AB,,,,3198,768,3966
res_b_020,BD,,,,3198,768,3966
