qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,212029,45636,257665,
fc_b_001,5.55%,5.36%,7.68%,7.35%,8520,2511,11031,
fc_b_002,,,,,864,149,1013,
fc_b_003,,,,,864,149,1013,
fc_b_004,,,,,864,149,1013,
fc_b_005,,,,,864,149,1013,
fc_b_006,B,,,,11405,793,12198,
fc_b_007,,,,,864,149,1013,
fc_b_008,,,,,864,149,1013,
fc_b_009,,,,,864,149,1013,
fc_b_010,,,,,864,149,1013,
fc_b_011,,,,,864,149,1013,
fc_b_012,,,,,864,149,1013,
fc_b_013,A,,,,8106,329,8435,
fc_b_014,,,,,864,149,1013,
fc_b_015,,,,,864,149,1013,
fc_b_016,,,,,864,149,1013,
fc_b_017,,,,,864,149,1013,
fc_b_018,,,,,864,149,1013,
fc_b_019,,,,,864,149,1013,
fc_b_020,,,,,864,149,1013,
fin_b_001,ACD,,,,10826,2350,13176,
fin_b_002,,,,,864,149,1013,
fin_b_003,,,,,864,149,1013,
fin_b_004,,,,,864,149,1013,
fin_b_005,,,,,864,149,1013,
fin_b_006,,,,,864,149,1013,
fin_b_007,,,,,864,149,1013,
fin_b_008,,,,,864,149,1013,
fin_b_009,,,,,864,149,1013,
fin_b_010,,,,,864,149,1013,
fin_b_011,,,,,864,149,1013,
fin_b_012,AB,,,,14696,2244,16940,
fin_b_013,,,,,864,149,1013,
fin_b_014,,,,,864,149,1013,
fin_b_015,,,,,864,149,1013,
fin_b_016,,,,,864,149,1013,
fin_b_017,1049322.00,0.08,,,8938,2581,11519,
fin_b_018,,,,,864,149,1013,
fin_b_019,,,,,864,149,1013,
fin_b_020,,,,,864,149,1013,
ins_b_001,,,,,864,149,1013,
ins_b_002,,,,,864,149,1013,
ins_b_003,348.00,,,,11021,2926,13947,
ins_b_004,,,,,864,149,1013,
ins_b_005,,,,,864,149,1013,
ins_b_006,,,,,864,149,1013,
ins_b_007,,,,,864,149,1013,
ins_b_008,,,,,864,149,1013,
ins_b_009,,,,,864,149,1013,
ins_b_010,AB,,,,11068,2069,13137,
ins_b_011,,,,,864,149,1013,
ins_b_012,,,,,864,149,1013,
ins_b_013,,,,,864,149,1013,
ins_b_014,,,,,864,149,1013,
ins_b_015,,,,,864,149,1013,
ins_b_016,ABD,,,,10761,2114,12875,
ins_b_017,,,,,864,149,1013,
ins_b_018,,,,,864,149,1013,
ins_b_019,,,,,864,149,1013,
ins_b_020,,,,,864,149,1013,
reg_b_001,ACD,,,,7341,636,7977,
reg_b_003,2026年3月30日,,,,5334,2428,7762,
reg_b_004,,,,,864,149,1013,
reg_b_005,,,,,864,149,1013,
reg_b_007,,,,,864,149,1013,
reg_b_008,,,,,864,149,1013,
reg_b_009,,,,,864,149,1013,
reg_b_013,,,,,864,149,1013,
reg_b_014,99.25,,,,6270,2492,8762,
reg_b_015,,,,,864,149,1013,
reg_b_016,,,,,864,149,1013,
reg_b_017,,,,,864,149,1013,
reg_b_018,,,,,864,149,1013,
reg_b_020,,,,,864,149,1013,
reg_b_021,,,,,864,149,1013,
reg_b_023,,,,,864,149,1013,
reg_b_024,,,,,864,149,1013,
reg_b_025,,,,,864,149,1013,
reg_b_026,,,,,864,149,1013,
reg_b_027,,,,,864,149,1013,
res_b_001,,,,,863,149,1012,
res_b_002,,,,,863,149,1012,
res_b_003,,,,,863,149,1012,
res_b_004,,,,,863,149,1012,
res_b_005,22.19%,,,,6970,3556,10526,
res_b_006,,,,,863,148,1011,
res_b_007,,,,,863,148,1011,
res_b_008,AC,,,,10839,3194,14033,
res_b_009,,,,,863,148,1011,
res_b_010,,,,,863,148,1011,
res_b_011,,,,,863,148,1011,
res_b_012,67.10,,,,6511,2761,9272,
res_b_013,,,,,863,148,1011,
res_b_014,,,,,863,148,1011,
res_b_015,,,,,863,148,1011,
res_b_016,,,,,863,148,1011,
res_b_017,,,,,863,148,1011,
res_b_018,,,,,863,148,1011,
res_b_019,,,,,863,148,1011,
res_b_020,,,,,863,148,1011,
