qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,378582,111447,490029
fc_b_001,5.55%,5.36%,7.68%,7.35%,3100,1522,4622
fc_b_002,B,,,,3196,1115,4311
fc_b_003,BD,,,,4443,1093,5536
fc_b_004,ABC,,,,4423,1093,5516
fc_b_005,1468.47%,740.58%,,,6371,3258,9629
fc_b_006,B,,,,4448,1103,5551
fc_b_007,C,,,,4462,1103,5565
fc_b_008,A,,,,3245,1125,4370
fc_b_009,C,,,,3230,1125,4355
fc_b_010,BCD,,,,3584,641,4225
fc_b_011,ABC,,,,4451,1093,5544
fc_b_012,BCD,,,,3156,1115,4271
fc_b_013,A,,,,3499,641,4140
fc_b_014,14.41,,,,3439,1376,4815
fc_b_015,CD,,,,3591,641,4232
fc_b_016,C,,,,3503,641,4144
fc_b_017,B,,,,3143,1115,4258
fc_b_018,A,,,,3173,1115,4288
fc_b_019,D,,,,4377,1093,5470
fc_b_020,2.30,,,,2248,1307,3555
fin_b_001,D,,,,4428,884,5312
fin_b_002,BCD,,,,4421,883,5304
fin_b_003,ABCD,,,,4386,905,5291
fin_b_004,AB,,,,4422,927,5349
fin_b_005,ACD,,,,4956,530,5486
fin_b_006,A,,,,4971,497,5468
fin_b_007,A,,,,4981,499,5480
fin_b_008,AC,,,,4972,508,5480
fin_b_009,BCD,,,,4425,905,5330
fin_b_010,ACD,,,,4430,883,5313
fin_b_011,BC,,,,4988,532,5520
fin_b_012,A,,,,4915,497,5412
fin_b_013,38.49,1.95,,,3209,1941,5150
fin_b_014,2025.00,,,,10427,5333,15760
fin_b_015,宁德时代>美的集团,13.04,,,7770,3639,11409
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,5079,1577,6656
fin_b_017,1049322.00,0.08,,,6906,3312,10218
fin_b_018,2.58,7.65,,,2937,1427,4364
fin_b_019,宁德时代>美的集团>比亚迪,1.10,,,7203,4246,11449
fin_b_020,112.33,112.31,0.02,,2909,1513,4422
ins_b_001,333.20,,,,4289,1605,5894
ins_b_002,A,,,,3950,597,4547
ins_b_003,,,,,5756,7005,12761
ins_b_004,D,,,,3904,601,4505
ins_b_005,BCD,,,,3311,1015,4326
ins_b_006,BCD,,,,3834,601,4435
ins_b_007,BC,,,,3838,600,4438
ins_b_008,ABCD,,,,3857,602,4459
ins_b_009,BCD,,,,3322,1015,4337
ins_b_010,A,,,,2927,641,3568
ins_b_011,16.00,,,,2569,1535,4104
ins_b_012,BD,,,,2929,636,3565
ins_b_013,BD,,,,2970,635,3605
ins_b_014,AC,,,,2995,632,3627
ins_b_015,AC,,,,2919,641,3560
ins_b_016,A,,,,2945,641,3586
ins_b_017,ACD,,,,3833,599,4432
ins_b_018,60.00,,,,2774,1448,4222
ins_b_019,211.50,,,,4263,1535,5798
ins_b_020,ACD,,,,3324,1015,4339
reg_b_001,C,,,,3103,1036,4139
reg_b_003,2026年3月30日,,,,2877,1446,4323
reg_b_004,2026年6月30日,,,,3188,1407,4595
reg_b_005,BCD,,,,2955,529,3484
reg_b_007,30.00,,,,2928,1413,4341
reg_b_008,BC,,,,2994,540,3534
reg_b_009,BC,,,,3092,1006,4098
reg_b_013,B,,,,2734,518,3252
reg_b_014,99.25,,,,2688,1428,4116
reg_b_015,AC,,,,3023,978,4001
reg_b_016,2.00,,,,3379,1401,4780
reg_b_017,AC,,,,3203,1006,4209
reg_b_018,2026年4月1日,,,,3153,1417,4570
reg_b_020,B,,,,2737,518,3255
reg_b_021,B,,,,2970,1022,3992
reg_b_023,AB,,,,4116,460,4576
reg_b_024,B,,,,3078,970,4048
reg_b_025,AC,,,,4166,448,4614
reg_b_026,B,,,,2806,518,3324
reg_b_027,BD,,,,2957,537,3494
res_b_001,AB,,,,3349,635,3984
res_b_002,AC,,,,3787,541,4328
res_b_003,AB,,,,3739,541,4280
res_b_004,BCD,,,,3334,621,3955
res_b_005,22.19,,,,3037,1548,4585
res_b_006,AB,,,,3342,621,3963
res_b_007,61.98,,,,2498,1478,3976
res_b_008,AC,,,,3446,548,3994
res_b_009,A,,,,3304,628,3932
res_b_010,AC,,,,3779,548,4327
res_b_011,B,,,,3450,541,3991
res_b_012,67.10,,,,2671,1790,4461
res_b_013,AB,,,,3324,628,3952
res_b_014,CD,,,,3446,548,3994
res_b_015,BD,,,,3732,541,4273
res_b_016,BD,,,,3460,541,4001
res_b_017,AC,,,,3798,555,4353
res_b_018,ACD,,,,3754,555,4309
res_b_019,AB,,,,3435,548,3983
res_b_020,BD,,,,3424,541,3965
