qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,421171,112229,533400
fc_b_001,5.55%,5.36%,7.68%,7.35%,2340,1425,3765
fc_b_002,ACD,,,,3210,444,3654
fc_b_003,ABCD,,,,3593,799,4392
fc_b_004,ABC,,,,3210,444,3654
fc_b_005,1468.47%,740.58%,,,5998,3100,9098
fc_b_006,B,,,,3593,799,4392
fc_b_007,B,,,,3593,799,4392
fc_b_008,AC,,,,3593,799,4392
fc_b_009,ABD,,,,8576,1160,9736
fc_b_010,BCD,,,,3210,444,3654
fc_b_011,ABC,,,,3593,799,4392
fc_b_012,BCD,,,,7675,1046,8721
fc_b_013,A,,,,7010,613,7623
fc_b_014,14.41,,,,2633,1352,3985
fc_b_015,CD,,,,3210,444,3654
fc_b_016,C,,,,3593,799,4392
fc_b_017,BC,,,,3210,444,3654
fc_b_018,AB,,,,3210,444,3654
fc_b_019,ABCD,,,,8329,786,9115
fc_b_020,2.30,,,,2203,1516,3719
fin_b_001,ACD,,,,3928,780,4708
fin_b_002,BCD,,,,3928,780,4708
fin_b_003,ABD,,,,3928,780,4708
fin_b_004,AB,,,,3928,780,4708
fin_b_005,ACD,,,,5034,1039,6073
fin_b_006,A,,,,9390,1180,10570
fin_b_007,BD,,,,3928,780,4708
fin_b_008,AC,,,,16029,2871,18900
fin_b_009,C,,,,9906,2258,12164
fin_b_010,AD,,,,3928,780,4708
fin_b_011,ABC,,,,5034,1039,6073
fin_b_012,A,,,,22642,4543,27185
fin_b_013,40.05,10.10,,,7015,3823,10838
fin_b_014,0.68,10.89,10.20,,9581,6348,15929
fin_b_015,宁德时代>美的集团,31.46,,,6860,5704,12564
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,4470,1752,6222
fin_b_017,1049321.98,0.08,,,2152,1601,3753
fin_b_018,2.58,7.65,,,2308,1446,3754
fin_b_019,宁德时代>美的集团>比亚迪,1.10,,,2973,2325,5298
fin_b_020,112.32,112.31,0.01,,3436,1707,5143
ins_b_001,333.20,,,,3650,1570,5220
ins_b_002,B,,,,2409,515,2924
ins_b_003,322.00,,,,2310,1691,4001
ins_b_004,C,,,,2409,515,2924
ins_b_005,D,,,,10628,1994,12622
ins_b_006,B,,,,2409,515,2924
ins_b_007,B,,,,2409,515,2924
ins_b_008,A,,,,2409,515,2924
ins_b_009,D,,,,10512,2345,12857
ins_b_010,B,,,,2356,567,2923
ins_b_011,16.00,,,,1691,1428,3119
ins_b_012,BD,,,,2356,567,2923
ins_b_013,B,,,,2409,515,2924
ins_b_014,A,,,,2409,515,2924
ins_b_015,AC,,,,2356,567,2923
ins_b_016,AB,,,,2356,567,2923
ins_b_017,A,,,,2409,515,2924
ins_b_018,60.00,,,,1870,1513,3383
ins_b_019,211.50,,,,3637,1491,5128
ins_b_020,ACD,,,,5999,2069,8068
reg_b_001,AC,,,,2150,419,2569
reg_b_003,2026年3月30日,,,,2510,1453,3963
reg_b_004,2026年6月30日,,,,2588,1434,4022
reg_b_005,BCD,,,,2053,332,2385
reg_b_007,30.00,,,,2519,1368,3887
reg_b_008,BC,,,,2053,332,2385
reg_b_009,BC,,,,2150,418,2568
reg_b_013,B,,,,2053,332,2385
reg_b_014,99.25,,,,2316,1724,4040
reg_b_015,AC,,,,2150,418,2568
reg_b_016,2.00,,,,2730,1429,4159
reg_b_017,AC,,,,2217,423,2640
reg_b_018,2026年4月1日,,,,2652,1512,4164
reg_b_020,B,,,,2120,337,2457
reg_b_021,B,,,,2120,337,2457
reg_b_023,AB,,,,2217,423,2640
reg_b_024,B,,,,2120,337,2457
reg_b_025,AC,,,,2217,423,2640
reg_b_026,B,,,,2120,337,2457
reg_b_027,BD,,,,2120,337,2457
res_b_001,AB,,,,3207,485,3692
res_b_002,CD,,,,3090,569,3659
res_b_003,AB,,,,3090,569,3659
res_b_004,BCD,,,,3207,485,3692
res_b_005,22.19,,,,2421,1550,3971
res_b_006,AB,,,,11092,1090,12182
res_b_007,61.98,,,,2200,1535,3735
res_b_008,AC,,,,3207,485,3692
res_b_009,ABC,,,,5474,741,6215
res_b_010,AC,,,,6702,1134,7836
res_b_011,B,,,,9208,1033,10241
res_b_012,67.10,,,,2138,1763,3901
res_b_013,AB,,,,3207,485,3692
res_b_014,CD,,,,3090,569,3659
res_b_015,BD,,,,3090,569,3659
res_b_016,BD,,,,3207,485,3692
res_b_017,AC,,,,8213,1145,9358
res_b_018,CD,,,,3090,569,3659
res_b_019,AB,,,,3207,485,3692
res_b_020,BD,,,,8883,1097,9980
