qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,2213412,391933,2605345
fc_b_001,5.55%,5.36%,7.68%,7.35%,20498,5212,25710
fc_b_002,ACD,,,,20625,812,21437
fc_b_003,ABCD,,,,21229,926,22155
fc_b_004,ABC,,,,22926,983,23909
fc_b_005,1468.47%,740.58%,,,19004,6999,26003
fc_b_006,B,,,,22648,1055,23703
fc_b_007,BC,,,,28024,1734,29758
fc_b_008,ABC,,,,26981,1563,28544
fc_b_009,ABD,,,,29848,995,30843
fc_b_010,BCD,,,,21068,1009,22077
fc_b_011,ABC,,,,19797,1016,20813
fc_b_012,BCD,,,,20234,734,20968
fc_b_013,A,,,,10602,380,10982
fc_b_014,14.41,,,,23936,5968,29904
fc_b_015,CD,,,,20751,1055,21806
fc_b_016,C,,,,17879,692,18571
fc_b_017,BC,,,,21544,987,22531
fc_b_018,ABD,,,,20152,971,21123
fc_b_019,AD,,,,20220,1574,21794
fc_b_020,2.30,,,,18349,4583,22932
fin_b_001,ACD,,,,24326,5101,29427
fin_b_002,BCD,,,,28885,4886,33771
fin_b_003,ABCD,,,,31438,5079,36517
fin_b_004,AB,,,,49939,7746,57685
fin_b_005,ACD,,,,29251,4565,33816
fin_b_006,BC,,,,21642,5155,26797
fin_b_007,ABD,,,,21936,4752,26688
fin_b_008,AC,,,,27927,5305,33232
fin_b_009,BCD,,,,31301,4641,35942
fin_b_010,AD,,,,35354,5306,40660
fin_b_011,BC,,,,34647,7772,42419
fin_b_012,A,,,,21750,5795,27545
fin_b_013,40.05,10.10,,,28672,7172,35844
fin_b_014,1.12,9.82,8.69,,42128,11598,53726
fin_b_015,宁德时代>美的集团,19.75,,,26773,6389,33162
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,42672,10476,53148
fin_b_017,1049321.98,0.08,,,20988,6720,27708
fin_b_018,2.58,7.65,,,18232,6529,24761
fin_b_019,比亚迪>宁德时代>美的集团,1.01,,,42897,13055,55952
fin_b_020,112.32,112.31,0.01,,31491,11120,42611
ins_b_001,333.20,,,,26461,6528,32989
ins_b_002,BC,,,,21312,4636,25948
ins_b_003,366.00,,,,28144,7253,35397
ins_b_004,BCD,,,,24546,4354,28900
ins_b_005,BD,,,,24476,4431,28907
ins_b_006,BD,,,,37309,7372,44681
ins_b_007,BC,,,,29877,7512,37389
ins_b_008,ABCD,,,,23121,4223,27344
ins_b_009,BCD,,,,24441,4688,29129
ins_b_010,AB,,,,38125,6870,44995
ins_b_011,16.00,,,,19803,6668,26471
ins_b_012,BCD,,,,26901,4224,31125
ins_b_013,BD,,,,32010,4308,36318
ins_b_014,ACD,,,,15814,3868,19682
ins_b_015,AC,,,,22955,3824,26779
ins_b_016,ABD,,,,22673,4557,27230
ins_b_017,ABCD,,,,27313,4436,31749
ins_b_018,60.00,,,,19904,4692,24596
ins_b_019,211.50,,,,26552,6835,33387
ins_b_020,ACD,,,,24919,4924,29843
reg_b_001,ACD,,,,13433,1065,14498
reg_b_003,2026年3月30日,,,,9301,6472,15773
reg_b_004,2026年6月30日,,,,8498,5603,14101
reg_b_005,BCD,,,,15969,783,16752
reg_b_007,30.00,,,,9248,5387,14635
reg_b_008,BC,,,,16253,954,17207
reg_b_009,BC,,,,14162,1077,15239
reg_b_013,B,,,,13003,895,13898
reg_b_014,99.25,,,,11178,6206,17384
reg_b_015,AC,,,,12006,1530,13536
reg_b_016,2.00,,,,8647,5363,14010
reg_b_017,AC,,,,14033,1107,15140
reg_b_018,2026年4月1日,,,,8953,5937,14890
reg_b_020,B,,,,12197,813,13010
reg_b_021,B,,,,13525,928,14453
reg_b_023,AB,,,,10711,1208,11919
reg_b_024,B,,,,16397,1018,17415
reg_b_025,AC,,,,11901,1049,12950
reg_b_026,B,,,,12867,1061,13928
reg_b_027,BD,,,,14980,1159,16139
res_b_001,AB,,,,19965,1481,21446
res_b_002,AC,,,,19361,1298,20659
res_b_003,AB,,,,19836,1443,21279
res_b_004,BCD,,,,20015,1200,21215
res_b_005,22.19,,,,20607,6929,27536
res_b_006,AB,,,,20770,1413,22183
res_b_007,61.98,,,,18377,5238,23615
res_b_008,C,,,,19700,4284,23984
res_b_009,ABC,,,,19759,2348,22107
res_b_010,AC,,,,19929,1628,21557
res_b_011,BC,,,,19453,1491,20944
res_b_012,67.10,,,,25484,11444,36928
res_b_013,A,,,,26423,5217,31640
res_b_014,CD,,,,18932,3525,22457
res_b_015,BD,,,,22040,1124,23164
res_b_016,BD,,,,21029,1418,22447
res_b_017,AC,,,,19529,1347,20876
res_b_018,ACD,,,,19002,1285,20287
res_b_019,AB,,,,20076,1550,21626
res_b_020,BD,,,,20643,2042,22685
