qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,567701,112889,680590,
fc_b_001,,,,,1516,109,1625,
fc_b_002,,,,,1516,109,1625,
fc_b_003,,,,,1516,109,1625,
fc_b_004,,,,,1516,109,1625,
fc_b_005,,,,,1516,109,1625,
fc_b_006,,,,,1516,109,1625,
fc_b_007,,,,,1516,109,1625,
fc_b_008,,,,,1516,109,1625,
fc_b_009,,,,,1516,109,1625,
fc_b_010,,,,,1516,109,1625,
fc_b_011,,,,,1516,109,1625,
fc_b_012,,,,,1516,109,1625,
fc_b_013,,,,,1516,109,1625,
fc_b_014,,,,,1516,109,1625,
fc_b_015,,,,,1515,109,1624,
fc_b_016,,,,,1515,109,1624,
fc_b_017,,,,,1515,109,1624,
fc_b_018,,,,,1515,109,1624,
fc_b_019,,,,,1515,109,1624,
fc_b_020,,,,,1515,109,1624,
fin_b_001,,,,,1515,109,1624,
fin_b_002,,,,,1515,109,1624,
fin_b_003,,,,,1515,109,1624,
fin_b_004,,,,,1515,109,1624,
fin_b_005,,,,,1515,109,1624,
fin_b_006,,,,,1515,109,1624,
fin_b_007,,,,,1515,109,1624,
fin_b_008,,,,,1515,109,1624,
fin_b_009,,,,,1515,109,1624,
fin_b_010,,,,,1515,109,1624,
fin_b_011,,,,,1515,109,1624,
fin_b_012,,,,,1515,109,1624,
fin_b_013,,,,,1515,109,1624,
fin_b_014,,,,,1515,109,1624,
fin_b_015,,,,,1515,109,1624,
fin_b_016,,,,,1515,109,1624,
fin_b_017,,,,,1515,109,1624,
fin_b_018,,,,,1515,109,1624,
fin_b_019,,,,,1515,109,1624,
fin_b_020,,,,,1515,109,1624,
ins_b_001,333.20,,,,15841,6440,22281,
ins_b_002,BC,,,,20318,5217,25535,
ins_b_003,366.00,,,,16774,6928,23702,
ins_b_004,BCD,,,,23656,4637,28293,
ins_b_005,D,,,,29100,8352,37452,
ins_b_006,BCD,,,,30049,4356,34405,
ins_b_007,BC,,,,22985,4072,27057,
ins_b_008,ABCD,,,,21927,5092,27019,
ins_b_009,BCD,,,,25015,4811,29826,
ins_b_010,AD,,,,22959,4311,27270,
ins_b_011,16.00,,,,17758,8749,26507,
ins_b_012,BCD,,,,26409,4470,30879,
ins_b_013,BD,,,,31004,4351,35355,
ins_b_014,ACD,,,,16024,3735,19759,
ins_b_015,AC,,,,23503,4293,27796,
ins_b_016,ABD,,,,22467,4209,26676,
ins_b_017,ABCD,,,,26963,4598,31561,
ins_b_018,60.00,,,,13248,4761,18009,
ins_b_019,211.50,,,,15802,6137,21939,
ins_b_020,ACD,,,,24685,4679,29364,
reg_b_001,,,,,1515,109,1624,
reg_b_003,,,,,1515,109,1624,
reg_b_004,,,,,1515,109,1624,
reg_b_005,,,,,1515,109,1624,
reg_b_007,,,,,1515,109,1624,
reg_b_008,,,,,1515,109,1624,
reg_b_009,,,,,1515,109,1624,
reg_b_013,,,,,1515,109,1624,
reg_b_014,,,,,1515,109,1624,
reg_b_015,,,,,1515,109,1624,
reg_b_016,,,,,1515,109,1624,
reg_b_017,,,,,1515,108,1623,
reg_b_018,,,,,1515,108,1623,
reg_b_020,,,,,1515,108,1623,
reg_b_021,,,,,1515,108,1623,
reg_b_023,,,,,1515,108,1623,
reg_b_024,,,,,1515,108,1623,
reg_b_025,,,,,1515,108,1623,
reg_b_026,,,,,1515,108,1623,
reg_b_027,,,,,1515,108,1623,
res_b_001,,,,,1515,108,1623,
res_b_002,,,,,1515,108,1623,
res_b_003,,,,,1515,108,1623,
res_b_004,,,,,1515,108,1623,
res_b_005,,,,,1515,108,1623,
res_b_006,,,,,1515,108,1623,
res_b_007,,,,,1515,108,1623,
res_b_008,,,,,1515,108,1623,
res_b_009,,,,,1515,108,1623,
res_b_010,,,,,1515,108,1623,
res_b_011,,,,,1515,108,1623,
res_b_012,,,,,1515,108,1623,
res_b_013,,,,,1515,108,1623,
res_b_014,,,,,1515,108,1623,
res_b_015,,,,,1515,108,1623,
res_b_016,,,,,1515,108,1623,
res_b_017,,,,,1515,108,1623,
res_b_018,,,,,1515,108,1623,
res_b_019,,,,,1515,108,1623,
res_b_020,,,,,1515,108,1623,
