qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,559723,114857,674580,
fc_b_001,5.55%,5.36%,7.68%,7.35%,3857,1499,5356,
fc_b_002,ACD,,,,5438,608,6046,
fc_b_003,ABCD,,,,7199,632,7831,
fc_b_004,ABC,,,,5438,608,6046,
fc_b_005,1468.47%,740.58%,,,7556,3496,11052,
fc_b_006,B,,,,7199,632,7831,
fc_b_007,BC,,,,5092,730,5822,
fc_b_008,ABC,,,,5092,730,5822,
fc_b_009,ABD,,,,5092,730,5822,
fc_b_010,BCD,,,,5351,973,6324,
fc_b_011,ABC,,,,7199,632,7831,
fc_b_012,BCD,,,,5711,385,6096,
fc_b_013,A,,,,4594,1428,6022,
fc_b_014,14.41,,,,4150,1433,5583,
fc_b_015,CD,,,,5351,973,6324,
fc_b_016,B,,,,4594,1428,6022,
fc_b_017,C,,,,5351,973,6324,
fc_b_018,ABD,,,,5438,608,6046,
fc_b_019,ABCD,,,,4594,1428,6022,
fc_b_020,2.30,,,,3720,1679,5399,
fin_b_001,ACD,,,,5398,712,6110,
fin_b_002,BCD,,,,5398,712,6110,
fin_b_003,AD,,,,5398,712,6110,
fin_b_004,AB,,,,5398,712,6110,
fin_b_005,ACD,,,,6504,858,7362,
fin_b_006,A,,,,10860,1112,11972,
fin_b_007,BD,,,,5398,712,6110,
fin_b_008,AC,,,,17499,2558,20057,
fin_b_009,C,,,,11376,2463,13839,
fin_b_010,ABCD,,,,5398,712,6110,
fin_b_011,ABC,,,,6504,858,7362,
fin_b_012,A,,,,28867,4159,33026,
fin_b_013,2025.00,,,,7824,3487,11311,
fin_b_014,,,,,11866,8072,19938,
fin_b_015,美的集团>宁德时代,2.51,,,8902,4635,13537,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,5987,1901,7888,
fin_b_017,1049321.98,0.08,,,3669,1726,5395,
fin_b_018,2.58,7.65,,,3825,1603,5428,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,8537,4826,13363,
fin_b_020,112.32,112.31,0.01,,4953,1912,6865,
ins_b_001,333.20,,,,8071,1637,9708,
ins_b_002,BC,,,,5533,568,6101,
ins_b_003,366.00,,,,6731,2057,8788,
ins_b_004,CD,,,,5533,568,6101,
ins_b_005,B,,,,5518,578,6096,
ins_b_006,BCD,,,,5533,568,6101,
ins_b_007,BC,,,,5533,568,6101,
ins_b_008,BCD,,,,5533,567,6100,
ins_b_009,B,,,,5518,577,6095,
ins_b_010,B,,,,5518,577,6095,
ins_b_011,16.00,,,,4621,1654,6275,
ins_b_012,BCD,,,,5518,577,6095,
ins_b_013,BD,,,,5533,567,6100,
ins_b_014,AC,,,,5533,567,6100,
ins_b_015,AC,,,,5518,577,6095,
ins_b_016,ABD,,,,5518,577,6095,
ins_b_017,ABCD,,,,5533,567,6100,
ins_b_018,60.00,,,,4800,1494,6294,
ins_b_019,211.50,,,,8058,1595,9653,
ins_b_020,AC,,,,5518,577,6095,
reg_b_001,AC,,,,3620,485,4105,
reg_b_003,2026年3月30日,,,,4027,1593,5620,
reg_b_004,2026年6月30日,,,,4105,1591,5696,
reg_b_005,BCD,,,,3523,461,3984,
reg_b_007,30.00,,,,4036,1491,5527,
reg_b_008,BC,,,,3523,461,3984,
reg_b_009,BC,,,,3620,485,4105,
reg_b_013,B,,,,3523,461,3984,
reg_b_014,99.25,,,,3832,1529,5361,
reg_b_015,AC,,,,3619,485,4104,
reg_b_016,2.00,,,,4246,1570,5816,
reg_b_017,AC,,,,3686,490,4176,
reg_b_018,2026年4月1日,,,,4168,1506,5674,
reg_b_020,B,,,,3589,466,4055,
reg_b_021,B,,,,3589,466,4055,
reg_b_023,AB,,,,3686,490,4176,
reg_b_024,B,,,,3589,466,4055,
reg_b_025,AC,,,,3686,490,4176,
reg_b_026,B,,,,3589,466,4055,
reg_b_027,BD,,,,3589,466,4055,
res_b_001,AB,,,,4676,543,5219,
res_b_002,AC,,,,4559,641,5200,
res_b_003,AB,,,,4559,641,5200,
res_b_004,BCD,,,,4676,543,5219,
res_b_005,22.19,,,,3937,1892,5829,
res_b_006,AB,,,,4559,641,5200,
res_b_007,61.98,,,,3716,1596,5312,
res_b_008,AC,,,,4676,543,5219,
res_b_009,ABC,,,,6943,1063,8006,
res_b_010,AC,,,,4559,641,5200,
res_b_011,BC,,,,4676,543,5219,
res_b_012,670513.50,,,,3654,1852,5506,
res_b_013,AB,,,,4676,543,5219,
res_b_014,CD,,,,4559,641,5200,
res_b_015,BD,,,,4559,641,5200,
res_b_016,BD,,,,4676,543,5219,
res_b_017,AC,,,,4559,641,5200,
res_b_018,CD,,,,4559,641,5200,
res_b_019,AB,,,,4676,543,5219,
res_b_020,BD,,,,4676,543,5219,
