qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,346511,109841,456352
fc_b_001,5.55%,5.36%,7.68%,7.35%,2340,1378,3718
fc_b_002,ACD,,,,3202,524,3726
fc_b_003,ABCD,,,,3585,962,4547
fc_b_004,ABC,,,,3202,524,3726
fc_b_005,1468.47%,740.58%,,,6086,4818,10904
fc_b_006,A,,,,3585,962,4547
fc_b_007,BC,,,,3585,962,4547
fc_b_008,AC,,,,3585,962,4547
fc_b_009,C,,,,3585,962,4547
fc_b_010,BCD,,,,3202,524,3726
fc_b_011,ABC,,,,3585,962,4547
fc_b_012,ABCD,,,,7624,966,8590
fc_b_013,A,,,,3202,524,3726
fc_b_014,14.41,,,,2633,1371,4004
fc_b_015,CD,,,,3202,524,3726
fc_b_016,C,,,,3585,962,4547
fc_b_017,BCD,,,,3202,524,3726
fc_b_018,AB,,,,3202,524,3726
fc_b_019,AB,,,,3202,524,3726
fc_b_020,2.30,,,,2203,1492,3695
fin_b_001,ACD,,,,3920,610,4530
fin_b_002,BCD,,,,3920,610,4530
fin_b_003,ABD,,,,3920,610,4530
fin_b_004,AB,,,,3920,610,4530
fin_b_005,A,,,,5017,916,5933
fin_b_006,A,,,,9315,1010,10325
fin_b_007,BD,,,,3920,610,4530
fin_b_008,A,,,,5017,916,5933
fin_b_009,BCD,,,,3920,610,4530
fin_b_010,AD,,,,3920,610,4530
fin_b_011,A,,,,5017,916,5933
fin_b_012,A,,,,9705,1316,11021
fin_b_013,40.05,10.10,,,7021,3657,10678
fin_b_014,,,,,9802,7569,17371
fin_b_015,宁德时代>美的集团,0.00,,,7190,3352,10542
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,4470,1539,6009
fin_b_017,1049321.98,0.08,,,6367,3357,9724
fin_b_018,2.58,7.65,,,2308,1501,3809
fin_b_019,,,,,6949,7652,14601
fin_b_020,112.32,112.31,0.01,,3436,1648,5084
ins_b_001,333.20,,,,3650,1774,5424
ins_b_002,B,,,,2401,511,2912
ins_b_003,147.00,,,,5288,5630,10918
ins_b_004,C,,,,2401,511,2912
ins_b_005,B,,,,2346,514,2860
ins_b_006,BCD,,,,2401,511,2912
ins_b_007,BC,,,,2401,511,2912
ins_b_008,ABCD,,,,2401,511,2912
ins_b_009,BCD,,,,2346,514,2860
ins_b_010,B,,,,2346,514,2860
ins_b_011,16.00,,,,1691,1531,3222
ins_b_012,BD,,,,2346,514,2860
ins_b_013,BD,,,,2401,511,2912
ins_b_014,AC,,,,2401,511,2912
ins_b_015,AC,,,,2346,514,2860
ins_b_016,AB,,,,2346,514,2860
ins_b_017,D,,,,2401,511,2912
ins_b_018,60.00,,,,1870,1560,3430
ins_b_019,211.50,,,,3637,1485,5122
ins_b_020,ACD,,,,2346,514,2860
reg_b_001,AC,,,,2138,392,2530
reg_b_003,2026年3月30日,,,,2510,1429,3939
reg_b_004,2026年6月30日,,,,2588,1450,4038
reg_b_005,BCD,,,,1969,307,2276
reg_b_007,30.00,,,,2519,1391,3910
reg_b_008,B,,,,1969,307,2276
reg_b_009,BC,,,,2138,392,2530
reg_b_013,B,,,,1969,307,2276
reg_b_014,99.25,,,,2316,1809,4125
reg_b_015,AC,,,,2138,391,2529
reg_b_016,2.00,,,,2730,1345,4075
reg_b_017,AC,,,,2205,397,2602
reg_b_018,2026年4月1日,,,,2652,1537,4189
reg_b_020,B,,,,2036,312,2348
reg_b_021,B,,,,2036,312,2348
reg_b_023,AB,,,,2205,397,2602
reg_b_024,B,,,,2036,312,2348
reg_b_025,AC,,,,2205,397,2602
reg_b_026,B,,,,2036,312,2348
reg_b_027,BD,,,,2036,312,2348
res_b_001,AB,,,,3203,857,4060
res_b_002,AC,,,,3067,415,3482
res_b_003,AB,,,,3067,415,3482
res_b_004,BD,,,,3203,857,4060
res_b_005,22.19,,,,2421,1694,4115
res_b_006,AB,,,,8138,746,8884
res_b_007,61.98,,,,2200,1500,3700
res_b_008,A,,,,3203,857,4060
res_b_009,A,,,,7810,861,8671
res_b_010,AC,,,,3067,415,3482
res_b_011,BC,,,,3203,857,4060
res_b_012,67.10,,,,2138,1677,3815
res_b_013,AB,,,,3203,857,4060
res_b_014,CD,,,,3067,415,3482
res_b_015,B,,,,3067,415,3482
res_b_016,BD,,,,3203,857,4060
res_b_017,AC,,,,3067,415,3482
res_b_018,ACD,,,,3067,415,3482
res_b_019,AB,,,,3203,857,4060
res_b_020,BD,,,,3066,415,3481
