qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,2389416,409553,2798969
fc_b_001,5.55%,5.36%,7.68%,7.35%,21823,4849,26672
fc_b_002,ACD,,,,22202,1002,23204
fc_b_003,ACD,,,,23266,1442,24708
fc_b_004,ABC,,,,24241,1060,25301
fc_b_005,1468.47%,740.58%,,,20287,6356,26643
fc_b_006,B,,,,24375,1331,25706
fc_b_007,BC,,,,28391,1715,30106
fc_b_008,ABC,,,,28054,1858,29912
fc_b_009,ABD,,,,30921,1084,32005
fc_b_010,BCD,,,,22875,1095,23970
fc_b_011,ABC,,,,21626,1034,22660
fc_b_012,BCD,,,,22537,781,23318
fc_b_013,A,,,,12034,499,12533
fc_b_014,14.41,,,,25355,5370,30725
fc_b_015,CD,,,,22314,1140,23454
fc_b_016,C,,,,19228,872,20100
fc_b_017,BC,,,,22105,1121,23226
fc_b_018,ABD,,,,21807,1103,22910
fc_b_019,ABCD,,,,23145,908,24053
fc_b_020,2.30,,,,27084,7134,34218
fin_b_001,ACD,,,,31697,8335,40032
fin_b_002,BCD,,,,30258,5400,35658
fin_b_003,ABCD,,,,32895,5031,37926
fin_b_004,AB,,,,51863,7988,59851
fin_b_005,ACD,,,,31460,4823,36283
fin_b_006,BC,,,,22839,4962,27801
fin_b_007,ABD,,,,23777,4877,28654
fin_b_008,AC,,,,42911,8175,51086
fin_b_009,BCD,,,,39288,8955,48243
fin_b_010,AD,,,,42984,8369,51353
fin_b_011,ABC,,,,33229,5003,38232
fin_b_012,A,,,,25816,4807,30623
fin_b_013,40.05,10.10,,,30636,7158,37794
fin_b_014,1.12,9.82,8.69,,44055,12001,56056
fin_b_015,宁德时代>美的集团,19.75,,,40464,9810,50274
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,30700,6434,37134
fin_b_017,1049321.98,0.08,,,22884,6950,29834
fin_b_018,2.58,7.65,,,19934,6605,26539
fin_b_019,宁德时代>美的集团>比亚迪,1.29,,,44863,13740,58603
fin_b_020,112.32,112.31,0.01,,22280,6917,29197
ins_b_001,333.20,,,,27347,6807,34154
ins_b_002,BC,,,,22234,4744,26978
ins_b_003,366.00,,,,29030,7375,36405
ins_b_004,BCD,,,,25432,4704,30136
ins_b_005,BD,,,,26365,4862,31227
ins_b_006,BCD,,,,31758,4227,35985
ins_b_007,BC,,,,24580,4476,29056
ins_b_008,ABCD,,,,24032,4687,28719
ins_b_009,BCD,,,,27170,4616,31786
ins_b_010,AD,,,,25004,4456,29460
ins_b_011,16.00,,,,21084,5468,26552
ins_b_012,BCD,,,,28450,4085,32535
ins_b_013,BD,,,,33107,4516,37623
ins_b_014,ACD,,,,17461,3746,21207
ins_b_015,AC,,,,25446,3538,28984
ins_b_016,ABD,,,,24104,4641,28745
ins_b_017,ABCD,,,,33547,7098,40645
ins_b_018,60.00,,,,21185,5361,26546
ins_b_019,211.50,,,,27437,6324,33761
ins_b_020,ACD,,,,26596,4890,31486
reg_b_001,ACD,,,,14948,1264,16212
reg_b_003,2026年3月30日,,,,10816,6211,17027
reg_b_004,2026年6月30日,,,,10013,6436,16449
reg_b_005,BCD,,,,17484,939,18423
reg_b_007,30.00,,,,10763,5035,15798
reg_b_008,BC,,,,17768,1103,18871
reg_b_009,BC,,,,15677,1182,16859
reg_b_013,B,,,,14518,1017,15535
reg_b_014,99.25,,,,12693,5849,18542
reg_b_015,AC,,,,13521,1800,15321
reg_b_016,2.00,,,,10162,6233,16395
reg_b_017,AC,,,,15548,1217,16765
reg_b_018,2026年4月1日,,,,10468,6117,16585
reg_b_020,B,,,,13712,926,14638
reg_b_021,B,,,,15040,1068,16108
reg_b_023,AB,,,,12226,1302,13528
reg_b_024,B,,,,18592,1166,19758
reg_b_025,AC,,,,13416,1126,14542
reg_b_026,B,,,,14382,1020,15402
reg_b_027,BD,,,,16495,1136,17631
res_b_001,AB,,,,21862,1501,23363
res_b_002,AC,,,,20346,1745,22091
res_b_003,AB,,,,21663,1515,23178
res_b_004,BCD,,,,22410,1356,23766
res_b_005,22.19,,,,22122,6814,28936
res_b_006,AB,,,,28052,4471,32523
res_b_007,61.98,,,,19892,5329,25221
res_b_008,C,,,,21165,4823,25988
res_b_009,ABC,,,,21434,2395,23829
res_b_010,AC,,,,21802,1406,23208
res_b_011,BC,,,,21064,1646,22710
res_b_012,67.10,,,,26999,11212,38211
res_b_013,A,,,,28823,4304,33127
res_b_014,CD,,,,26372,6011,32383
res_b_015,BD,,,,22251,1314,23565
res_b_016,BD,,,,22322,1653,23975
res_b_017,AC,,,,20396,1505,21901
res_b_018,ACD,,,,28860,5761,34621
res_b_019,AB,,,,22045,1871,23916
res_b_020,BD,,,,21422,2059,23481
