qid	answer	prompt_tokens	completion_tokens	total_tokens
summary		1918203	415041	2333244
ins_a_001	B	18327	5322	23649
ins_a_002	A	17044	4779	21823
ins_a_003	A	23218	9396	32614
ins_a_004	A	21724	5141	26865
ins_a_005	ABCD	22343	5014	27357
ins_a_006	A	14438	7290	21728
ins_a_007	BC	14285	4052	18337
ins_a_008	ABC	21883	5130	27013
ins_a_009	C	17918	5079	22997
ins_a_010	AB	20313	4975	25288
ins_a_011	BC	20728	4803	25531
ins_a_012	A	20631	4327	24958
ins_a_013	A	17564	4913	22477
ins_a_014	AB	27535	7549	35084
ins_a_015	AB	22707	5040	27747
ins_a_016	CD	18645	4471	23116
ins_a_017	ABCD	20607	4663	25270
ins_a_018	BCD	21679	4536	26215
ins_a_019	ABCD	19534	4256	23790
ins_a_020	D	16636	5997	22633
fc_a_001	ABD	17636	3787	21423
fc_a_002	ABD	17730	4149	21879
fc_a_003	A	7612	1707	9319
fc_a_004	ABC	18109	4837	22946
fc_a_005	AC	17801	4617	22418
fc_a_006	A	10315	1698	12013
fc_a_007	ABD	18092	4741	22833
fc_a_008	B	17526	4724	22250
fc_a_009	ABD	22321	4788	27109
fc_a_010	A	9477	2018	11495
fc_a_011	AB	16489	3703	20192
fc_a_012	AC	18601	4825	23426
fc_a_013	B	8166	2179	10345
fc_a_014	ABC	22232	7427	29659
fc_a_015	B	20189	4700	24889
fc_a_016	BC	26452	4916	31368
fc_a_017	ABD	18410	4553	22963
fc_a_018	B	9200	3722	12922
fc_a_019	A	19225	4592	23817
fc_a_020	B	19865	7564	27429
fin_a_001	AB	19853	4927	24780
fin_a_002	ABD	17732	5369	23101
fin_a_003	A	10003	2067	12070
fin_a_004	ABD	17817	4827	22644
fin_a_005	ABD	17164	4946	22110
fin_a_006	A	10292	2247	12539
fin_a_007	ABD	18474	4345	22819
fin_a_008	D	23860	8488	32348
fin_a_009	ABC	19002	4248	23250
fin_a_010	A	15981	2408	18389
fin_a_011	ACD	17836	4861	22697
fin_a_012	ABD	16441	4172	20613
fin_a_013	A	9567	2689	12256
fin_a_014	AB	18602	4886	23488
fin_a_015	A	22263	12032	34295
fin_a_016	ABD	17966	4354	22320
fin_a_017	AC	18655	4361	23016
fin_a_018	A	10100	2304	12404
fin_a_019	AB	18622	4923	23545
fin_a_020	AB	17074	5063	22137
reg_a_001	ACD	14849	2637	17486
reg_a_002	ABC	9022	822	9844
reg_a_003	A	5785	371	6156
reg_a_004	ABC	16109	3068	19177
reg_a_005	ABC	11149	954	12103
reg_a_006	A	6058	295	6353
reg_a_007	ACD	9422	1374	10796
reg_a_008	A	11208	1260	12468
reg_a_009	ABD	9996	962	10958
reg_a_010	B	6578	395	6973
reg_a_011	ACD	16538	3756	20294
reg_a_012	ABD	12807	1346	14153
reg_a_013	A	5438	234	5672
reg_a_014	ABD	10814	558	11372
reg_a_015	C	10828	605	11433
reg_a_016	ABD	12015	1091	13106
reg_a_017	AB	12815	1151	13966
reg_a_018	A	7017	279	7296
reg_a_019	BD	13631	706	14337
reg_a_020	ABD	11753	585	12338
res_a_001	ABC	16084	4157	20241
res_a_002	ABCD	15354	4399	19753
res_a_003	A	10635	2481	13116
res_a_004	ABC	16848	4568	21416
res_a_005	ABC	15529	4449	19978
res_a_006	A	10904	2294	13198
res_a_007	ABC	14593	4483	19076
res_a_008	A	14426	3574	18000
res_a_009	ABC	15515	3551	19066
res_a_010	A	10001	1203	11204
res_a_011	BC	16701	4055	20756
res_a_012	ABC	16503	3990	20493
res_a_013	B	10726	1891	12617
res_a_014	ABC	17710	4150	21860
res_a_015	A	15400	4584	19984
res_a_016	ACD	16599	4400	20999
res_a_017	ABD	17262	4723	21985
res_a_018	A	10369	1868	12237
res_a_019	AB	16557	4205	20762
res_a_020	BD	17502	4562	22064
