qid	answer	prompt_tokens	completion_tokens	total_tokens
summary		1653706	402652	2056358
ins_a_001	B	17897	5420	23317
ins_a_002	A	14537	5016	19553
ins_a_003	A	14050	5800	19850
ins_a_004	A	19316	5131	24447
ins_a_005	ABCD	19292	4894	24186
ins_a_006	A	11904	6332	18236
ins_a_007	BC	11938	4053	15991
ins_a_008	ABC	19254	4856	24110
ins_a_009	C	14659	4845	19504
ins_a_010	AB	17943	4284	22227
ins_a_011	BC	19894	5155	25049
ins_a_012	A	18505	4802	23307
ins_a_013	A	13536	4955	18491
ins_a_014	AB	24245	7686	31931
ins_a_015	AB	18961	5072	24033
ins_a_016	CD	16246	4893	21139
ins_a_017	ABCD	18076	4129	22205
ins_a_018	BCD	19061	4843	23904
ins_a_019	ABCD	17181	4148	21329
ins_a_020	D	14851	5525	20376
fc_a_001	ABD	15122	4093	19215
fc_a_002	ABD	15483	4569	20052
fc_a_003	A	5645	1643	7288
fc_a_004	AD	15731	4598	20329
fc_a_005	ABD	14207	4547	18754
fc_a_006	A	8450	2000	10450
fc_a_007	BD	15863	4356	20219
fc_a_008	B	15787	4103	19890
fc_a_009	ABD	17209	4295	21504
fc_a_010	A	7531	1845	9376
fc_a_011	AB	14909	3804	18713
fc_a_012	ACD	17493	4681	22174
fc_a_013	B	6351	2505	8856
fc_a_014	AB	15111	4684	19795
fc_a_015	A	15676	4657	20333
fc_a_016	ABC	16608	3494	20102
fc_a_017	ABD	16613	4372	20985
fc_a_018	A	6888	2259	9147
fc_a_019	AB	16008	4361	20369
fc_a_020	AB	14721	4000	18721
fin_a_001	AB	18268	5008	23276
fin_a_002	AB	16280	5498	21778
fin_a_003	A	8370	1811	10181
fin_a_004	ABD	17013	5056	22069
fin_a_005	ABD	15415	5053	20468
fin_a_006	A	8568	2771	11339
fin_a_007	ABD	16472	5106	21578
fin_a_008	B	21967	9115	31082
fin_a_009	ABC	17351	4561	21912
fin_a_010	A	8680	2073	10753
fin_a_011	ACD	16086	4465	20551
fin_a_012	ABD	15831	4398	20229
fin_a_013	A	8097	2053	10150
fin_a_014	AB	17575	5049	22624
fin_a_015	A	15854	6764	22618
fin_a_016	ABD	16215	5094	21309
fin_a_017	AC	15882	5060	20942
fin_a_018	A	8255	2040	10295
fin_a_019	AB	16586	4810	21396
fin_a_020	AB	13869	5157	19026
reg_a_001	ACD	12666	2906	15572
reg_a_002	ABC	6795	783	7578
reg_a_003	A	3718	422	4140
reg_a_004	ABC	13894	3426	17320
reg_a_005	ABC	8920	911	9831
reg_a_006	A	3918	230	4148
reg_a_007	ACD	7217	1331	8548
reg_a_008	A	8994	1206	10200
reg_a_009	ABD	7781	1040	8821
reg_a_010	B	4138	324	4462
reg_a_011	ACD	13769	3759	17528
reg_a_012	ABD	9469	1911	11380
reg_a_013	A	3654	192	3846
reg_a_014	ABD	7542	643	8185
reg_a_015	C	8511	656	9167
reg_a_016	ABD	10530	1359	11889
reg_a_017	AB	9776	1157	10933
reg_a_018	A	5023	286	5309
reg_a_019	ABD	11053	672	11725
reg_a_020	ABD	9725	1597	11322
res_a_001	ABC	12832	4524	17356
res_a_002	ABC	12538	4541	17079
res_a_003	A	7454	2528	9982
res_a_004	ABC	13181	4514	17695
res_a_005	ABC	12288	3661	15949
res_a_006	A	7693	2345	10038
res_a_007	ABC	11351	4367	15718
res_a_008	A	11192	4251	15443
res_a_009	ABC	12284	3948	16232
res_a_010	A	4808	1723	6531
res_a_011	BC	13447	4532	17979
res_a_012	ABC	13275	3900	17175
res_a_013	B	7441	2167	9608
res_a_014	ABC	14473	4205	18678
res_a_015	A	12154	3325	15479
res_a_016	ACD	13419	4512	17931
res_a_017	ABD	17993	6887	24880
res_a_018	A	7165	1204	8369
res_a_019	AB	13295	4207	17502
res_a_020	BD	15203	4519	19722
