qid	answer	prompt_tokens	completion_tokens	total_tokens
summary		2086999	558532	2645531
ins_a_001	B	20672	5823	26495
ins_a_002	A	16860	5697	22557
ins_a_003	A	17218	6497	23715
ins_a_004	A	21780	5694	27474
ins_a_005	ABCD	21204	5129	26333
ins_a_006	A	12896	6447	19343
ins_a_007	BC	14508	4693	19201
ins_a_008	ABC	20892	5314	26206
ins_a_009	C	16166	5566	21732
ins_a_010	AB	21364	5174	26538
ins_a_011	BC	21746	5700	27446
ins_a_012	A	20368	4253	24621
ins_a_013	A	15664	5371	21035
ins_a_014	ABD	21072	5546	26618
ins_a_015	AB	21342	5598	26940
ins_a_016	D	20894	5374	26268
ins_a_017	ABCD	21054	4747	25801
ins_a_018	BCD	21336	5494	26830
ins_a_019	ACD	29810	9742	39552
ins_a_020	D	17716	6936	24652
fc_a_001	ABD	17720	3972	21692
fc_a_002	ABD	17242	4053	21295
fc_a_003	A	11272	2651	13923
fc_a_004	A	18110	5612	23722
fc_a_005	ABD	16570	5200	21770
fc_a_006	A	17270	5498	22768
fc_a_007	BD	18624	5892	24516
fc_a_008	D	18988	4689	23677
fc_a_009	ABD	18412	4927	23339
fc_a_010	A	14006	3303	17309
fc_a_011	AB	17134	3855	20989
fc_a_012	ACD	19440	5762	25202
fc_a_013	B	26257	11002	37259
fc_a_014	B	17308	5998	23306
fc_a_015	A	18894	5966	24860
fc_a_016	ABC	17234	4674	21908
fc_a_017	ABD	16902	4048	20950
fc_a_018	B	12226	4628	16854
fc_a_019	AB	18296	4641	22937
fc_a_020	AB	17068	4250	21318
fin_a_001	AB	21984	5154	27138
fin_a_002	AB	18502	6277	24779
fin_a_003	A	17184	4624	21808
fin_a_004	ABD	20386	5444	25830
fin_a_005	ABD	20376	5192	25568
fin_a_006	A	16886	5494	22380
fin_a_007	ABD	20172	5056	25228
fin_a_008	D	20634	7558	28192
fin_a_009	ABC	21210	4906	26116
fin_a_010	A	17572	4623	22195
fin_a_011	ACD	19844	5517	25361
fin_a_012	ABD	20726	5388	26114
fin_a_013	A	13694	3942	17636
fin_a_014	AB	20104	5166	25270
fin_a_015	A	19306	5849	25155
fin_a_016	AD	28362	7802	36164
fin_a_017	AC	18894	5145	24039
fin_a_018	A	16444	4012	20456
fin_a_019	AB	19100	5711	24811
fin_a_020	AB	30031	8000	38031
reg_a_001	ACD	10984	5488	16472
reg_a_002	ABC	8454	4344	12798
reg_a_003	A	6900	5292	12192
reg_a_004	ABC	18991	9321	28312
reg_a_005	ABC	12316	5432	17748
reg_a_006	A	7300	4332	11632
reg_a_007	ACD	13375	8311	21686
reg_a_008	A	12728	5204	17932
reg_a_009	ABD	10396	4284	14680
reg_a_010	B	7740	3959	11699
reg_a_011	ACD	13590	5592	19182
reg_a_012	ABD	11016	5613	16629
reg_a_013	A	6772	3248	10020
reg_a_014	ABD	9582	3762	13344
reg_a_015	C	11436	4645	16081
reg_a_016	ABD	13108	5489	18597
reg_a_017	AB	12220	4887	17107
reg_a_018	A	9510	4063	13573
reg_a_019	ABD	13780	4267	18047
reg_a_020	ABD	12574	4218	16792
res_a_001	ABC	19130	5149	24279
res_a_002	AC	25680	8017	33697
res_a_003	A	14376	5265	19641
res_a_004	ABC	17356	4067	21423
res_a_005	ABC	18020	4300	22320
res_a_006	A	19438	4604	24042
res_a_007	ABC	18106	4575	22681
res_a_008	A	17440	4000	21440
res_a_009	ABC	18984	3736	22720
res_a_010	A	9084	2710	11794
res_a_011	ABC	20476	5176	25652
res_a_012	ABC	17880	3687	21567
res_a_013	B	16600	3479	20079
res_a_014	ABC	18478	4483	22961
res_a_015	A	19776	3763	23539
res_a_016	ACD	28736	7294	36030
res_a_017	ABD	28126	8341	36467
res_a_018	A	13798	3398	17196
res_a_019	AB	21442	4211	25653
res_a_020	AB	21782	5248	27030
