qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,637593,152484,790077
fc_b_001,5.55%,5.36%,7.68%,7.35%,5365,1761,7126
fc_b_002,D,,,,5395,1297,6692
fc_b_003,BD,,,,6028,1417,7445
fc_b_004,ABC,,,,6008,1417,7425
fc_b_005,1468.47%,740.58%,,,10296,4458,14754
fc_b_006,B,,,,5186,1142,6328
fc_b_007,BC,,,,5194,1142,6336
fc_b_008,AB,,,,5235,1141,6376
fc_b_009,ABD,,,,5221,1141,6362
fc_b_010,BCD,,,,5361,799,6160
fc_b_011,ABC,,,,6039,1416,7455
fc_b_012,BCD,,,,5356,1296,6652
fc_b_013,A,,,,5288,799,6087
fc_b_014,14.41,,,,5194,1793,6987
fc_b_015,CD,,,,5354,799,6153
fc_b_016,B,,,,5292,799,6091
fc_b_017,BC,,,,5348,1296,6644
fc_b_018,ABD,,,,5367,1296,6663
fc_b_019,D,,,,5980,1416,7396
fc_b_020,2.30,,,,4614,1723,6337
fin_b_001,ACD,,,,6406,1188,7594
fin_b_002,CD,,,,6391,1188,7579
fin_b_003,D,,,,6424,1198,7622
fin_b_004,AB,,,,6394,1232,7626
fin_b_005,ACD,,,,7782,910,8692
fin_b_006,A,,,,6464,1165,7629
fin_b_007,ABD,,,,6468,1167,7635
fin_b_008,AC,,,,7798,888,8686
fin_b_009,BCD,,,,6457,1198,7655
fin_b_010,AD,,,,6408,1210,7618
fin_b_011,BC,,,,7809,912,8721
fin_b_012,A,,,,7740,877,8617
fin_b_013,40.05,10.10,,,10662,5314,15976
fin_b_014,2025.00,,,,12707,8647,21354
fin_b_015,宁德时代>美的集团,19.74,,,10810,5359,16169
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,6748,2015,8763
fin_b_017,1049226.01,0.09,,,4772,2075,6847
fin_b_018,2.58,7.65,,,5320,1843,7163
fin_b_019,宁德时代>美的集团,0.05,,,10019,8324,18343
fin_b_020,1123.23,1123.09,0.15,,5194,2240,7434
ins_b_001,333.20,,,,9405,2019,11424
ins_b_002,BC,,,,7225,844,8069
ins_b_003,366.00,,,,7919,2288,10207
ins_b_004,CD,,,,7139,848,7987
ins_b_005,B,,,,7461,1661,9122
ins_b_006,BCD,,,,7112,845,7957
ins_b_007,BC,,,,8776,822,9598
ins_b_008,ABCD,,,,7132,849,7981
ins_b_009,A,,,,7501,1661,9162
ins_b_010,B,,,,6301,915,7216
ins_b_011,16.00,,,,6717,1854,8571
ins_b_012,BCD,,,,8789,817,9606
ins_b_013,BD,,,,8791,816,9607
ins_b_014,AC,,,,6360,906,7266
ins_b_015,AC,,,,6290,915,7205
ins_b_016,ABD,,,,6334,915,7249
ins_b_017,ABCD,,,,8738,821,9559
ins_b_018,60.00,,,,6220,1838,8058
ins_b_019,211.50,,,,9331,1931,11262
ins_b_020,A,,,,7499,1661,9160
reg_b_001,ACD,,,,4842,537,5379
reg_b_003,2026年3月30日,,,,4840,1814,6654
reg_b_004,20260630.00,,,,7828,4733,12561
reg_b_005,BC,,,,5065,551,5616
reg_b_007,30.00,,,,4881,1750,6631
reg_b_008,BC,,,,5107,562,5669
reg_b_009,BC,,,,4844,507,5351
reg_b_013,B,,,,4808,540,5348
reg_b_014,99.25,,,,4980,1827,6807
reg_b_015,AC,,,,4773,479,5252
reg_b_016,2.00,,,,5463,1922,7385
reg_b_017,AC,,,,4956,507,5463
reg_b_018,20260401.00,,,,8254,4946,13200
reg_b_020,B,,,,5036,357,5393
reg_b_021,B,,,,5170,420,5590
reg_b_023,AB,,,,5723,484,6207
reg_b_024,B,,,,5337,368,5705
reg_b_025,AC,,,,5800,472,6272
reg_b_026,B,,,,4883,540,5423
reg_b_027,BD,,,,5241,376,5617
res_b_001,AB,,,,5704,539,6243
res_b_002,AD,,,,5580,1258,6838
res_b_003,AB,,,,5520,1258,6778
res_b_004,BCD,,,,5676,525,6201
res_b_005,22.19,,,,5637,2232,7869
res_b_006,AB,,,,5682,532,6214
res_b_007,61.98,,,,5070,1867,6937
res_b_008,C,,,,5316,1408,6724
res_b_009,AB,,,,7032,790,7822
res_b_010,AC,,,,5547,1265,6812
res_b_011,BC,,,,5346,1401,6747
res_b_012,67.05,,,,5055,2427,7482
res_b_013,ABC,,,,5664,532,6196
res_b_014,CD,,,,5322,1408,6730
res_b_015,B,,,,6952,1533,8485
res_b_016,BD,,,,6953,1533,8486
res_b_017,AC,,,,5578,1272,6850
res_b_018,D,,,,6958,1547,8505
res_b_019,BC,,,,5335,1408,6743
res_b_020,BD,,,,6901,1533,8434
