qid	answer	prompt_tokens	completion_tokens	total_tokens
summary		1844244	489048	2333292
ins_a_001	B	9871	3006	12877
ins_a_002	A	8182	2846	11028
ins_a_003	A	8165	3275	11440
ins_a_004	A	10481	2963	13444
ins_a_005	ABCD	20310	4966	25276
ins_a_006	A	6292	3565	9857
ins_a_007	BC	14032	4583	18615
ins_a_008	ABC	20286	5529	25815
ins_a_009	C	15842	5894	21736
ins_a_010	AB	20994	5456	26450
ins_a_011	BC	30997	8625	39622
ins_a_012	A	20080	4873	24953
ins_a_013	A	7363	2644	10007
ins_a_014	ABC	30894	9168	40062
ins_a_015	AB	20448	5611	26059
ins_a_016	CD	39744	10731	50475
ins_a_017	ABCD	19900	5052	24952
ins_a_018	BCD	30410	7409	37819
ins_a_019	ABCD	29255	9475	38730
ins_a_020	C	8695	4332	13027
fc_a_001	ABD	17174	3564	20738
fc_a_002	ABD	16784	3918	20702
fc_a_003	A	5171	1523	6694
fc_a_004	AD	27822	8144	35966
fc_a_005	ABD	16264	5230	21494
fc_a_006	B	8351	2633	10984
fc_a_007	BD	17988	5654	23642
fc_a_008	D	9118	1961	11079
fc_a_009	ABD	17792	4640	22432
fc_a_010	A	6812	1875	8687
fc_a_011	AB	16256	3861	20117
fc_a_012	ACD	18572	5873	24445
fc_a_013	A	13818	4786	18604
fc_a_014	BC	25465	9585	35050
fc_a_015	A	8855	3172	12027
fc_a_016	ABC	25474	5754	31228
fc_a_017	ABD	16236	5366	21602
fc_a_018	B	5921	2632	8553
fc_a_019	AB	17740	4555	22295
fc_a_020	AB	24962	7293	32255
fin_a_001	AB	22264	4861	27125
fin_a_002	AB	18974	5963	24937
fin_a_003	A	8198	2821	11019
fin_a_004	ABD	20474	5566	26040
fin_a_005	ABD	20092	5771	25863
fin_a_006	A	8374	2916	11290
fin_a_007	ABD	20294	5484	25778
fin_a_008	B	10354	3112	13466
fin_a_009	ABC	21322	4775	26097
fin_a_010	A	8336	1856	10192
fin_a_011	ACD	19300	5026	24326
fin_a_012	ABD	19930	5391	25321
fin_a_013	A	6671	2134	8805
fin_a_014	AB	19628	4566	24194
fin_a_015	A	9539	3687	13226
fin_a_016	AD	19008	5777	24785
fin_a_017	AC	18624	5067	23691
fin_a_018	A	8162	2047	10209
fin_a_019	AB	18372	5757	24129
fin_a_020	AB	19766	5657	25423
reg_a_001	ACD	10800	4853	15653
reg_a_002	ABC	8270	5012	13282
reg_a_003	A	3348	2292	5640
reg_a_004	ABC	18715	8930	27645
reg_a_005	ABC	12132	5137	17269
reg_a_006	A	3548	1926	5474
reg_a_007	ACD	8788	5539	14327
reg_a_008	A	6262	2273	8535
reg_a_009	ABD	10212	4556	14768
reg_a_010	B	3768	2109	5877
reg_a_011	AC	20027	8878	28905
reg_a_012	ABD	10832	5404	16236
reg_a_013	A	3284	1458	4742
reg_a_014	ABD	9398	4404	13802
reg_a_015	C	5616	2231	7847
reg_a_016	ABD	12924	5546	18470
reg_a_017	AB	12036	4856	16892
reg_a_018	A	4653	2189	6842
reg_a_019	ABD	13596	4558	18154
reg_a_020	ABD	12390	4141	16531
res_a_001	ABC	18956	5196	24152
res_a_002	ABC	24930	6936	31866
res_a_003	A	7086	2307	9393
res_a_004	ABC	17172	4702	21874
res_a_005	ABC	17836	4247	22083
res_a_006	A	9617	2219	11836
res_a_007	ABC	17922	4171	22093
res_a_008	A	8618	2016	10634
res_a_009	ABC	18800	3947	22747
res_a_010	A	4440	1440	5880
res_a_011	ABC	29287	8504	37791
res_a_012	ABC	17696	4128	21824
res_a_013	B	8198	1456	9654
res_a_014	ABC	17724	4468	22192
res_a_015	A	9786	1646	11432
res_a_016	ACD	18760	5228	23988
res_a_017	ABD	19340	5657	24997
res_a_018	A	6797	1396	8193
res_a_019	AB	21258	4677	25935
res_a_020	AB	20836	5594	26430
