qid	answer	prompt_tokens	completion_tokens	total_tokens
summary		2143980	579785	2723765
ins_a_001	B	19798	5245	25043
ins_a_002	A	16580	5447	22027
ins_a_003	A	16764	6203	22967
ins_a_004	A	21770	5870	27640
ins_a_005	ABCD	20572	5093	25665
ins_a_006	A	12722	6195	18917
ins_a_007	BC	14228	5153	19381
ins_a_008	ABC	30799	8090	38889
ins_a_009	C	16152	5616	21768
ins_a_010	AB	21116	5477	26593
ins_a_011	BC	31696	8938	40634
ins_a_012	A	20186	5025	25211
ins_a_013	A	15434	5672	21106
ins_a_014	ABD	31405	9576	40981
ins_a_015	AB	30809	9143	39952
ins_a_016	CD	41241	11411	52652
ins_a_017	ABCD	20770	4750	25520
ins_a_018	BCD	20914	5554	26468
ins_a_019	ACD	29781	8327	38108
ins_a_020	D	17674	6021	23695
fc_a_001	ABD	17574	4402	21976
fc_a_002	ABD	17226	4013	21239
fc_a_003	A	10794	2877	13671
fc_a_004	A	18118	5110	23228
fc_a_005	ABD	16298	4753	21051
fc_a_006	A	17038	4243	21281
fc_a_007	BD	18722	5639	24361
fc_a_008	D	18624	4947	23571
fc_a_009	ABD	18276	4103	22379
fc_a_010	A	13994	3337	17331
fc_a_011	AB	17166	3565	20731
fc_a_012	ACD	30172	9519	39691
fc_a_013	B	11570	5769	17339
fc_a_014	B	25336	9409	34745
fc_a_015	A	27886	9873	37759
fc_a_016	ABC	17018	3915	20933
fc_a_017	ABD	16768	5000	21768
fc_a_018	B	12128	5646	17774
fc_a_019	AB	18242	4553	22795
fc_a_020	AB	25589	7296	32885
fin_a_001	AB	21926	5257	27183
fin_a_002	AB	28155	9696	37851
fin_a_003	A	17500	3600	21100
fin_a_004	ABD	19310	5649	24959
fin_a_005	ABD	20402	5586	25988
fin_a_006	A	16908	5301	22209
fin_a_007	ABD	20148	4987	25135
fin_a_008	B	31656	9473	41129
fin_a_009	ABC	20854	5067	25921
fin_a_010	A	17178	4541	21719
fin_a_011	ACD	19768	5184	24952
fin_a_012	ABD	20272	5372	25644
fin_a_013	A	15918	4552	20470
fin_a_014	AB	20178	5392	25570
fin_a_015	A	19298	7055	26353
fin_a_016	ABD	19334	5820	25154
fin_a_017	AC	19308	4973	24281
fin_a_018	A	17968	4202	22170
fin_a_019	AB	19108	5117	24225
fin_a_020	AB	19800	5688	25488
reg_a_001	ACD	10984	5746	16730
reg_a_002	ABC	8454	4689	13143
reg_a_003	A	6900	5008	11908
reg_a_004	ABC	12716	5390	18106
reg_a_005	ABC	12316	5070	17386
reg_a_006	A	7300	4810	12110
reg_a_007	ACD	8972	5708	14680
reg_a_008	A	12728	5438	18166
reg_a_009	ABD	10396	4351	14747
reg_a_010	B	7740	3892	11632
reg_a_011	ACD	13590	5646	19236
reg_a_012	ABD	11016	5423	16439
reg_a_013	A	6772	3226	9998
reg_a_014	ABD	9582	3741	13323
reg_a_015	C	11436	4343	15779
reg_a_016	ABD	13108	5410	18518
reg_a_017	AB	12220	5030	17250
reg_a_018	A	9510	3536	13046
reg_a_019	ABD	13780	5068	18848
reg_a_020	ABD	12574	4307	16881
res_a_001	ABC	19130	4064	23194
res_a_002	ABC	16782	4413	21195
res_a_003	A	14376	5469	19845
res_a_004	ABC	26625	8264	34889
res_a_005	ABC	17648	4450	22098
res_a_006	A	19302	4115	23417
res_a_007	ABC	17980	3714	21694
res_a_008	A	17694	4535	22229
res_a_009	ABC	18984	3677	22661
res_a_010	A	9084	3208	12292
res_a_011	ABC	30631	7952	38583
res_a_012	ABC	17880	4738	22618
res_a_013	B	14350	3619	17969
res_a_014	ABC	18478	4757	23235
res_a_015	A	19736	4058	23794
res_a_016	ACD	18332	5483	23815
res_a_017	ABD	18698	5616	24314
res_a_018	A	13798	4430	18228
res_a_019	AB	21674	4636	26310
res_a_020	BD	22192	5389	27581
