qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,815656,265586,1081242
fc_b_001,5.55%,5.36%,7.68%,7.35%,5546,2763,8309
fc_b_002,ACD,,,,5248,1910,7158
fc_b_003,ABCD,,,,4622,2347,6969
fc_b_004,ABC,,,,10890,2565,13455
fc_b_005,1468.47%,740.58%,,,5323,3019,8342
fc_b_006,B,,,,11924,2633,14557
fc_b_007,BC,,,,11938,2633,14571
fc_b_008,ABC,,,,27644,5247,32891
fc_b_009,ABD,,,,6346,2407,8753
fc_b_010,BCD,,,,12714,3040,15754
fc_b_011,ABC,,,,10729,2784,13513
fc_b_012,BCD,,,,4933,2072,7005
fc_b_013,A,,,,10806,2565,13371
fc_b_014,14.41,,,,5943,2399,8342
fc_b_015,CD,,,,12712,3039,15751
fc_b_016,C,,,,25007,5172,30179
fc_b_017,BC,,,,5190,2261,7451
fc_b_018,ABD,,,,5178,2238,7416
fc_b_019,ABCD,,,,10669,2783,13452
fc_b_020,2.30,,,,9708,5250,14958
fin_b_001,ACD,,,,14698,3364,18062
fin_b_002,BCD,,,,14683,3364,18047
fin_b_003,ABCD,,,,17886,3270,21156
fin_b_004,AB,,,,32725,6782,39507
fin_b_005,AC,,,,7041,2811,9852
fin_b_006,BC,,,,6021,2647,8668
fin_b_007,ABD,,,,6055,2671,8726
fin_b_008,AC,,,,5798,2950,8748
fin_b_009,BCD,,,,17919,3270,21189
fin_b_010,AD,,,,32763,6762,39525
fin_b_011,ABC,,,,7155,2642,9797
fin_b_012,AB,,,,10549,5037,15586
fin_b_013,40.05,10.10,,,6287,3075,9362
fin_b_014,1.12,9.82,8.69,,6267,3463,9730
fin_b_015,宁德时代>美的集团,19.75,,,6021,2982,9003
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,5345,2931,8276
fin_b_017,1049321.98,0.08,,,10349,5240,15589
fin_b_018,2.58,7.65,,,5533,2699,8232
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,5180,4405,9585
fin_b_020,112.32,112.31,0.01,,5322,2915,8237
ins_b_001,333.20,,,,4988,2924,7912
ins_b_002,BC,,,,6341,2584,8925
ins_b_003,366.00,,,,5447,3147,8594
ins_b_004,BCD,,,,7133,2602,9735
ins_b_005,BD,,,,6761,2596,9357
ins_b_006,BCD,,,,6996,2505,9501
ins_b_007,BC,,,,7076,3572,10648
ins_b_008,ABCD,,,,6942,3523,10465
ins_b_009,BCD,,,,6867,2518,9385
ins_b_010,AB,,,,6272,2427,8699
ins_b_011,16.00,,,,5169,2560,7729
ins_b_012,BCD,,,,6290,2755,9045
ins_b_013,BD,,,,7116,2466,9582
ins_b_014,ACD,,,,4794,1881,6675
ins_b_015,AC,,,,6479,2418,8897
ins_b_016,ABD,,,,6183,2495,8678
ins_b_017,ABCD,,,,12617,4233,16850
ins_b_018,60.00,,,,5258,2699,7957
ins_b_019,211.50,,,,4962,2801,7763
ins_b_020,ACD,,,,6910,2642,9552
reg_b_001,ACD,,,,5524,426,5950
reg_b_003,2026年3月30日,,,,4426,3680,8106
reg_b_004,20260630.00,,,,4153,3260,7413
reg_b_005,BCD,,,,5482,359,5841
reg_b_007,30.00,,,,4438,2195,6633
reg_b_008,BC,,,,6083,413,6496
reg_b_009,BC,,,,4851,814,5665
reg_b_013,B,,,,5167,448,5615
reg_b_014,99.25,,,,5008,2730,7738
reg_b_015,AC,,,,4593,679,5272
reg_b_016,2.00,,,,4269,2703,6972
reg_b_017,AC,,,,4945,814,5759
reg_b_018,20260401.00,,,,4351,4114,8465
reg_b_020,B,,,,5190,448,5638
reg_b_021,B,,,,5621,417,6038
reg_b_023,AB,,,,4760,814,5574
reg_b_024,B,,,,6410,494,6904
reg_b_025,AC,,,,5084,417,5501
reg_b_026,B,,,,5294,419,5713
reg_b_027,BD,,,,5711,408,6119
res_b_001,AB,,,,5862,2379,8241
res_b_002,AC,,,,5676,2665,8341
res_b_003,AB,,,,6405,2196,8601
res_b_004,BCD,,,,6105,2435,8540
res_b_005,22.19,,,,7215,2835,10050
res_b_006,AB,,,,22859,5016,27875
res_b_007,61.98,,,,6348,2440,8788
res_b_008,AC,,,,6008,2354,8362
res_b_009,ABC,,,,6818,2366,9184
res_b_010,AC,,,,7331,2339,9670
res_b_011,BC,,,,10534,2406,12940
res_b_012,62.8,,,,6231,2920,9151
res_b_013,AB,,,,6449,2346,8795
res_b_014,CD,,,,7178,2324,9502
res_b_015,BD,,,,7076,2325,9401
res_b_016,BD,,,,6329,2273,8602
res_b_017,AC,,,,7193,2498,9691
res_b_018,D,,,,7699,2864,10563
res_b_019,AB,,,,10523,2406,12929
res_b_020,BD,,,,7189,2392,9581
