qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,491466,117990,609456,
fc_b_001,,,,,1001,112,1113,
fc_b_002,,,,,1001,112,1113,
fc_b_003,,,,,1001,112,1113,
fc_b_004,,,,,1001,112,1113,
fc_b_005,,,,,1001,112,1113,
fc_b_006,,,,,1001,112,1113,
fc_b_007,,,,,1001,112,1113,
fc_b_008,,,,,1001,112,1113,
fc_b_009,,,,,1001,112,1113,
fc_b_010,,,,,1001,112,1113,
fc_b_011,,,,,1001,112,1113,
fc_b_012,,,,,1001,112,1113,
fc_b_013,,,,,1001,112,1113,
fc_b_014,,,,,1001,112,1113,
fc_b_015,,,,,1001,112,1113,
fc_b_016,,,,,1001,112,1113,
fc_b_017,,,,,1001,112,1113,
fc_b_018,,,,,1001,112,1113,
fc_b_019,,,,,1001,112,1113,
fc_b_020,,,,,1001,112,1113,
fin_b_001,,,,,1001,112,1113,
fin_b_002,,,,,1001,112,1113,
fin_b_003,,,,,1001,112,1113,
fin_b_004,,,,,1001,111,1112,
fin_b_005,,,,,1001,111,1112,
fin_b_006,,,,,1001,111,1112,
fin_b_007,,,,,1001,111,1112,
fin_b_008,,,,,1001,111,1112,
fin_b_009,,,,,1001,111,1112,
fin_b_010,,,,,1001,111,1112,
fin_b_011,,,,,1001,111,1112,
fin_b_012,,,,,1001,111,1112,
fin_b_013,,,,,1001,111,1112,
fin_b_014,,,,,1001,111,1112,
fin_b_015,,,,,1001,111,1112,
fin_b_016,,,,,1001,111,1112,
fin_b_017,,,,,1001,111,1112,
fin_b_018,,,,,1001,111,1112,
fin_b_019,,,,,1001,111,1112,
fin_b_020,,,,,1001,111,1112,
ins_b_001,333.20,,,,15229,7403,22632,
ins_b_002,BC,,,,19610,6820,26430,
ins_b_003,366.00,,,,16162,7633,23795,
ins_b_004,BCD,,,,23178,4621,27799,
ins_b_005,BD,,,,23658,4582,28240,
ins_b_006,BCD,,,,26510,3960,30470,
ins_b_007,BC,,,,20664,4170,24834,
ins_b_008,ACD,,,,23737,8599,32336,
ins_b_009,BCD,,,,23376,4472,27848,
ins_b_010,A,,,,27387,8715,36102,
ins_b_011,16.00,,,,12019,6751,18770,
ins_b_012,BCD,,,,23897,4535,28432,
ins_b_013,BD,,,,25454,3997,29451,
ins_b_014,ACD,,,,14122,3475,17597,
ins_b_015,AC,,,,21837,3819,25656,
ins_b_016,ABD,,,,21222,4417,25639,
ins_b_017,ABCD,,,,25506,4474,29980,
ins_b_018,60.00,,,,12434,4808,17242,
ins_b_019,211.50,,,,15190,7030,22220,
ins_b_020,ACD,,,,20209,4806,25015,
reg_b_001,,,,,1001,111,1112,
reg_b_003,,,,,1001,111,1112,
reg_b_004,,,,,1001,111,1112,
reg_b_005,,,,,1001,111,1112,
reg_b_007,,,,,1001,111,1112,
reg_b_008,,,,,1001,111,1112,
reg_b_009,,,,,1001,111,1112,
reg_b_013,,,,,1001,111,1112,
reg_b_014,,,,,1001,111,1112,
reg_b_015,,,,,1001,111,1112,
reg_b_016,,,,,1001,111,1112,
reg_b_017,,,,,1001,111,1112,
reg_b_018,,,,,1001,111,1112,
reg_b_020,,,,,1001,111,1112,
reg_b_021,,,,,1001,111,1112,
reg_b_023,,,,,1001,111,1112,
reg_b_024,,,,,1001,111,1112,
reg_b_025,,,,,1001,111,1112,
reg_b_026,,,,,1001,111,1112,
reg_b_027,,,,,1001,111,1112,
res_b_001,,,,,1001,111,1112,
res_b_002,,,,,1001,111,1112,
res_b_003,,,,,1001,111,1112,
res_b_004,,,,,1001,111,1112,
res_b_005,,,,,1001,111,1112,
res_b_006,,,,,1000,111,1111,
res_b_007,,,,,1000,111,1111,
res_b_008,,,,,1000,111,1111,
res_b_009,,,,,1000,111,1111,
res_b_010,,,,,1000,111,1111,
res_b_011,,,,,1000,111,1111,
res_b_012,,,,,1000,111,1111,
res_b_013,,,,,1000,111,1111,
res_b_014,,,,,1000,111,1111,
res_b_015,,,,,1000,111,1111,
res_b_016,,,,,1000,111,1111,
res_b_017,,,,,1000,111,1111,
res_b_018,,,,,1000,111,1111,
res_b_019,,,,,1000,111,1111,
res_b_020,,,,,1000,111,1111,
