qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,324959,97492,422451
fc_b_001,5.55%,5.36%,7.68%,7.35%,2340,1350,3690
fc_b_002,ACD,,,,3202,701,3903
fc_b_003,ABCD,,,,3585,817,4402
fc_b_004,ABC,,,,3202,701,3903
fc_b_005,1468.47%,740.58%,,,5992,3378,9370
fc_b_006,A,,,,3585,817,4402
fc_b_007,B,,,,3585,817,4402
fc_b_008,AC,,,,3585,817,4402
fc_b_009,A,,,,7690,1217,8907
fc_b_010,BCD,,,,3202,701,3903
fc_b_011,ABC,,,,3585,817,4402
fc_b_012,ABCD,,,,7624,821,8445
fc_b_013,A,,,,3202,701,3903
fc_b_014,14.41,,,,2633,1373,4006
fc_b_015,CD,,,,3202,701,3903
fc_b_016,C,,,,3585,817,4402
fc_b_017,BC,,,,3202,701,3903
fc_b_018,AB,,,,3202,701,3903
fc_b_019,ABC,,,,3202,701,3903
fc_b_020,2.30,,,,2203,1724,3927
fin_b_001,ACD,,,,3920,609,4529
fin_b_002,BCD,,,,3920,609,4529
fin_b_003,ABCD,,,,3920,609,4529
fin_b_004,AB,,,,3920,609,4529
fin_b_005,ACD,,,,5145,998,6143
fin_b_006,ABCD,,,,3920,609,4529
fin_b_007,BD,,,,3920,609,4529
fin_b_008,AC,,,,5145,998,6143
fin_b_009,BCD,,,,3920,609,4529
fin_b_010,AD,,,,3920,609,4529
fin_b_011,ABC,,,,5145,998,6143
fin_b_012,A,,,,9809,1398,11207
fin_b_013,40.05,10.10,,,6778,3774,10552
fin_b_014,0.07,9.56,9.49,,4551,1958,6509
fin_b_015,无法计算,0.00,,,7156,5621,12777
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,4470,1544,6014
fin_b_017,1049321.98,0.08,,,2152,1652,3804
fin_b_018,2.58,7.65,,,2308,1481,3789
fin_b_019,宁德时代>美的集团>比亚迪,1.10,,,6930,6547,13477
fin_b_020,1123.23,1123.09,0.15,,2268,1707,3975
ins_b_001,333.20,,,,3650,1578,5228
ins_b_002,C,,,,2401,476,2877
ins_b_003,322.00,,,,2310,1823,4133
ins_b_004,BCD,,,,2401,476,2877
ins_b_005,ABD,,,,2346,574,2920
ins_b_006,BCD,,,,2401,476,2877
ins_b_007,BC,,,,2401,476,2877
ins_b_008,ABCD,,,,2401,476,2877
ins_b_009,BCD,,,,2346,574,2920
ins_b_010,B,,,,2346,574,2920
ins_b_011,16.00,,,,1691,1531,3222
ins_b_012,BD,,,,2346,574,2920
ins_b_013,BD,,,,2401,476,2877
ins_b_014,ACD,,,,2401,476,2877
ins_b_015,AC,,,,2346,574,2920
ins_b_016,AB,,,,2346,574,2920
ins_b_017,D,,,,2401,476,2877
ins_b_018,60.00,,,,1870,1420,3290
ins_b_019,211.50,,,,3637,1518,5155
ins_b_020,ACD,,,,2346,574,2920
reg_b_001,AC,,,,2138,374,2512
reg_b_003,2026年3月30日,,,,2510,1469,3979
reg_b_004,2026年6月30日,,,,2588,1424,4012
reg_b_005,BCD,,,,2044,346,2390
reg_b_007,30.00,,,,2519,1389,3908
reg_b_008,BC,,,,2044,346,2390
reg_b_009,BC,,,,2138,374,2512
reg_b_013,B,,,,2044,346,2390
reg_b_014,99.25,,,,2316,2015,4331
reg_b_015,AC,,,,2138,374,2512
reg_b_016,2.00,,,,2635,1473,4108
reg_b_017,AC,,,,2205,380,2585
reg_b_018,2026年4月1日,,,,2652,1350,4002
reg_b_020,B,,,,2111,352,2463
reg_b_021,B,,,,2111,352,2463
reg_b_023,AB,,,,2205,380,2585
reg_b_024,B,,,,2111,352,2463
reg_b_025,AC,,,,2205,380,2585
reg_b_026,B,,,,2111,352,2463
reg_b_027,BD,,,,2111,352,2463
res_b_001,AB,,,,3199,590,3789
res_b_002,AC,,,,3082,411,3493
res_b_003,AB,,,,3082,411,3493
res_b_004,BCD,,,,3199,590,3789
res_b_005,22.19,,,,2421,1613,4034
res_b_006,AB,,,,3082,411,3493
res_b_007,61.98,,,,2200,1496,3696
res_b_008,AC,,,,3199,590,3789
res_b_009,ABC,,,,5407,871,6278
res_b_010,AC,,,,3082,411,3493
res_b_011,BC,,,,3199,590,3789
res_b_012,67.10,,,,2138,1707,3845
res_b_013,ABC,,,,3199,590,3789
res_b_014,CD,,,,3082,411,3493
res_b_015,BD,,,,3082,411,3493
res_b_016,BD,,,,3199,590,3789
res_b_017,AC,,,,3081,411,3492
res_b_018,CD,,,,3081,411,3492
res_b_019,AB,,,,3198,590,3788
res_b_020,BD,,,,3198,590,3788
