qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,2416860,413319,2830179
fc_b_001,5.55%,5.36%,7.68%,7.35%,22119,5698,27817
fc_b_002,ACD,,,,22528,950,23478
fc_b_003,ACD,,,,23304,1531,24835
fc_b_004,ABC,,,,24537,1045,25582
fc_b_005,1468.47%,740.58%,,,20613,6628,27241
fc_b_006,B,,,,24321,1155,25476
fc_b_007,BC,,,,28337,1587,29924
fc_b_008,ABC,,,,28000,1401,29401
fc_b_009,ABD,,,,30867,1052,31919
fc_b_010,BCD,,,,22827,1177,24004
fc_b_011,ABC,,,,21758,1019,22777
fc_b_012,BCD,,,,22439,851,23290
fc_b_013,A,,,,12129,495,12624
fc_b_014,14.41,,,,25487,4815,30302
fc_b_015,CD,,,,22266,1138,23404
fc_b_016,C,,,,19418,807,20225
fc_b_017,BC,,,,22139,1121,23260
fc_b_018,ABD,,,,21725,1127,22852
fc_b_019,ABCD,,,,23171,929,24100
fc_b_020,2.30,,,,19780,5614,25394
fin_b_001,ACD,,,,25377,5219,30596
fin_b_002,BCD,,,,36668,8324,44992
fin_b_003,ABCD,,,,32727,5343,38070
fin_b_004,A,,,,57948,15602,73550
fin_b_005,ACD,,,,38658,7672,46330
fin_b_006,BC,,,,22765,4914,27679
fin_b_007,ABD,,,,23775,4956,28731
fin_b_008,AC,,,,32222,5149,37371
fin_b_009,BCD,,,,32594,4846,37440
fin_b_010,AD,,,,42414,9168,51582
fin_b_011,ABC,,,,44203,8027,52230
fin_b_012,A,,,,25906,4853,30759
fin_b_013,40.05,10.10,,,29818,7289,37107
fin_b_014,1.12,9.82,8.69,,30158,7598,37756
fin_b_015,宁德时代>美的集团,19.75,,,28865,5184,34049
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,48112,12979,61091
fin_b_017,1049321.98,0.08,,,24154,6786,30940
fin_b_018,2.58,7.65,,,23404,6245,29649
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,67208,10714,77922
fin_b_020,112.33,112.31,0.02,,34783,12049,46832
ins_b_001,333.20,,,,27191,6861,34052
ins_b_002,B,,,,26767,7465,34232
ins_b_003,366.00,,,,28874,6755,35629
ins_b_004,BCD,,,,25276,4740,30016
ins_b_005,BD,,,,26069,4727,30796
ins_b_006,BD,,,,37874,6810,44684
ins_b_007,BC,,,,24574,4681,29255
ins_b_008,ABCD,,,,23934,4803,28737
ins_b_009,BCD,,,,26598,4809,31407
ins_b_010,AB,,,,24490,4265,28755
ins_b_011,16.00,,,,21116,6038,27154
ins_b_012,BCD,,,,28612,3907,32519
ins_b_013,BD,,,,33305,4120,37425
ins_b_014,ACD,,,,17607,4113,21720
ins_b_015,AC,,,,25122,4393,29515
ins_b_016,ABD,,,,23974,4457,28431
ins_b_017,ABCD,,,,28756,4601,33357
ins_b_018,60.00,,,,21217,4417,25634
ins_b_019,211.50,,,,27281,6416,33697
ins_b_020,ACD,,,,25924,4631,30555
reg_b_001,ACD,,,,14948,1198,16146
reg_b_003,2026年3月30日,,,,10816,6522,17338
reg_b_004,2026年6月30日,,,,10013,6430,16443
reg_b_005,BCD,,,,17484,918,18402
reg_b_007,30.00,,,,10763,4785,15548
reg_b_008,BC,,,,17768,1014,18782
reg_b_009,BC,,,,15677,1183,16860
reg_b_013,B,,,,14518,1010,15528
reg_b_014,99.25,,,,12693,6459,19152
reg_b_015,AC,,,,13521,1735,15256
reg_b_016,2.00,,,,10162,5805,15967
reg_b_017,AC,,,,15548,1331,16879
reg_b_018,2026年4月1日,,,,10468,6018,16486
reg_b_020,B,,,,13712,927,14639
reg_b_021,B,,,,15040,1061,16101
reg_b_023,AB,,,,12226,1448,13674
reg_b_024,B,,,,18044,1125,19169
reg_b_025,AC,,,,13416,1131,14547
reg_b_026,B,,,,14382,1141,15523
reg_b_027,BD,,,,16495,1196,17691
res_b_001,AB,,,,23416,1514,24930
res_b_002,AC,,,,22648,1508,24156
res_b_003,AB,,,,21371,2621,23992
res_b_004,BCD,,,,21748,1574,23322
res_b_005,22.19,,,,22122,6962,29084
res_b_006,AB,,,,22205,1742,23947
res_b_007,61.98,,,,19892,5938,25830
res_b_008,C,,,,20855,3689,24544
res_b_009,ABC,,,,21302,2462,23764
res_b_010,AC,,,,21490,1698,23188
res_b_011,BC,,,,21064,1638,22702
res_b_012,67.10,,,,27581,12646,40227
res_b_013,A,,,,29830,4920,34750
res_b_014,CD,,,,27542,7131,34673
res_b_015,BD,,,,22251,1402,23653
res_b_016,BD,,,,23972,1395,25367
res_b_017,AC,,,,20384,1646,22030
res_b_018,CD,,,,20801,1422,22223
res_b_019,AB,,,,21883,1474,23357
res_b_020,BD,,,,22724,1434,24158
