qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,132947,34872,167819,
fc_b_001,5.55%,5.36%,7.68%,7.35%,5209,2345,7554,
fc_b_002,,,,,334,51,385,
fc_b_003,,,,,334,51,385,
fc_b_004,,,,,334,51,385,
fc_b_005,,,,,334,51,385,
fc_b_006,B,,,,6211,1948,8159,
fc_b_007,,,,,334,51,385,
fc_b_008,,,,,334,51,385,
fc_b_009,,,,,334,51,385,
fc_b_010,,,,,334,51,385,
fc_b_011,,,,,334,51,385,
fc_b_012,,,,,334,51,385,
fc_b_013,A,,,,5369,254,5623,
fc_b_014,,,,,334,51,385,
fc_b_015,,,,,334,51,385,
fc_b_016,,,,,334,51,385,
fc_b_017,,,,,334,51,385,
fc_b_018,,,,,334,51,385,
fc_b_019,,,,,334,51,385,
fc_b_020,,,,,334,51,385,
fin_b_001,ACD,,,,7974,2155,10129,
fin_b_002,,,,,334,51,385,
fin_b_003,,,,,334,51,385,
fin_b_004,,,,,334,51,385,
fin_b_005,,,,,334,51,385,
fin_b_006,,,,,334,51,385,
fin_b_007,,,,,334,51,385,
fin_b_008,,,,,334,51,385,
fin_b_009,,,,,333,51,384,
fin_b_010,,,,,333,51,384,
fin_b_011,,,,,333,51,384,
fin_b_012,AB,,,,12452,2229,14681,
fin_b_013,,,,,333,51,384,
fin_b_014,,,,,333,51,384,
fin_b_015,,,,,333,51,384,
fin_b_016,,,,,333,51,384,
fin_b_017,1049321.98,0.08,,,5313,2497,7810,
fin_b_018,,,,,333,51,384,
fin_b_019,,,,,333,51,384,
fin_b_020,,,,,333,51,384,
ins_b_001,,,,,333,51,384,
ins_b_002,,,,,333,51,384,
ins_b_003,366.00,,,,7880,2623,10503,
ins_b_004,,,,,333,51,384,
ins_b_005,,,,,333,51,384,
ins_b_006,,,,,333,51,384,
ins_b_007,,,,,333,51,384,
ins_b_008,,,,,333,51,384,
ins_b_009,,,,,333,51,384,
ins_b_010,AB,,,,8688,1950,10638,
ins_b_011,,,,,333,51,384,
ins_b_012,,,,,333,51,384,
ins_b_013,,,,,333,51,384,
ins_b_014,,,,,333,51,384,
ins_b_015,,,,,333,50,383,
ins_b_016,ABD,,,,8990,1982,10972,
ins_b_017,,,,,333,50,383,
ins_b_018,,,,,333,50,383,
ins_b_019,,,,,333,50,383,
ins_b_020,,,,,333,50,383,
reg_b_001,ACD,,,,5823,474,6297,
reg_b_003,2026年3月30日,,,,4803,2329,7132,
reg_b_004,,,,,333,50,383,
reg_b_005,,,,,333,50,383,
reg_b_007,,,,,333,50,383,
reg_b_008,,,,,333,50,383,
reg_b_009,,,,,333,50,383,
reg_b_013,,,,,333,50,383,
reg_b_014,99.25,,,,5039,2406,7445,
reg_b_015,,,,,333,50,383,
reg_b_016,,,,,333,50,383,
reg_b_017,,,,,333,50,383,
reg_b_018,,,,,333,50,383,
reg_b_020,,,,,333,50,383,
reg_b_021,,,,,333,50,383,
reg_b_023,,,,,333,50,383,
reg_b_024,,,,,333,50,383,
reg_b_025,,,,,333,50,383,
reg_b_026,,,,,333,50,383,
reg_b_027,,,,,333,50,383,
res_b_001,,,,,333,50,383,
res_b_002,,,,,333,50,383,
res_b_003,,,,,333,50,383,
res_b_004,,,,,333,50,383,
res_b_005,22.19%,,,,6116,2497,8613,
res_b_006,,,,,333,50,383,
res_b_007,,,,,333,50,383,
res_b_008,A,,,,9251,1984,11235,
res_b_009,,,,,333,50,383,
res_b_010,,,,,333,50,383,
res_b_011,,,,,333,50,383,
res_b_012,979.20,,,,5500,2903,8403,
res_b_013,,,,,333,50,383,
res_b_014,,,,,333,50,383,
res_b_015,,,,,333,50,383,
res_b_016,,,,,333,50,383,
res_b_017,,,,,333,50,383,
res_b_018,,,,,333,50,383,
res_b_019,,,,,333,50,383,
res_b_020,,,,,333,50,383,
