qid,answer1,answer2,answer3,answer4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,2864043,502029,3366072,
fc_b_001,5.55%,5.36%,7.68%,7.35%,19276,5322,24598,
fc_b_002,ACD,,,,28390,1049,29439,
fc_b_003,ABCD,,,,43848,9851,53699,
fc_b_004,ABC,,,,31973,1104,33077,
fc_b_005,1468.47%,740.58%,,,17396,6636,24032,
fc_b_006,B,,,,31768,1521,33289,
fc_b_007,BC,,,,37785,3019,40804,
fc_b_008,ABC,,,,37262,1768,39030,
fc_b_009,ABD,,,,41572,1157,42729,
fc_b_010,BCD,,,,29371,1168,30539,
fc_b_011,ABC,,,,27393,1159,28552,
fc_b_012,BCD,,,,28465,768,29233,
fc_b_013,A,,,,8985,161,9146,
fc_b_014,14.41,,,,22380,6114,28494,
fc_b_015,CD,,,,28530,1224,29754,
fc_b_016,C,,,,23934,822,24756,
fc_b_017,BC,,,,28439,1018,29457,
fc_b_018,ABD,,,,27536,1031,28567,
fc_b_019,ABCD,,,,29656,927,30583,
fc_b_020,2.30,,,,24697,5044,29741,
fin_b_001,ACD,,,,33101,8267,41368,
fin_b_002,BCD,,,,40238,7786,48024,
fin_b_003,ABCD,,,,44479,8184,52663,
fin_b_004,AB,,,,87450,24167,111617,
fin_b_005,ACD,,,,42137,7491,49628,
fin_b_006,BC,,,,28922,7655,36577,
fin_b_007,ABD,,,,30405,7558,37963,
fin_b_008,AC,,,,42897,10033,52930,
fin_b_009,BCD,,,,44263,7471,51734,
fin_b_010,AD,,,,50020,8265,58285,
fin_b_011,ABC,,,,44630,7804,52434,
fin_b_012,A,,,,22829,4636,27465,
fin_b_013,40.05,10.10,,,26889,6999,33888,
fin_b_014,1.12,9.82,8.69,,27249,7565,34814,
fin_b_015,宁德时代>美的集团,19.75,,,26082,5773,31855,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,30439,7234,37673,
fin_b_017,1049321.98,0.08,,,29741,10168,39909,
fin_b_018,2.58,7.65,,,20287,6432,26719,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,102162,15049,117211,
fin_b_020,112.32,112.31,0.01,,31522,11028,42550,
ins_b_001,333.20,,,,24160,6368,30528,
ins_b_002,BC,,,,27458,7234,34692,
ins_b_003,366.00,,,,25843,6794,32637,
ins_b_004,BCD,,,,32600,6948,39548,
ins_b_005,BD,,,,33438,7120,40558,
ins_b_006,BCD,,,,42319,5986,48305,
ins_b_007,BC,,,,31902,6755,38657,
ins_b_008,ABCD,,,,30635,6224,36859,
ins_b_009,BCD,,,,34597,6957,41554,
ins_b_010,AD,,,,31452,6687,38139,
ins_b_011,16.00,,,,18300,5321,23621,
ins_b_012,BCD,,,,36929,6682,43611,
ins_b_013,BD,,,,43975,6133,50108,
ins_b_014,ACD,,,,21262,6075,27337,
ins_b_015,AC,,,,32617,5594,38211,
ins_b_016,ABD,,,,30576,6254,36830,
ins_b_017,ABCD,,,,37612,7030,44642,
ins_b_018,60.00,,,,18401,5361,23762,
ins_b_019,211.50,,,,24251,6242,30493,
ins_b_020,ACD,,,,34476,7247,41723,
reg_b_001,ACD,,,,31789,9768,41557,
reg_b_003,2026年3月30日,,,,7690,5248,12938,
reg_b_004,2026年6月30日,,,,6887,5375,12262,
reg_b_005,BCD,,,,20825,972,21797,
reg_b_007,30.00,,,,7637,4914,12551,
reg_b_008,BC,,,,21237,1000,22237,
reg_b_009,BC,,,,18105,1288,19393,
reg_b_013,B,,,,16508,815,17323,
reg_b_014,99.25,,,,9567,5455,15022,
reg_b_015,AC,,,,14904,1727,16631,
reg_b_016,2.00,,,,7036,5550,12586,
reg_b_017,AC,,,,17863,1275,19138,
reg_b_018,2026年4月1日,,,,7342,5531,12873,
reg_b_020,B,,,,15290,908,16198,
reg_b_021,B,,,,17220,1019,18239,
reg_b_023,AB,,,,12974,1344,14318,
reg_b_024,B,,,,21641,1277,22918,
reg_b_025,AC,,,,14717,1137,15854,
reg_b_026,B,,,,16266,1137,17403,
reg_b_027,BD,,,,19368,1345,20713,
res_b_001,AB,,,,29422,1622,31044,
res_b_002,AC,,,,28263,3719,31982,
res_b_003,AB,,,,26362,2824,29186,
res_b_004,BCD,,,,26926,1539,28465,
res_b_005,22.19,,,,27538,11433,38971,
res_b_006,AB,,,,27605,1770,29375,
res_b_007,61.98,,,,16766,5362,22128,
res_b_008,C,,,,25596,4051,29647,
res_b_009,ABC,,,,26269,2448,28717,
res_b_010,AC,,,,26535,1694,28229,
res_b_011,BC,,,,25901,1775,27676,
res_b_012,67.10,,,,23919,11305,35224,
res_b_013,AB,,,,51221,11787,63008,
res_b_014,CD,,,,26463,3167,29630,
res_b_015,BD,,,,27689,1471,29160,
res_b_016,BD,,,,30261,1712,31973,
res_b_017,AC,,,,24866,1700,26566,
res_b_018,CD,,,,44837,11881,56718,
res_b_019,AB,,,,27135,2014,29149,
res_b_020,BD,,,,28402,2230,30632,
