qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,481780,94579,576359
fc_b_001,5.55%,5.36%,7.68%,7.35%,2341,1497,3838
fc_b_002,A,,,,31539,1045,32584
fc_b_003,BD,,,,4420,783,5203
fc_b_004,ABC,,,,3748,645,4393
fc_b_005,1468.47%,740.58%,,,6014,3062,9076
fc_b_006,B,,,,4419,783,5202
fc_b_007,C,,,,4419,783,5202
fc_b_008,ABC,,,,4419,783,5202
fc_b_009,C,,,,4419,783,5202
fc_b_010,A,,,,31511,1045,32556
fc_b_011,ABC,,,,4419,783,5202
fc_b_012,BCD,,,,4419,783,5202
fc_b_013,A,,,,3747,645,4392
fc_b_014,14.41,,,,2633,1368,4001
fc_b_015,BCD,,,,3747,645,4392
fc_b_016,C,,,,4419,783,5202
fc_b_017,B,,,,3747,645,4392
fc_b_018,A,,,,3747,645,4392
fc_b_019,D,,,,3747,645,4392
fc_b_020,2.30,,,,2203,1483,3686
fin_b_001,ACD,,,,4290,614,4904
fin_b_002,BCD,,,,4290,614,4904
fin_b_003,AD,,,,4290,614,4904
fin_b_004,AB,,,,4290,614,4904
fin_b_005,ACD,,,,5758,841,6599
fin_b_006,D,,,,4290,614,4904
fin_b_007,A,,,,35897,1014,36911
fin_b_008,AC,,,,5758,841,6599
fin_b_009,BCD,,,,4290,614,4904
fin_b_010,ABCD,,,,4290,614,4904
fin_b_011,BC,,,,5758,841,6599
fin_b_012,A,,,,27435,1241,28676
fin_b_013,40.05,10.10,,,6778,3542,10320
fin_b_014,1.56,-10.43,-11.99,,9768,6226,15994
fin_b_015,宁德时代>美的集团,6.22,,,7156,3587,10743
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,4470,1667,6137
fin_b_017,1049321.98,0.08,,,2152,1564,3716
fin_b_018,2.58,7.65,,,2308,1453,3761
fin_b_019,宁德时代>美的集团>比亚迪,1.10,,,2973,2722,5695
fin_b_020,112.32,112.31,0.01,,2268,1714,3982
ins_b_001,333.20,,,,3650,1616,5266
ins_b_002,B,,,,2940,487,3427
ins_b_003,322.00,,,,2310,1646,3956
ins_b_004,A,,,,24366,887,25253
ins_b_005,B,,,,2899,450,3349
ins_b_006,BCD,,,,2940,487,3427
ins_b_007,BC,,,,2940,487,3427
ins_b_008,ABCD,,,,2940,487,3427
ins_b_009,B,,,,2899,450,3349
ins_b_010,B,,,,2899,450,3349
ins_b_011,16.00,,,,1691,1595,3286
ins_b_012,BD,,,,2899,450,3349
ins_b_013,BD,,,,2940,487,3427
ins_b_014,ACD,,,,2940,487,3427
ins_b_015,AC,,,,2899,450,3349
ins_b_016,AB,,,,2899,450,3349
ins_b_017,ACD,,,,2940,487,3427
ins_b_018,60.00,,,,1870,1507,3377
ins_b_019,211.50,,,,3637,1504,5141
ins_b_020,AC,,,,2899,450,3349
reg_b_001,AC,,,,2138,410,2548
reg_b_003,2026年3月30日,,,,2510,1382,3892
reg_b_004,2026年6月30日,,,,2588,1486,4074
reg_b_005,BCD,,,,2044,339,2383
reg_b_007,30.00,,,,2519,1381,3900
reg_b_008,BC,,,,2044,339,2383
reg_b_009,BC,,,,2138,410,2548
reg_b_013,B,,,,2044,339,2383
reg_b_014,99.25,,,,2316,1519,3835
reg_b_015,AC,,,,2138,409,2547
reg_b_016,2.00,,,,2730,1385,4115
reg_b_017,AC,,,,2205,417,2622
reg_b_018,2026年4月1日,,,,2652,1416,4068
reg_b_020,B,,,,2111,346,2457
reg_b_021,B,,,,2111,346,2457
reg_b_023,AB,,,,2205,417,2622
reg_b_024,B,,,,2111,346,2457
reg_b_025,AC,,,,2205,417,2622
reg_b_026,B,,,,2111,346,2457
reg_b_027,BD,,,,2111,346,2457
res_b_001,AB,,,,3424,386,3810
res_b_002,AD,,,,4632,713,5345
res_b_003,AB,,,,4632,713,5345
res_b_004,BCD,,,,3424,386,3810
res_b_005,22.19,,,,2421,1542,3963
res_b_006,AB,,,,4632,713,5345
res_b_007,61.98,,,,2200,1496,3696
res_b_008,AC,,,,3424,386,3810
res_b_009,ABC,,,,4559,793,5352
res_b_010,AC,,,,4632,713,5345
res_b_011,BC,,,,3424,386,3810
res_b_012,67.10,,,,2138,1661,3799
res_b_013,AB,,,,3424,386,3810
res_b_014,CD,,,,4632,713,5345
res_b_015,B,,,,4632,713,5345
res_b_016,BD,,,,3424,386,3810
res_b_017,AC,,,,4632,713,5345
res_b_018,ACD,,,,4632,713,5345
res_b_019,AB,,,,3424,386,3810
res_b_020,BD,,,,3424,386,3810
