qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,1238647,234711,1473358,
fc_b_001,5.55%,5.36%,7.68%,7.35%,15088,3477,18565,
fc_b_002,ACD,,,,7826,378,8204,
fc_b_003,ACD,,,,9122,361,9483,
fc_b_004,ABC,,,,8487,362,8849,
fc_b_005,1468.47%,740.58%,,,14578,5593,20171,
fc_b_006,B,,,,10050,1631,11681,
fc_b_007,BC,,,,9865,1256,11121,
fc_b_008,ABC,,,,10717,510,11227,
fc_b_009,ABD,,,,10445,380,10825,
fc_b_010,BCD,,,,8529,357,8886,
fc_b_011,ABC,,,,8726,346,9072,
fc_b_012,BCD,,,,9283,243,9526,
fc_b_013,A,,,,7553,176,7729,
fc_b_014,14.41,,,,16310,4603,20913,
fc_b_015,CD,,,,9542,350,9892,
fc_b_016,C,,,,8122,330,8452,
fc_b_017,BC,,,,9552,356,9908,
fc_b_018,ABD,,,,8504,302,8806,
fc_b_019,ABCD,,,,11604,311,11915,
fc_b_020,2.30,,,,18575,4811,23386,
fin_b_001,ACD,,,,10560,2299,12859,
fin_b_002,BCD,,,,13779,2192,15971,
fin_b_003,ABCD,,,,17678,2332,20010,
fin_b_004,AB,,,,30394,6420,36814,
fin_b_005,AC,,,,17632,2021,19653,
fin_b_006,BC,,,,7520,2023,9543,
fin_b_007,ABD,,,,12702,2180,14882,
fin_b_008,AC,,,,19905,2382,22287,
fin_b_009,BCD,,,,12990,2185,15175,
fin_b_010,A,,,,15579,2257,17836,
fin_b_011,ABC,,,,20558,2489,23047,
fin_b_012,AB,,,,14510,2067,16577,
fin_b_013,40.05,10.10,,,23363,5446,28809,
fin_b_014,1.12,9.82,8.70,,26613,6073,32686,
fin_b_015,宁德时代>美的集团,19.75,,,25652,5081,30733,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,35913,5081,40994,
fin_b_017,1049321.98,0.08,,,23744,8943,32687,
fin_b_018,2.58,7.65,,,19145,4340,23485,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,41984,11488,53472,
fin_b_020,112.32,112.31,0.01,,17101,6133,23234,
ins_b_001,333.20,,,,28125,9870,37995,
ins_b_002,BC,,,,9435,1987,11422,
ins_b_003,366.00,,,,20829,5962,26791,
ins_b_004,BCD,,,,10513,1988,12501,
ins_b_005,BD,,,,10308,1964,12272,
ins_b_006,BCD,,,,12724,1903,14627,
ins_b_007,BC,,,,9784,1909,11693,
ins_b_008,ABCD,,,,9225,1955,11180,
ins_b_009,BCD,,,,10853,1988,12841,
ins_b_010,AB,,,,9979,1877,11856,
ins_b_011,16.00,,,,11954,4989,16943,
ins_b_012,BCD,,,,11209,1843,13052,
ins_b_013,BD,,,,13162,1857,15019,
ins_b_014,ACD,,,,7185,1863,9048,
ins_b_015,AC,,,,9785,1858,11643,
ins_b_016,ABD,,,,9342,1974,11316,
ins_b_017,ABCD,,,,10931,2015,12946,
ins_b_018,60.00,,,,12151,4776,16927,
ins_b_019,211.50,,,,19361,5185,24546,
ins_b_020,ACD,,,,10262,1995,12257,
reg_b_001,ACD,,,,6757,492,7249,
reg_b_003,2026年3月30日,,,,7690,4903,12593,
reg_b_004,2026年6月30日,,,,6887,5004,11891,
reg_b_005,BCD,,,,8018,398,8416,
reg_b_007,30.00,,,,7637,4724,12361,
reg_b_008,BC,,,,8174,426,8600,
reg_b_009,BC,,,,7124,503,7627,
reg_b_013,B,,,,6403,270,6673,
reg_b_014,99.25,,,,9567,4401,13968,
reg_b_015,AC,,,,6013,783,6796,
reg_b_016,2.00,,,,7036,4731,11767,
reg_b_017,AC,,,,7108,512,7620,
reg_b_018,2026年4月1日,,,,7342,4748,12090,
reg_b_020,B,,,,6009,296,6305,
reg_b_021,B,,,,6735,419,7154,
reg_b_023,AB,,,,5353,578,5931,
reg_b_024,B,,,,8596,495,9091,
reg_b_025,AC,,,,5990,455,6445,
reg_b_026,B,,,,6373,371,6744,
reg_b_027,BD,,,,7497,515,8012,
res_b_001,AB,,,,12640,659,13299,
res_b_002,AC,,,,11901,608,12509,
res_b_003,AB,,,,10931,907,11838,
res_b_004,BCD,,,,11389,623,12012,
res_b_005,22.19%,,,,12680,5691,18371,
res_b_006,AB,,,,12071,795,12866,
res_b_007,61.98,,,,12218,5023,17241,
res_b_008,C,,,,11036,1545,12581,
res_b_009,ABC,,,,10441,924,11365,
res_b_010,AC,,,,10474,861,11335,
res_b_011,BC,,,,11372,681,12053,
res_b_012,67.10,,,,11831,5838,17669,
res_b_013,AB,,,,11173,565,11738,
res_b_014,C,,,,11282,1896,13178,
res_b_015,BD,,,,12042,453,12495,
res_b_016,BD,,,,12784,556,13340,
res_b_017,AC,,,,10324,693,11017,
res_b_018,CD,,,,10333,743,11076,
res_b_019,AB,,,,11040,736,11776,
res_b_020,BD,,,,11459,567,12026,
