qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,648009,161269,809278,
fc_b_001,5.55%,5.36%,7.68%,7.35%,2388,1345,3733,
fc_b_002,ACD,,,,7782,674,8456,
fc_b_003,ABCD,,,,11304,892,12196,
fc_b_004,ABC,,,,7782,674,8456,
fc_b_005,1468.47%,740.58%,,,6109,3213,9322,
fc_b_006,B,,,,11304,892,12196,
fc_b_007,BC,,,,7090,1455,8545,
fc_b_008,ABC,,,,7090,1455,8545,
fc_b_009,ABD,,,,7090,1455,8545,
fc_b_010,BCD,,,,7608,1458,9066,
fc_b_011,ABC,,,,11304,892,12196,
fc_b_012,BCD,,,,4242,267,4509,
fc_b_013,B,,,,6094,2724,8818,
fc_b_014,14.41,,,,2681,1362,4043,
fc_b_015,CD,,,,7607,1458,9065,
fc_b_016,B,,,,6093,2724,8817,
fc_b_017,BC,,,,7607,1458,9065,
fc_b_018,ABD,,,,7781,674,8455,
fc_b_019,ABCD,,,,6093,2724,8817,
fc_b_020,2.30,,,,2250,1290,3540,
fin_b_001,ACD,,,,7682,1827,9509,
fin_b_002,BCD,,,,7682,1827,9509,
fin_b_003,AD,,,,7682,1827,9509,
fin_b_004,AB,,,,7682,1827,9509,
fin_b_005,ACD,,,,9895,2740,12635,
fin_b_006,A,,,,13144,2227,15371,
fin_b_007,BD,,,,7682,1827,9509,
fin_b_008,AC,,,,20890,4707,25597,
fin_b_009,C,,,,13660,3290,16950,
fin_b_010,AD,,,,7682,1827,9509,
fin_b_011,ABC,,,,9895,2740,12635,
fin_b_012,A,,,,32258,8724,40982,
fin_b_013,,,,,6354,3140,9494,
fin_b_014,,,,,10396,5993,16389,
fin_b_015,,,,,7258,3302,10560,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,4517,1564,6081,
fin_b_017,1049321.98,0.08,,,2199,1605,3804,
fin_b_018,2.58,7.65,,,2355,1497,3852,
fin_b_019,宁德时代>美的集团>比亚迪,1.10,,,6872,7954,14826,
fin_b_020,112.33,112.31,0.02,,3483,1758,5241,
ins_b_001,333.20,,,,6576,1496,8072,
ins_b_002,BC,,,,7876,1127,9003,
ins_b_003,366.00,,,,5236,1632,6868,
ins_b_004,CD,,,,7876,1127,9003,
ins_b_005,B,,,,7753,1700,9453,
ins_b_006,BCD,,,,7876,1127,9003,
ins_b_007,BC,,,,7876,1127,9003,
ins_b_008,ABCD,,,,7876,1127,9003,
ins_b_009,B,,,,7753,1700,9453,
ins_b_010,B,,,,7753,1700,9453,
ins_b_011,16.00,,,,3365,1651,5016,
ins_b_012,BCD,,,,7753,1700,9453,
ins_b_013,BD,,,,7876,1127,9003,
ins_b_014,A,,,,12527,1527,14054,
ins_b_015,AC,,,,7753,1700,9453,
ins_b_016,ABD,,,,7753,1700,9453,
ins_b_017,ABC,,,,7876,1127,9003,
ins_b_018,60.00,,,,3544,1435,4979,
ins_b_019,211.50,,,,6563,1461,8024,
ins_b_020,ACD,,,,7753,1700,9453,
reg_b_001,AC,,,,3620,736,4356,
reg_b_003,2026年3月30日,,,,2557,1645,4202,
reg_b_004,2026年6月30日,,,,2635,1447,4082,
reg_b_005,BCD,,,,3340,653,3993,
reg_b_007,30.00,,,,2566,1392,3958,
reg_b_008,BC,,,,3340,653,3993,
reg_b_009,BC,,,,3620,736,4356,
reg_b_013,B,,,,3340,653,3993,
reg_b_014,99.25,,,,2363,1615,3978,
reg_b_015,AC,,,,3620,736,4356,
reg_b_016,2.00,,,,2682,1383,4065,
reg_b_017,AC,,,,3687,744,4431,
reg_b_018,2026年4月1日,,,,2699,1586,4285,
reg_b_020,B,,,,3407,661,4068,
reg_b_021,B,,,,3407,661,4068,
reg_b_023,AB,,,,3687,744,4431,
reg_b_024,B,,,,3407,661,4068,
reg_b_025,AC,,,,3687,744,4431,
reg_b_026,B,,,,3407,661,4068,
reg_b_027,BD,,,,3407,661,4068,
res_b_001,AB,,,,6193,984,7177,
res_b_002,AC,,,,5979,1040,7019,
res_b_003,AB,,,,5979,1040,7019,
res_b_004,BCD,,,,6193,984,7177,
res_b_005,22.19,,,,2468,1725,4193,
res_b_006,AB,,,,5979,1040,7019,
res_b_007,61.98,,,,2247,1512,3759,
res_b_008,AC,,,,6193,984,7177,
res_b_009,ABC,,,,5474,995,6469,
res_b_010,AC,,,,5979,1040,7019,
res_b_011,BC,,,,6193,984,7177,
res_b_012,67.10,,,,2185,1797,3982,
res_b_013,AB,,,,6193,984,7177,
res_b_014,CD,,,,5979,1040,7019,
res_b_015,BD,,,,5979,1040,7019,
res_b_016,BD,,,,6193,984,7177,
res_b_017,AC,,,,5979,1039,7018,
res_b_018,CD,,,,5979,1039,7018,
res_b_019,AB,,,,6193,983,7176,
res_b_020,BD,,,,6193,983,7176,
