qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,554077,99365,653442,
fc_b_001,5.55%,5.36%,7.68%,7.35%,3133,1546,4679,
fc_b_002,ACD,,,,5582,457,6039,
fc_b_003,ABCD,,,,7339,590,7929,
fc_b_004,ABC,,,,5582,457,6039,
fc_b_005,1468.47%,740.58%,,,7026,3368,10394,
fc_b_006,B,,,,7339,590,7929,
fc_b_007,BC,,,,5211,843,6054,
fc_b_008,ABC,,,,5211,843,6054,
fc_b_009,ABD,,,,5211,843,6054,
fc_b_010,BCD,,,,5476,543,6019,
fc_b_011,ABC,,,,7339,590,7929,
fc_b_012,BCD,,,,5873,386,6259,
fc_b_013,A,,,,4541,1140,5681,
fc_b_014,14.41,,,,3426,1489,4915,
fc_b_015,CD,,,,5476,543,6019,
fc_b_016,B,,,,4541,1140,5681,
fc_b_017,BC,,,,5476,543,6019,
fc_b_018,ABD,,,,5582,457,6039,
fc_b_019,ABCD,,,,4541,1140,5681,
fc_b_020,2.30,,,,2996,1432,4428,
fin_b_001,ACD,,,,6531,655,7186,
fin_b_002,BCD,,,,6531,655,7186,
fin_b_003,ABCD,,,,6531,655,7186,
fin_b_004,AB,,,,6531,654,7185,
fin_b_005,AC,,,,10248,898,11146,
fin_b_006,BC,,,,6531,654,7185,
fin_b_007,BD,,,,6531,654,7185,
fin_b_008,AC,,,,26178,2634,28812,
fin_b_009,C,,,,13758,2281,16039,
fin_b_010,AD,,,,6531,654,7185,
fin_b_011,ABC,,,,10248,898,11146,
fin_b_012,AB,,,,21642,2333,23975,
fin_b_013,2.41,-0.29,,,9011,3898,12909,
fin_b_014,1.12,9.82,8.70,,7975,2624,10599,
fin_b_015,宁德时代>美的集团,19.75,,,6938,1679,8617,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,12397,1744,14141,
fin_b_017,1049321.98,0.08,,,3304,1733,5037,
fin_b_018,2.58,7.65,,,5367,1577,6944,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,6565,1787,8352,
fin_b_020,112.32,112.31,0.01,,5996,1883,7879,
ins_b_001,333.20,,,,7367,1704,9071,
ins_b_002,BC,,,,5303,512,5815,
ins_b_003,366.00,,,,6027,1902,7929,
ins_b_004,BCD,,,,5303,512,5815,
ins_b_005,B,,,,5308,610,5918,
ins_b_006,BCD,,,,5303,512,5815,
ins_b_007,BC,,,,5303,512,5815,
ins_b_008,ABCD,,,,5303,512,5815,
ins_b_009,B,,,,5308,610,5918,
ins_b_010,AB,,,,5308,610,5918,
ins_b_011,16.00,,,,3918,1660,5578,
ins_b_012,BCD,,,,5308,610,5918,
ins_b_013,BD,,,,5303,512,5815,
ins_b_014,ACD,,,,5303,512,5815,
ins_b_015,AC,,,,5308,610,5918,
ins_b_016,ABD,,,,5308,610,5918,
ins_b_017,ABCD,,,,5303,512,5815,
ins_b_018,60.00,,,,4097,1561,5658,
ins_b_019,211.50,,,,7354,1688,9042,
ins_b_020,ACD,,,,5308,610,5918,
reg_b_001,AC,,,,2907,456,3363,
reg_b_003,2026年3月30日,,,,3303,1716,5019,
reg_b_004,2026年6月30日,,,,3381,1552,4933,
reg_b_005,BCD,,,,2807,432,3239,
reg_b_007,30.00,,,,3312,1529,4841,
reg_b_008,BC,,,,2807,432,3239,
reg_b_009,BC,,,,2907,456,3363,
reg_b_013,B,,,,2807,432,3239,
reg_b_014,99.25,,,,3109,1822,4931,
reg_b_015,AC,,,,2907,456,3363,
reg_b_016,2.00,,,,3523,1557,5080,
reg_b_017,AC,,,,2974,464,3438,
reg_b_018,2026年4月1日,,,,3445,1640,5085,
reg_b_020,B,,,,2873,440,3313,
reg_b_021,B,,,,2873,440,3313,
reg_b_023,AB,,,,2973,464,3437,
reg_b_024,B,,,,2873,440,3313,
reg_b_025,AC,,,,2973,464,3437,
reg_b_026,B,,,,2873,440,3313,
reg_b_027,BD,,,,2873,440,3313,
res_b_001,AB,,,,4996,503,5499,
res_b_002,AC,,,,4676,813,5489,
res_b_003,AB,,,,4676,813,5489,
res_b_004,BCD,,,,4996,503,5499,
res_b_005,22.19%,,,,3215,2180,5395,
res_b_006,AB,,,,4996,503,5499,
res_b_007,61.98,,,,2992,1606,4598,
res_b_008,AC,,,,4996,503,5499,
res_b_009,ABC,,,,6476,790,7266,
res_b_010,AC,,,,4676,813,5489,
res_b_011,BC,,,,4996,503,5499,
res_b_012,67.10,,,,2930,1818,4748,
res_b_013,AB,,,,4996,503,5499,
res_b_014,CD,,,,4676,813,5489,
res_b_015,B,,,,4676,813,5489,
res_b_016,BD,,,,4996,503,5499,
res_b_017,AC,,,,4676,813,5489,
res_b_018,CD,,,,4676,813,5489,
res_b_019,AB,,,,4996,503,5499,
res_b_020,BD,,,,4676,813,5489,
